from_family,to_family,from_reg,to_reg,spine_hops,spine_path,tier,asis_edges,n_files_a,n_files_b,potential_file_pairs
FAM-B2B,FAM-B2B,REG-SALES,REG-SALES,0,REG-SALES,T1_SAME_REG,0,2,2,2
FAM-B2B,FAM-BANK-VTB,REG-SALES,REG-BANK,2,REG-SALES → REG-SETTLE → REG-BANK,T3_SPINE_2HOP,0,2,3,6
FAM-B2B,FAM-BANK-XLS,REG-SALES,REG-BANK,2,REG-SALES → REG-SETTLE → REG-BANK,T3_SPINE_2HOP,0,2,3,6
FAM-B2B,FAM-BUD,REG-SALES,REG-BUD,2,REG-SALES → REG-CASH → REG-BUD,T3_SPINE_2HOP,0,2,2,4
FAM-B2B,FAM-COLL,REG-SALES,REG-SALES,0,REG-SALES,T1_SAME_REG,0,2,12,24
FAM-B2B,FAM-COST,REG-SALES,REG-COST,1,REG-SALES → REG-COST,T2_SPINE_1HOP,0,2,5,10
FAM-B2B,FAM-DDS,REG-SALES,REG-CASH,1,REG-SALES → REG-CASH,T2_SPINE_1HOP,0,2,3,6
FAM-B2B,FAM-EXP,REG-SALES,REG-EXP,2,REG-SALES → REG-CASH → REG-EXP,T3_SPINE_2HOP,0,2,3,6
FAM-B2B,FAM-HR,REG-SALES,REG-EMP,3,REG-SALES → REG-COST → REG-PAYROLL → REG-EMP,T4_SPINE_3HOP,0,2,4,8
FAM-B2B,FAM-LEGAL,REG-SALES,REG-LEGAL,3,REG-SALES → REG-SETTLE → REG-BANK → REG-LEGAL,T4_SPINE_3HOP,0,2,3,6
FAM-B2B,FAM-MAT,REG-SALES,REG-MAT,2,REG-SALES → REG-COST → REG-MAT,T3_SPINE_2HOP,0,2,1,2
FAM-B2B,FAM-MD,REG-SALES,REG-SKU,1,REG-SALES → REG-SKU,T2_SPINE_1HOP,0,2,1,2
FAM-B2B,FAM-SALES,REG-SALES,REG-SALES,0,REG-SALES,T1_SAME_REG,0,2,1,2
FAM-B2B,FAM-SUP,REG-SALES,REG-SUP,3,REG-SALES → REG-CASH → REG-EXP → REG-SUP,T4_SPINE_3HOP,0,2,1,2
FAM-B2B,FAM-TAX-6NDFL,REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,T4_SPINE_3HOP,0,2,5,10
FAM-B2B,FAM-TAX-ENS,REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,T4_SPINE_3HOP,0,2,5,10
FAM-B2B,FAM-TAX-NDS,REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,T4_SPINE_3HOP,0,2,5,10
FAM-B2B,FAM-TAX-RSV,REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,T4_SPINE_3HOP,0,2,6,12
FAM-B2B,FAM-TAX-USN,REG-SALES,REG-TAX,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,T4_SPINE_3HOP,0,2,4,8
FAM-B2B,FAM-TSUM,REG-SALES,REG-SALES,0,REG-SALES,T1_SAME_REG,0,2,3,6
FAM-B2B,FAM-ZP,REG-SALES,REG-PAYROLL,2,REG-SALES → REG-COST → REG-PAYROLL,T3_SPINE_2HOP,0,2,11,22
FAM-B2B,FAM-ZP-DES,REG-SALES,REG-PAYROLL,2,REG-SALES → REG-COST → REG-PAYROLL,T3_SPINE_2HOP,0,2,5,10
FAM-B2B,FAM-ZP-SHOP,REG-SALES,REG-PAYROLL,2,REG-SALES → REG-COST → REG-PAYROLL,T3_SPINE_2HOP,0,2,5,10
FAM-BANK-VTB,FAM-BANK-VTB,REG-BANK,REG-BANK,0,REG-BANK,T1_SAME_REG,0,3,3,6
FAM-BANK-VTB,FAM-BANK-XLS,REG-BANK,REG-BANK,0,REG-BANK,T1_SAME_REG,0,3,3,9
FAM-BANK-VTB,FAM-BUD,REG-BANK,REG-BUD,2,REG-BANK → REG-CASH → REG-BUD,T3_SPINE_2HOP,0,3,2,6
FAM-BANK-VTB,FAM-COLL,REG-BANK,REG-SALES,2,REG-BANK → REG-SETTLE → REG-SALES,T3_SPINE_2HOP,0,3,12,36
FAM-BANK-VTB,FAM-COST,REG-BANK,REG-COST,2,REG-BANK → REG-PAYROLL → REG-COST,T3_SPINE_2HOP,0,3,5,15
FAM-BANK-VTB,FAM-DDS,REG-BANK,REG-CASH,1,REG-BANK → REG-CASH,T2_SPINE_1HOP,6,3,3,9
FAM-BANK-VTB,FAM-EXP,REG-BANK,REG-EXP,1,REG-BANK → REG-EXP,T2_SPINE_1HOP,0,3,3,9
FAM-BANK-VTB,FAM-HR,REG-BANK,REG-EMP,2,REG-BANK → REG-PAYROLL → REG-EMP,T3_SPINE_2HOP,0,3,4,12
FAM-BANK-VTB,FAM-LEGAL,REG-BANK,REG-LEGAL,1,REG-BANK → REG-LEGAL,T2_SPINE_1HOP,0,3,3,9
FAM-BANK-VTB,FAM-MAT,REG-BANK,REG-MAT,3,REG-BANK → REG-PAYROLL → REG-COST → REG-MAT,T4_SPINE_3HOP,0,3,1,3
FAM-BANK-VTB,FAM-MD,REG-BANK,REG-SKU,3,REG-BANK → REG-PAYROLL → REG-COST → REG-SKU,T4_SPINE_3HOP,0,3,1,3
FAM-BANK-VTB,FAM-SALES,REG-BANK,REG-SALES,2,REG-BANK → REG-SETTLE → REG-SALES,T3_SPINE_2HOP,0,3,1,3
FAM-BANK-VTB,FAM-SUP,REG-BANK,REG-SUP,2,REG-BANK → REG-EXP → REG-SUP,T3_SPINE_2HOP,0,3,1,3
FAM-BANK-VTB,FAM-TAX-6NDFL,REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,T2_SPINE_1HOP,4,3,5,15
FAM-BANK-VTB,FAM-TAX-ENS,REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,T2_SPINE_1HOP,2,3,5,15
FAM-BANK-VTB,FAM-TAX-NDS,REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,T2_SPINE_1HOP,0,3,5,15
FAM-BANK-VTB,FAM-TAX-RSV,REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,T2_SPINE_1HOP,5,3,6,18
FAM-BANK-VTB,FAM-TAX-USN,REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,T2_SPINE_1HOP,0,3,4,12
FAM-BANK-VTB,FAM-TSUM,REG-BANK,REG-SALES,2,REG-BANK → REG-SETTLE → REG-SALES,T3_SPINE_2HOP,0,3,3,9
FAM-BANK-VTB,FAM-ZP,REG-BANK,REG-PAYROLL,1,REG-BANK → REG-PAYROLL,T2_SPINE_1HOP,22,3,11,33
FAM-BANK-VTB,FAM-ZP-DES,REG-BANK,REG-PAYROLL,1,REG-BANK → REG-PAYROLL,T2_SPINE_1HOP,0,3,5,15
FAM-BANK-VTB,FAM-ZP-SHOP,REG-BANK,REG-PAYROLL,1,REG-BANK → REG-PAYROLL,T2_SPINE_1HOP,0,3,5,15
FAM-BANK-XLS,FAM-BANK-XLS,REG-BANK,REG-BANK,0,REG-BANK,T1_SAME_REG,0,3,3,6
