path_id,name,register_chain,example_files,empty_registers,n_hops
P01,Sale→Bank,REG-SALES → REG-CASH → REG-BANK,REG-SALES:FILE-007(FAM-SALES) | REG-CASH:FILE-017(FAM-DDS) | REG-BANK:FILE-008(FAM-BANK-VTB),—,2
P02,TSUM→Margin,REG-SALES → REG-SKU → REG-COST,REG-SALES:FILE-007(FAM-SALES) | REG-SKU:FILE-051(FAM-MD) | REG-COST:FILE-016(FAM-COST),—,2
P03,B2B→Cash,REG-SALES → REG-SETTLE → REG-BANK,REG-SALES:FILE-007(FAM-SALES) | REG-SETTLE:∅ | REG-BANK:FILE-008(FAM-BANK-VTB),REG-SETTLE,2
P04,Payroll→Tax,REG-PAYROLL → REG-TAX,REG-PAYROLL:FILE-030(FAM-ZP) | REG-TAX:FILE-001(FAM-TAX-6NDFL),—,1
P05,Payroll→Bank,REG-PAYROLL → REG-CASH → REG-BANK,REG-PAYROLL:FILE-030(FAM-ZP) | REG-CASH:FILE-017(FAM-DDS) | REG-BANK:FILE-008(FAM-BANK-VTB),—,2
P06,Labor→Cost,REG-PAYROLL → REG-COST → REG-SKU,REG-PAYROLL:FILE-030(FAM-ZP) | REG-COST:FILE-016(FAM-COST) | REG-SKU:FILE-051(FAM-MD),—,2
P07,Material→COGS,REG-MAT → REG-PROD → REG-COST → REG-SALES,REG-MAT:FILE-053(FAM-MAT) | REG-PROD:∅ | REG-COST:FILE-016(FAM-COST) | REG-SALES:FILE-007(FAM-SALES),REG-PROD,3
P08,Supplier Pay,REG-SUP → REG-EXP → REG-BANK,REG-SUP:FILE-085(FAM-SUP) | REG-EXP:FILE-060(FAM-EXP) | REG-BANK:FILE-008(FAM-BANK-VTB),—,2
P09,Tax Pay,REG-TAX → REG-BANK,REG-TAX:FILE-001(FAM-TAX-6NDFL) | REG-BANK:FILE-008(FAM-BANK-VTB),—,1
P10,Budget,REG-BUD → REG-CASH,REG-BUD:FILE-011(FAM-BUD) | REG-CASH:FILE-017(FAM-DDS),—,1
P11,Collection P&L,REG-SALES → REG-COST → REG-CASH,REG-SALES:FILE-007(FAM-SALES) | REG-COST:FILE-016(FAM-COST) | REG-CASH:FILE-017(FAM-DDS),—,2
P12,Entity Perimeter,REG-LEGAL → REG-BANK → REG-CASH → REG-PAYROLL → REG-TAX,REG-LEGAL:FILE-006(FAM-LEGAL) | REG-BANK:FILE-008(FAM-BANK-VTB) | REG-CASH:FILE-017(FAM-DDS) | REG-PAYROLL:FILE-030(FAM-ZP) | REG-TAX:FILE-001(FAM-TAX-6NDFL),—,4
