from_reg,to_reg,files_a,files_b,potential_pairs,spine_hops,spine_path,asis_edges_between
REG-PAYROLL,REG-TAX,21,25,525,1,REG-PAYROLL → REG-TAX,46
REG-SALES,REG-TAX,18,25,450,3,REG-SALES → REG-SETTLE → REG-BANK → REG-TAX,0
REG-PAYROLL,REG-SALES,21,18,378,2,REG-PAYROLL → REG-COST → REG-SALES,0
REG-TAX,REG-TAX,25,25,300,0,REG-TAX,4
REG-PAYROLL,REG-PAYROLL,21,21,210,0,REG-PAYROLL,10
REG-SALES,REG-SALES,18,18,153,0,REG-SALES,0
REG-BANK,REG-TAX,6,25,150,1,REG-BANK → REG-TAX,11
REG-BANK,REG-PAYROLL,6,21,126,1,REG-BANK → REG-PAYROLL,22
REG-COST,REG-TAX,5,25,125,2,REG-COST → REG-PAYROLL → REG-TAX,0
REG-BANK,REG-SALES,6,18,108,2,REG-BANK → REG-SETTLE → REG-SALES,0
REG-COST,REG-PAYROLL,5,21,105,1,REG-COST → REG-PAYROLL,0
REG-EMP,REG-TAX,4,25,100,2,REG-EMP → REG-PAYROLL → REG-TAX,0
REG-COST,REG-SALES,5,18,90,1,REG-COST → REG-SALES,0
REG-EMP,REG-PAYROLL,4,21,84,1,REG-EMP → REG-PAYROLL,0
REG-LEGAL,REG-TAX,3,25,75,2,REG-LEGAL → REG-BANK → REG-TAX,0
REG-CASH,REG-TAX,3,25,75,2,REG-CASH → REG-PAYROLL → REG-TAX,0
REG-EXP,REG-TAX,3,25,75,2,REG-EXP → REG-BANK → REG-TAX,0
REG-EMP,REG-SALES,4,18,72,3,REG-EMP → REG-PAYROLL → REG-COST → REG-SALES,0
REG-LEGAL,REG-PAYROLL,3,21,63,2,REG-LEGAL → REG-BANK → REG-PAYROLL,0
REG-CASH,REG-PAYROLL,3,21,63,1,REG-CASH → REG-PAYROLL,17
REG-EXP,REG-PAYROLL,3,21,63,2,REG-EXP → REG-CASH → REG-PAYROLL,0
REG-LEGAL,REG-SALES,3,18,54,3,REG-LEGAL → REG-BANK → REG-SETTLE → REG-SALES,0
REG-CASH,REG-SALES,3,18,54,1,REG-CASH → REG-SALES,0
REG-EXP,REG-SALES,3,18,54,2,REG-EXP → REG-CASH → REG-SALES,0
REG-BUD,REG-TAX,2,25,50,3,REG-BUD → REG-CASH → REG-PAYROLL → REG-TAX,0
REG-BUD,REG-PAYROLL,2,21,42,2,REG-BUD → REG-CASH → REG-PAYROLL,0
REG-BUD,REG-SALES,2,18,36,2,REG-BUD → REG-CASH → REG-SALES,0
REG-BANK,REG-COST,6,5,30,2,REG-BANK → REG-PAYROLL → REG-COST,0
REG-SKU,REG-TAX,1,25,25,3,REG-SKU → REG-COST → REG-PAYROLL → REG-TAX,0
REG-MAT,REG-TAX,1,25,25,3,REG-MAT → REG-COST → REG-PAYROLL → REG-TAX,0
REG-SUP,REG-TAX,1,25,25,3,REG-SUP → REG-EXP → REG-BANK → REG-TAX,0
REG-BANK,REG-EMP,6,4,24,2,REG-BANK → REG-PAYROLL → REG-EMP,0
REG-PAYROLL,REG-SKU,21,1,21,2,REG-PAYROLL → REG-COST → REG-SKU,0
REG-PAYROLL,REG-SUP,21,1,21,3,REG-PAYROLL → REG-BANK → REG-EXP → REG-SUP,0
REG-MAT,REG-PAYROLL,1,21,21,2,REG-MAT → REG-COST → REG-PAYROLL,0
REG-COST,REG-EMP,5,4,20,2,REG-COST → REG-PAYROLL → REG-EMP,0
REG-BANK,REG-LEGAL,6,3,18,1,REG-BANK → REG-LEGAL,0
REG-BANK,REG-CASH,6,3,18,1,REG-BANK → REG-CASH,6
