from_reg,to_reg,hops,path,direct_spine
REG-LEGAL,REG-LEGAL,0,REG-LEGAL,Y
REG-LEGAL,REG-BANK,1,REG-LEGAL → REG-BANK,Y
REG-LEGAL,REG-CASH,2,REG-LEGAL → REG-BANK → REG-CASH,N
REG-LEGAL,REG-SALES,3,REG-LEGAL → REG-BANK → REG-SETTLE → REG-SALES,N
REG-LEGAL,REG-SETTLE,2,REG-LEGAL → REG-BANK → REG-SETTLE,N
REG-LEGAL,REG-PAYROLL,2,REG-LEGAL → REG-BANK → REG-PAYROLL,N
REG-LEGAL,REG-EMP,3,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-EMP,N
REG-LEGAL,REG-TAX,2,REG-LEGAL → REG-BANK → REG-TAX,N
REG-LEGAL,REG-SKU,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-SKU,N
REG-LEGAL,REG-COST,3,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST,N
REG-LEGAL,REG-PROD,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-PROD,N
REG-LEGAL,REG-MAT,4,REG-LEGAL → REG-BANK → REG-PAYROLL → REG-COST → REG-MAT,N
REG-LEGAL,REG-SUP,3,REG-LEGAL → REG-BANK → REG-EXP → REG-SUP,N
REG-LEGAL,REG-EXP,2,REG-LEGAL → REG-BANK → REG-EXP,N
REG-LEGAL,REG-BUD,3,REG-LEGAL → REG-BANK → REG-CASH → REG-BUD,N
REG-BANK,REG-LEGAL,1,REG-BANK → REG-LEGAL,Y
REG-BANK,REG-BANK,0,REG-BANK,Y
REG-BANK,REG-CASH,1,REG-BANK → REG-CASH,Y
REG-BANK,REG-SALES,2,REG-BANK → REG-SETTLE → REG-SALES,N
REG-BANK,REG-SETTLE,1,REG-BANK → REG-SETTLE,Y
REG-BANK,REG-PAYROLL,1,REG-BANK → REG-PAYROLL,Y
REG-BANK,REG-EMP,2,REG-BANK → REG-PAYROLL → REG-EMP,N
REG-BANK,REG-TAX,1,REG-BANK → REG-TAX,Y
REG-BANK,REG-SKU,3,REG-BANK → REG-PAYROLL → REG-COST → REG-SKU,N
REG-BANK,REG-COST,2,REG-BANK → REG-PAYROLL → REG-COST,N
REG-BANK,REG-PROD,3,REG-BANK → REG-PAYROLL → REG-COST → REG-PROD,N
REG-BANK,REG-MAT,3,REG-BANK → REG-PAYROLL → REG-COST → REG-MAT,N
REG-BANK,REG-SUP,2,REG-BANK → REG-EXP → REG-SUP,N
REG-BANK,REG-EXP,1,REG-BANK → REG-EXP,Y
REG-BANK,REG-BUD,2,REG-BANK → REG-CASH → REG-BUD,N
REG-CASH,REG-LEGAL,2,REG-CASH → REG-BANK → REG-LEGAL,N
REG-CASH,REG-BANK,1,REG-CASH → REG-BANK,Y
REG-CASH,REG-CASH,0,REG-CASH,Y
REG-CASH,REG-SALES,1,REG-CASH → REG-SALES,Y
REG-CASH,REG-SETTLE,2,REG-CASH → REG-SALES → REG-SETTLE,N
REG-CASH,REG-PAYROLL,1,REG-CASH → REG-PAYROLL,Y
REG-CASH,REG-EMP,2,REG-CASH → REG-PAYROLL → REG-EMP,N
REG-CASH,REG-TAX,2,REG-CASH → REG-PAYROLL → REG-TAX,N
REG-CASH,REG-SKU,2,REG-CASH → REG-SALES → REG-SKU,N
