work_order_id,period_month,settle_date,bank_le,source_channel,channel_confidence,payment_id_or_ref,amount_rub,currency,counterparty_short,purpose_short,in_class_now,maps_to_channel,im_share_rub,other_channel_share_rub,other_channel_name,timing_lag_days,owner_comment,status,instruction_ru
WO-ACQ-2026-03,2026-03,2026-03-06,LE-IP-YANINA,TBANK,HIGH,7eeed8de13e96385,66685.36,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 05.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-11,LE-IP-YANINA,TBANK,HIGH,dc4fdc8381e58c1a,36204.13,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 10.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-16,LE-IP-YANINA,TBANK,HIGH,91c6134ef4cda174,35380.53,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 13.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-17,LE-IP-YANINA,TBANK,HIGH,a4e57d3f320e8253,194448.38,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 16.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-18,LE-IP-YANINA,TBANK,HIGH,73cf2fb522738dbb,776.08,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 17.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-19,LE-IP-YANINA,TBANK,HIGH,7e88a2a6c37cd60e,55787.92,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 18.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-24,LE-IP-YANINA,TBANK,HIGH,8f549a38bb009d75,178900.13,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 23.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-30,LE-IP-YANINA,TBANK,HIGH,5ba85c016c39d1d2,104012.19,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 27.03.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2026-03,2026-03,2026-03-03,LE-IP-YANINA,POS_VTB,HIGH,6a13543d19339ceb,1177019.34,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 02.03.26,Ком-сия по операциям 33980.66 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-04,LE-IP-YANINA,POS_VTB,HIGH,fb1fe488cb795fd9,534567.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 03.03.26,Ком-сия по операциям 15433.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-06,LE-IP-YANINA,POS_VTB,HIGH,26d14952ad8f0630,485970.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 05.03.26,Ком-сия по операциям 14030.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-12,LE-IP-YANINA,POS_VTB,HIGH,2017e35a107002fc,742076.19,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 11.03.26,Ком-сия по операциям 21423.81 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-16,LE-IP-YANINA,POS_VTB,HIGH,bba7f3d6ce20c5c0,719235.6,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 13.03.26,Ком-сия по операциям 20764.40 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-17,LE-IP-YANINA,POS_VTB,HIGH,e873f0619c9ee15c,435438.84,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 16.03.26,Ком-сия по операциям 12571.16 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2026-03,2026-03,2026-03-30,LE-IP-YANINA,POS_VTB,HIGH,5814fefdc957402d,454867.92,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 27.03.26,Ком-сия по операциям 13132.08 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
