article_norm,collection_types,collection_orders_n,collection_sale_eur,in_stock_cost_move,stock_name,stock_qty_sum,stock_cost_rub_sum,in_sku_master,sku_name,in_alias_master,alias_status,link_coverage,priority,so_t
43-25,collection,29,111556.0,N,,,,N,,N,,NONE,HIGH,N
44-22,collection,10,102330.0,N,,,,N,,N,,NONE,HIGH,N
47-20,collection,6,96740.0,N,,,,N,,N,,NONE,HIGH,N
46-21,collection,5,79176.0,N,,,,N,,N,,NONE,HIGH,N
44-28,collection,8,71545.0,N,,,,N,,N,,NONE,HIGH,N
43-09,collection,13,67510.0,N,,,,N,,N,,NONE,HIGH,N
47-12,collection,10,63045.0,N,,,,N,,N,,NONE,HIGH,N
44-05,collection,4,53790.0,N,,,,N,,N,,NONE,HIGH,N
47-30,collection,4,52470.0,N,,,,N,,N,,NONE,HIGH,N
43-24,collection,5,51320.0,N,,,,N,,N,,NONE,HIGH,N
43-32,collection,3,49250.0,N,,,,N,,N,,NONE,HIGH,N
47-06,collection,4,46995.0,N,,,,N,,N,,NONE,HIGH,N
45-09,collection,9,46110.0,N,,,,N,,N,,NONE,HIGH,N
47-21,collection,3,43380.0,N,,,,N,,N,,NONE,HIGH,N
0-3001,capsule|nye,15,43130.0,N,,,,N,,N,,NONE,HIGH,N
43-30,collection,4,42745.0,N,,,,N,,N,,NONE,HIGH,N
47-17,collection,3,42000.0,N,,,,N,,N,,NONE,HIGH,N
43-03,collection,6,40760.0,N,,,,N,,N,,NONE,HIGH,N
43-26,collection,7,38240.0,N,,,,N,,N,,NONE,HIGH,N
46-01,collection,7,35620.0,N,,,,N,,N,,NONE,HIGH,N
44-14,collection,5,35570.0,N,,,,N,,N,,NONE,HIGH,N
46-16,collection,3,34550.0,N,,,,N,,N,,NONE,HIGH,N
0-3083,nye,6,33840.0,N,,,,N,,N,,NONE,HIGH,N
47-11,collection,7,32835.0,N,,,,N,,N,,NONE,HIGH,N
44-09,collection,8,32500.0,N,,,,N,,N,,NONE,HIGH,N
43-14,collection,5,31910.0,N,,,,N,,N,,NONE,HIGH,N
0-3314,nye,75,31741.0,N,,,,N,,N,,NONE,HIGH,N
43-08,collection,20,30721.0,N,,,,N,,N,,NONE,HIGH,N
47-16,collection,2,29870.0,N,,,,N,,N,,NONE,HIGH,N
47-19,collection,4,29850.0,N,,,,N,,N,,NONE,HIGH,N
43-02,collection,9,29700.0,N,,,,N,,N,,NONE,HIGH,N
0-3082,nye,7,29380.0,N,,,,N,,N,,NONE,HIGH,N
43-04,collection,3,28720.0,N,,,,N,,N,,NONE,HIGH,N
46-14,collection,3,28670.0,N,,,,N,,N,,NONE,HIGH,N
47-01,collection,3,28640.0,N,,,,N,,N,,NONE,HIGH,N
0-3200,capsule,5,26605.0,N,,,,N,,N,,NONE,HIGH,N
45-11,collection,15,26514.0,N,,,,N,,N,,NONE,HIGH,N
45-06,collection,7,26420.0,N,,,,N,,N,,NONE,HIGH,N
43-22,collection,6,25980.0,N,,,,N,,N,,NONE,HIGH,N
47-05,collection,3,24640.0,N,,,,N,,N,,NONE,HIGH,N
46-02,collection,2,24565.0,N,,,,N,,N,,NONE,HIGH,N
47-14,collection,2,24010.0,N,,,,N,,N,,NONE,HIGH,N
0-3014,capsule|nye,16,23327.0,N,,,,N,,N,,NONE,HIGH,N
47-22,collection,1,22880.0,N,,,,N,,N,,NONE,HIGH,N
46-25,collection,1,22800.0,N,,,,N,,N,,NONE,HIGH,N
46-07,collection,2,22235.0,N,,,,N,,N,,NONE,HIGH,N
44-15,collection,5,20770.0,N,,,,N,,N,,NONE,HIGH,N
45-05,collection,3,19170.0,N,,,,N,,N,,NONE,HIGH,N
47-15,collection,2,19035.0,N,,,,N,,N,,NONE,HIGH,N
45-30,collection,1,19000.0,N,,,,N,,N,,NONE,HIGH,N
0-3140А,cruise,7,18800.0,N,,,,N,,N,,NONE,HIGH,N
0-2984,capsule|nye,5,18400.0,N,,,,N,,N,,NONE,HIGH,N
46-04,collection,7,18202.0,N,,,,N,,N,,NONE,HIGH,N
