article_norm,collection_sale_eur,collection_types,person_cost_hit,owner_action,so_t
43-25,111556.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-22,102330.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-20,96740.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-21,79176.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-28,71545.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-09,67510.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-12,63045.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-05,53790.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-30,52470.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-24,51320.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-32,49250.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-06,46995.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-09,46110.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-21,43380.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3001,43130.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-30,42745.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-17,42000.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-03,40760.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-26,38240.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-01,35620.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-14,35570.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-16,34550.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3083,33840.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-11,32835.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-09,32500.0,collection,N,NEED alias OR MD line / workshop card,N
43-14,31910.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3314,31741.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-08,30721.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-16,29870.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-19,29850.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-02,29700.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3082,29380.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-04,28720.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-14,28670.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-01,28640.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3200,26605.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-11,26514.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-06,26420.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-22,25980.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-05,24640.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-02,24565.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-14,24010.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3014,23327.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-22,22880.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-25,22800.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-07,22235.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-15,20770.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-05,19170.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-15,19035.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-30,19000.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3140А,18800.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2984,18400.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-04,18202.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3167/2,17560.0,cruise,N,NEED alias OR MD line / workshop card,N
0-2990,17552.0,capsule|nye,N,NEED alias OR MD line / workshop card,N
44-27,17010.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3274,16940.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-07,16860.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-31,16700.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3189,16344.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-04,16240.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3276,16190.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3192,16120.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-23,16010.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-05,15920.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-11,15760.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-01,15710.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-15,15680.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-17,15600.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-28,15520.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
ICONIC,15420.0,cruise,N,NEED alias OR MD line / workshop card,N
0-2865А,15419.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3212,15200.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3202,14950.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-2987,14340.0,capsule,N,NEED alias OR MD line / workshop card,N
45-23,14240.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-01,14100.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3045,13940.0,capsule|nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3229,13230.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3286,12986.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-04,12960.0,collection,N,NEED alias OR MD line / workshop card,N
47-13,12860.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3196,12660.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-27,12580.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3141А,12540.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3242,12240.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-26,12150.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3014А,12103.0,capsule|nye,N,NEED alias OR MD line / workshop card,N
46-10,12070.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3258,12050.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3083В,11880.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3057,11723.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-19,11680.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-20,11360.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-22,11340.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3097,11280.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
47-18,11200.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-20,11120.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3167А/2,11120.0,cruise,N,NEED alias OR MD line / workshop card,N
0-3231,11040.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3100,11000.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-17,10950.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3232,10880.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
43-13,10860.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3092А,10810.0,nye,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
46-03,10620.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3140,10400.0,cruise,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
45-22,9896.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
44-02,9895.0,collection,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
0-3205,9870.0,capsule,Y,CONFIRM person-cost card as MD cost proxy (not Accept),N
