canonical_sku,name,class,priority,stock_qty_end,stock_im_qty,stock_tsum_qty,stock_b2b_qty,warehouses,sales_qty,sales_revenue_rub,sales_lines_n,sales_channels,im_sales_qty,im_sales_rev_rub,tsum_sales_qty,tsum_sales_rev_rub,b2b_sales_qty,sellthrough_proxy,align_flags,do_not_auto_accept,so_t
0-1043,,SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,,1.0,434653.82,1,TSUM,0.0,0.0,1.0,434653.82,0.0,1.0,,YES,N
0-1098B,"Блуза женская, черная, из крепа, с вышивкой YC",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,2.0,36570.0,4,IM,2.0,36570.0,0.0,0.0,0.0,1.0,,YES,N
0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",STOCK_AND_SALES,LOW,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),13.0,569455.0,23,IM,13.0,569455.0,0.0,0.0,0.0,0.9286,,YES,N
0-1187,,SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,,1.0,78570.0,1,IM,1.0,78570.0,0.0,0.0,0.0,1.0,,YES,N
0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",STOCK_AND_SALES,MED,6.0,0.0,0.0,0.0,Остатки ЦУМ|Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,1.0,126000.0,1,TSUM,0.0,0.0,1.0,126000.0,0.0,0.1429,,YES,N
0-1187E,"Брюки женские, черные, из шелка, с белым кантом",STOCK_NO_SALES,HIGH,6.0,0.0,0.0,0.0,Остатки ЦУМ|Салон (Лена М.)|Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
0-1187F,"Рубашка женская, черная, из бархата, с отделкой белым кантом",STOCK_AND_SALES,LOW,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ,1.0,89865.0,1,IM,1.0,89865.0,0.0,0.0,0.0,0.5,,YES,N
0-1187G,"Брюки женские, черные, из бархата, с отделкой белым кантом",STOCK_NO_SALES,MED,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
0-1237A,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,2.0,56838.0,3,B2B|IM,1.0,37710.0,0.0,0.0,1.0,1.0,,YES,N
0-1241A,"Юбка женская, белая, из фатина, расшита крупными пайетками",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,15000.0,1,IM,1.0,15000.0,0.0,0.0,0.0,1.0,,YES,N
0-1242,"Халат женский, черный, из шелка, с белым кантом и вышивкой на кармане",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,20000.0,1,IM,1.0,20000.0,0.0,0.0,0.0,1.0,,YES,N
0-1303,"Юбка женская, коричневая, из бархата, декорирована вышивкой и тесьмой",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,1.0,35000.0,2,IM,1.0,35000.0,0.0,0.0,0.0,1.0,,YES,N
0-1310,"Платье женское, зеленое, из фатина, с аппликационной вышивкой ""Птицы""",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1355A,"Юбка женская, розовая, из шелка, декорирована пайетками",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-136,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,ДЕМИ|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1365,"Свитер женский, черный, из хлопка, с провязкой ""MIMOSA O'CLOCK""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Подарки|Склад ИМ,2.0,25900.0,3,IM,2.0,25900.0,0.0,0.0,0.0,1.0,,YES,N
0-1379,"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,18739.0,1,B2B,0.0,0.0,0.0,0.0,1.0,1.0,,YES,N
0-1414,"Пальто-халат женское, черное, из бархата, укороченное, с лампасом по рукаву",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,2.0,69010.0,3,IM,2.0,69010.0,0.0,0.0,0.0,1.0,,YES,N
0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",STOCK_AND_SALES,LOW,16.0,6.0,0.0,5.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),24.0,396444.0,23,B2B|IM,11.0,238055.0,0.0,0.0,13.0,0.6,IM_ALIGNED,YES,N
0-1416B,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",STOCK_NO_SALES,MED,1.0,1.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1417,"Брюки женские, черные, из стрейч бархата, с отлетной деталью",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ,2.0,30385.0,2,IM,2.0,30385.0,0.0,0.0,0.0,1.0,,YES,N
0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",STOCK_AND_SALES,LOW,14.0,0.0,0.0,8.0,Салон (Лена М.)|Склад ИМ|Склад оптовых продаж|Склад производства (Жукова),21.0,396635.0,22,B2B|IM,14.0,312423.0,0.0,0.0,7.0,0.6,,YES,N
0-1418A,"Свитшот женский, синий, из бархата, с декоративными элементами на рукавах",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад оптовых продаж,1.0,33150.0,2,IM,1.0,33150.0,0.0,0.0,0.0,1.0,,YES,N
0-1423,"Юбка-баска женская, черная, из чесучи, со складками ""плиссе""",SALES_NO_STOCK,LOW,0.0,0.0,0.0,0.0,Склад ИМ|Склад производства (Жукова),2.0,30210.0,2,IM,2.0,30210.0,0.0,0.0,0.0,1.0,,YES,N
0-1425,Браслет с вышивкой бисером Basic,STOCK_NO_SALES,MED,2.0,2.0,0.0,0.0,Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IM_DEAD_CANDIDATE,YES,N
0-1435,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",STOCK_NO_SALES,MED,1.0,0.0,0.0,0.0,Салон (Лена М.)|Склад ИМ,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,YES,N
