material_id,name,article_hint,warehouse,qty,amount_rub,unit_cost_rub,snapshot_date,rank,share_pct,cum_share_pct,abc_class,so_t,method,warning
MAT-a64565149a91a3bb,"Вечерняя ткань белая сетка с перьями, расшивкой пайетками 12-090",12-090,Основной склад,36.2,277320.0,7660.77,2026-05-31,1,0.929,0.93,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-27181b72f7c986ba,"Шелк, принт папайя, 17А-061",,Основной склад,50.5,247108.78,4893.24,2026-05-31,2,0.828,1.76,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-a7477d81d901b4cf,Вечерняя ткань белая сетка с перьями 12-092,12-092,Основной склад,5.15,231750.0,45000.0,2026-05-31,3,0.777,2.53,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-9d3c0c61d0ecf71c,Вечерняя ткань черная сетка с перьями 12-091,12-091,Основной склад,5.15,231750.0,45000.0,2026-05-31,4,0.777,3.31,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-fe687439b81384d3,"Шелк белый, принт перчики, 17А-060",,Основной склад,43.1,211329.89,4903.25,2026-05-31,5,0.708,4.02,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-bd3e129d9de7960f,Вечерняя ткань черные пайетки матовые 12-024,12-024,Основной склад,10.25,184500.0,18000.0,2026-05-31,6,0.618,4.64,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-308a2705aa538519,"Шелк белый, принт оранжевый хаотичные ""Y"" 17A-017",,Основной склад,60.0,174000.0,2900.0,2026-05-31,7,0.583,5.22,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-5984d8f2152c126b,"Вечерняя ткань розовая  сетка с перьями, расшивкой пайетками 12-089",12-089,Основной склад,9.2,172040.0,18700.0,2026-05-31,8,0.577,5.8,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-5a4ca80c7e062f2f,"Дюшес, золотой 5-019",5-019,Основной склад,44.9,157150.0,3500.0,2026-05-31,9,0.527,6.32,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-6ed2dca42737533d,"Шелк, черный 16-038",16-038,Основной склад,103.35,150733.48,1458.48,2026-05-31,10,0.505,6.83,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
MAT-511779ca83c6f090,"Дюшес, фиолетовый 5-020",5-020,Основной склад,42.3,148050.0,3500.0,2026-05-31,11,0.496,7.33,A,N,INDICATIVE_VALUE_ABC_SNAPSHOT_2026_05_31,Not aging ABC; leaf units historically ambiguous — money from snapshot amount_rub
