YANINA — налогово-экономическая диагностика,,,,,,,
Не является налоговым аудитом. Нормативные положения актуализированы по официальным материалам ФНС России на 7 августа 2026 года.,,,,,,,
,,,,,,,
Тема,Актуальное правило / факт,Почему важно для YANINA,Что требуется рассчитать,Риск неверного вывода,Статус,Официальный источник,Примечание
Основная ставка НДС,С 1 января 2026 года основная ставка НДС — 22%.,"Влияет на конечную цену, маржинальный доход и денежный поток.","Отдельно по продажам конечным клиентам (B2C) и корпоративным продажам (B2B), по юридическим лицам.",Нельзя сравнивать ставку без учета цены и вычетов.,Подтверждено,https://www.nalog.gov.ru/new2026/,ФНС России
НДС при УСН — выбор ставок,Плательщик УСН при возникновении обязанности по НДС может применять общеустановленную ставку 22% с вычетами при соблюдении условий либо специальные ставки 5%/7%.,Для импортных материалов и закупок с НДС специальные ставки могут увеличивать невозмещаемую часть стоимости.,НДС с реализации + невозмещаемый входной/ввозной НДС + стоимость администрирования + стоимость оборотного капитала.,5% не означает полную налоговую стоимость 5%.,Подтверждено,https://www.nalog.gov.ru/rn77/taxation/taxes/nds_usn/,ФНС России
Порог освобождения от НДС при УСН,Закон №228-ФЗ от 04.07.2026: 20 млн ₽ для доходов 2025–2028; 15 млн ₽ для 2029; 10 млн ₽ для 2030 и далее.,"Порог применяется по конкретному налогоплательщику, а не по агрегированному управленческому обороту группы.",Доход каждого юридического лица по налоговым правилам и момент утраты освобождения.,Нельзя использовать общий оборот YANINA как автоматическую налоговую базу конкретного лица.,Подтверждено,https://www.nalog.gov.ru/rn33/news/tax_doc_news/16636398/,"ФНС России, информация по Закону №228-ФЗ"
Специальные ставки и вычеты,При ставках 5%/7% общий вычет входного НДС по закупкам не применяется; при общеустановленных ставках возможны вычеты при выполнении условий.,Импорт и закупки тканей/услуг с НДС могут принципиально менять экономику выбора.,"Доля закупок с НДС, ввозной НДС, возможность документального подтверждения вычетов.",Низкая ставка может сопровождаться более высокой закупочной стоимостью.,Подтверждено,https://www.nalog.gov.ru/rn77/taxation/taxes/nds_usn/,Нужна модель на фактических данных
Документная полнота,В диагностическом пакете отсутствуют отдельные документы по НДС и РСВ за II квартал 2026 года по ИП; полная сверка ЕНС не выполнена.,Без сверки начислений и ЕНС нельзя оценить переплату/недоимку и налоговую нагрузку по периоду.,Начислено → ЕНС → уплачено → остаток/переплата по каждому налогу.,Отсутствие документа в пакете не равно несдаче или нарушению.,Ограничение диагностики,Внутренняя доказательная база Этапа 1,Требуется получение документов
,,,,,,,
,,,,,,,
Сценарии для обязательного расчета,,,,,,,
Сценарий,Цена клиента,Входной/ввозной НДС,Доля корпоративных продаж (B2B) и продаж конечным клиентам (B2C),Запас/импорт,Денежный эффект,Решение,Комментарий
Индивидуальный пошив для конечных клиентов (B2C),Фиксированная конечная цена,Высокая/средняя,Преимущественно продажи конечным клиентам (B2C),Уникальные материалы,Сравнить 22% с вычетами и 5%/7% без общего вычета,,
Корпоративные продажи (B2B),Цена может обсуждаться без/с НДС,Средняя,Корпоративные продажи (B2B),Товар/партии,Учесть способность клиента принимать НДС к вычету,,
Импорт материалов,Косвенное влияние через себестоимость,Высокий ввозной НДС,Оба,Высокий импорт,Сравнить возмещаемость и стоимость запаса,,
Товарный канал с запасом,Ограничение рыночной ценой,Зависит от поставщиков,Продажи конечным клиентам (B2C) / корпоративные продажи (B2B),Значительный запас,Сравнить налог и стоимость капитала в запасе,,
