"YANINA — решения, требуемые по итогам Этапа 1",,,,,,
Лист предназначен для итоговой управленческой сессии. Он не фиксирует утверждение до фактического решения собственника.,,,,,,
,,,,,,
Код,Решение,Почему требуется,Вариант решения,Ответственный,Дата,Комментарий
D01,Признать индивидуальный заказ единицей прибыли основного контура,Без этого невозможно управлять ценой сложности и маржинальным доходом,Утвердить / Изменить / Отклонить,,,
D02,"Утвердить отдельную цену сложности, срочности и изменений после фиксации дизайна",Иначе дополнительный объем работ становится скрытой скидкой,Утвердить / Изменить / Отклонить,,,
D03,"Ввести обязательные проверки экономики, материалов, мощности и ликвидности до подтверждения заказа",Проблема должна предотвращаться до возникновения затрат,Утвердить / Изменить / Отклонить,,,
D04,Утвердить два ОПУ и отдельный слой общих расходов,Смешение контуров искажает рентабельность,Утвердить / Изменить / Отклонить,,,
D05,Включить НЗП и стоимость завершения в управленческий баланс,Без этого банковский остаток нельзя считать свободными деньгами,Утвердить / Изменить / Отклонить,,,
D06,Утвердить минимальный резерв ликвидности и правила распределения денежных средств,Собственник не должен заменять ежедневное казначейство,Утвердить / Изменить / Отклонить,,,
D07,Запретить значимую закупку без проверки свободного остатка и назначения,Снижает риск повторного финансирования потребности,Утвердить / Изменить / Отклонить,,,
D08,Назначить владельца оборотного капитала и решений по долгому запасу,Запас должен иметь назначение и срок решения,Утвердить / Изменить / Отклонить,,,
D09,Утвердить закрытие управленческого периода не позднее десятого рабочего дня (D+10) как обязательный стандарт,"Отчетность должна предупреждать, а не только объяснять",Утвердить / Изменить / Отклонить,,,
D10,Налоговую модель выбирать только после сценарного расчета и юридической проверки,Номинальная ставка не равна полной экономической стоимости,Утвердить / Изменить / Отклонить,,,
D11,Автоматизацию запускать после фиксации методологии и справочников,Иначе цифровизация закрепит противоречия,Утвердить / Изменить / Отклонить,,,
