warehouse,article_hint,name,inv_amount_rub,last_move_date,days_since_last_move,inv_abc_band,risk_flag
Основной склад,,"Шелк, принт папайя, 17А-061",247108.78,2025-05-16,439,A,DEAD_STOCK
Основной склад,,"Шелк белый, принт оранжевый хаотичные ""Y"" 17A-017",174000.0,2025-05-16,439,A,DEAD_STOCK
Основной склад,5-020,"Дюшес, фиолетовый 5-020",148050.0,2025-05-29,426,A,DEAD_STOCK
Основной склад,,Шифон авторский мелкие цветы 19A-019,118959.5,2025-05-27,428,A,DEAD_STOCK
Основной склад,12-034,Вечерняя ткань зеленые пайетки 12-034,118800.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,11-028,"Дабл-креп, розовый 11-028",114080.0,2025-03-14,502,A,DEAD_STOCK
Основной склад,18-036,Шифон красный 18-036,111510.0,2025-04-09,476,A,DEAD_STOCK
Основной склад,12-026,Вечерняя ткань серебро пайетки 12-026,109800.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,"Шелк, принт овощи, 17А-062",102300.0,2025-03-10,506,A,DEAD_STOCK
Основной склад,,"Шелк черный, принт грибы 17A-010",101500.0,2025-02-20,524,A,DEAD_STOCK
Основной склад,,Х/Б Хлопок микс средний черный 4А-064,101355.0,2025-04-30,455,A,DEAD_STOCK
Основной склад,,Х/Б Хлопок грибочки белые 4А-059,100920.0,2025-04-09,476,A,DEAD_STOCK
Основной склад,,Х/Б Хлопок гжель цветы 4А-070,100050.0,2025-01-10,565,A,DEAD_STOCK
Основной склад,5-015,"Дюшес-дабл, темно-синий 5-015",100000.0,2025-03-06,510,A,DEAD_STOCK
Основной склад,,Шелк принт бирюзовые капли 17A-051,99470.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,11-012,"Дабл-креп, светло-серый 11-012",97520.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,"Шелк белый, принт грибы 17A-012",97150.0,2025-02-20,524,A,DEAD_STOCK
Основной склад,12-025,Вечерняя ткань коричневые пайетки 12-025,95700.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,Х/Б Хлопок девочки Y синий 4А-057,94540.0,2025-06-03,421,A,DEAD_STOCK
Основной склад,,"Шелк белый, принт черный ""Y"" 17A-009",92800.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,5-016,"Дюшес, красный 5-016",86800.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,11-024,"Дабл-креп, красный 11-024",83720.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,10-011,"Креп тонкий шерсть, желтый 10-011",81000.0,2025-06-26,398,A,DEAD_STOCK
Основной склад,,"Тафта авторская, цветок-купон 2A-002",77400.0,2025-02-26,518,A,DEAD_STOCK
Основной склад,18-019,Шифон темно-голубой 18-019,76440.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,18-011,Шифон зеленый креповый 18-011,75504.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,Шелк кайма черная-белая-черная 17A-046,74200.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,16-041,"Шелк, бирюзовый 16-041",70400.0,2025-03-17,499,A,DEAD_STOCK
Основной склад,,Х/Б батист зеленые капли 4А-029,67000.0,2025-01-10,565,A,DEAD_STOCK
Основной склад,,"Шелк розовый, принт микс крупный 17A-028",62640.0,2025-04-22,463,A,DEAD_STOCK
Основной склад,10-002,"Креп тонкий шерсть, графит 10-002",61400.0,2025-06-20,404,A,DEAD_STOCK
Основной склад,11-002,"Дабл-креп, графит 11-002",60490.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,11-025,"Дабл-креп, зеленый 11-025",59800.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,Х/Б Хлопок микс средний голубой 4А-065,59450.0,2025-04-09,476,A,DEAD_STOCK
Основной склад,5-018,"Дюшес, желтый 5-018",57750.0,2025-02-10,534,A,DEAD_STOCK
Основной склад,13-028,"Кружево стрейч, черный 13-028",57750.0,2024-12-10,596,A,DEAD_STOCK
Основной склад,,"Шелк голубой, принт микс средний 17A-022",57710.0,2025-02-20,524,A,DEAD_STOCK
Основной склад,19-018,"Шифон синий, печворк 19-018",57600.0,2024-10-31,636,A,DEAD_STOCK
Основной склад,,Х/Б батист черные спинки без принта 4А-014,57000.0,2025-01-10,565,A,DEAD_STOCK
Основной склад,,"Шелк черный, принт цветок 17A-047",55680.0,2025-05-21,434,A,DEAD_STOCK
