period_month,control_id,status,metric,detail,owner_actions
2024-01,BANK_DDS_CORE,WIDE_GAP,836571.18,,
2024-01,TAX_CASH_BANK,GAP,36000.0,,
2024-06,BANK_DDS_CORE,WIDE_GAP,957596.36,,
2024-08,IM_ACQ_COMBO,OPEN,74.1,IP_lag-1,A-DATA-IM-01
2024-12,BANK_DDS_CORE,WIDE_GAP,1852187.69,,
2025-01,IM_ACQ_COMBO,OPEN,54.2,IP_lag+0,A-DATA-IM-01
2025-08,IM_ACQ_COMBO,OPEN,-26.0,ALL_lag+1,A-DATA-IM-01
2025-10,IM_ACQ_COMBO,OPEN,36.2,IP_lag+0,A-DATA-IM-01
2026-02,BANK_DDS_CORE,WIDE_GAP,-1499972.03,,
2026-03,IM_ACQ_COMBO,OPEN,64.7,IP_lag+0,A-DATA-IM-01
2026-04,IM_ACQ_COMBO,OPEN,-40.0,IP_lag+0,A-DATA-IM-01
2026-05,TSUM_NET_MODEL,OPEN,-100.0,rate=0.4668,A-TSUM-RATE-01
2026-06,TSUM_NET_MODEL,OPEN,-100.0,rate=0.4668,A-TSUM-RATE-01
2026-06,BANK_DDS_CORE,BANK_ONLY,5549424.35,,
