item_id,role,stub
SRC-CTRL-01,Approver,ВРЕМЯНКА Payroll Approver (stub)
SRC-CTRL-02,Owner,ВРЕМЯНКА Costing Owner (stub)
SRC-CTRL-02,Approver,ВРЕМЯНКА Costing Approver (stub)
SRC-CTRL-03,Owner,ВРЕМЯНКА B2B Owner (stub)
SRC-CTRL-03,Approver,ВРЕМЯНКА B2B Approver (stub)
DOM-PRODUCT,Owner,ВРЕМЯНКА Product Owner (stub)
DOM-COST,Owner,ВРЕМЯНКА Cost Owner (stub)
DOM-PROD,Owner,ВРЕМЯНКА Production Owner (stub)
DOM-B2B,Owner,ВРЕМЯНКА B2B Owner (stub)
DOM-DATA,Owner,ВРЕМЯНКА Data Steward (stub)
