period_month,channel_raw,channel,amount_eur,amount_rub_fx100,fx_policy,source,source_file_id,so_t,note
2024-01,Salon+Shop,MD_INDIVIDUAL,63836.0,6383600.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-02,Salon+Shop,MD_INDIVIDUAL,145324.0,14532400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-03,Salon+Shop,MD_INDIVIDUAL,148514.0,14851400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-04,Salon+Shop,MD_INDIVIDUAL,265180.0,26518000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-05,Salon+Shop,MD_INDIVIDUAL,149427.0,14942700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-06,Salon+Shop,MD_INDIVIDUAL,136164.0,13616400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-07,Salon+Shop,MD_INDIVIDUAL,254842.0,25484200.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Salon+Shop,MD_INDIVIDUAL,90944.0,9094400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-09,Salon+Shop,MD_INDIVIDUAL,61004.0,6100400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-10,Salon+Shop,MD_INDIVIDUAL,140344.0,14034400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,Salon+Shop,MD_INDIVIDUAL,109419.0,10941900.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Salon+Shop,MD_INDIVIDUAL,407294.0,40729400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-01,Salon+Shop,MD_INDIVIDUAL,77023.0,7702300.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-02,Salon+Shop,MD_INDIVIDUAL,367888.0,36788800.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-03,Salon+Shop,MD_INDIVIDUAL,137281.0,13728100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-04,Salon+Shop,MD_INDIVIDUAL,192370.0,19237000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-05,Salon+Shop,MD_INDIVIDUAL,207701.0,20770100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-06,Salon+Shop,MD_INDIVIDUAL,214728.0,21472800.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-07,Salon+Shop,MD_INDIVIDUAL,252254.0,25225400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-08,Salon+Shop,MD_INDIVIDUAL,31181.0,3118100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-09,Salon+Shop,MD_INDIVIDUAL,156103.0,15610300.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-10,Salon+Shop,MD_INDIVIDUAL,259389.0,25938900.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-11,Salon+Shop,MD_INDIVIDUAL,197527.0,19752700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2025-12,Salon+Shop,MD_INDIVIDUAL,232401.0,23240100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2026-01,Salon+Shop,MD_INDIVIDUAL,74560.0,7456000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2026-02,Salon+Shop,MD_INDIVIDUAL,200940.0,20094000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2026-03,Salon+Shop,MD_INDIVIDUAL,150875.0,15087500.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2026-04,Salon+Shop,MD_INDIVIDUAL,278197.0,27819700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2026-05,Salon+Shop,MD_INDIVIDUAL,161608.0,16160800.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
