period_month,direction_activity,expense_rub,expense_eur,n_lines,ledger,note
2024-01,Модный дом,4819239.61,62506.38,69,B,DDS outflows tagged Модный дом; not product COGS
2024-02,Модный дом,2352808.2,38430.04,71,B,DDS outflows tagged Модный дом; not product COGS
2024-03,Модный дом,3374214.66,77557.96,108,B,DDS outflows tagged Модный дом; not product COGS
2024-04,Модный дом,3826206.58,69279.86,73,B,DDS outflows tagged Модный дом; not product COGS
2024-05,Модный дом,2490618.44,28267.04,66,B,DDS outflows tagged Модный дом; not product COGS
2024-06,Модный дом,2453171.29,25822.86,57,B,DDS outflows tagged Модный дом; not product COGS
2024-07,Модный дом,2408149.11,44715.94,42,B,DDS outflows tagged Модный дом; not product COGS
2024-08,Модный дом,1680629.5,17890.84,44,B,DDS outflows tagged Модный дом; not product COGS
2024-09,Модный дом,1697897.66,17128.98,56,B,DDS outflows tagged Модный дом; not product COGS
2024-10,Модный дом,2559416.4,29394.16,92,B,DDS outflows tagged Модный дом; not product COGS
2024-11,Модный дом,3205780.81,32057.81,78,B,DDS outflows tagged Модный дом; not product COGS
2024-12,Модный дом,2731758.37,78424.58,83,B,DDS outflows tagged Модный дом; not product COGS
2025-01,Модный дом,2831881.64,70818.82,68,B,DDS outflows tagged Модный дом; not product COGS
2025-02,Модный дом,9201146.34,275249.46,71,B,DDS outflows tagged Модный дом; not product COGS
2025-03,Модный дом,8452952.03,88069.52,127,B,DDS outflows tagged Модный дом; not product COGS
2025-04,Модный дом,8677806.85,99845.07,148,B,DDS outflows tagged Модный дом; not product COGS
2025-05,Модный дом,6124488.33,115207.61,98,B,DDS outflows tagged Модный дом; not product COGS
2025-06,Модный дом,8546219.52,90137.38,157,B,DDS outflows tagged Модный дом; not product COGS
2025-07,Модный дом,9616842.22,187605.24,200,B,DDS outflows tagged Модный дом; not product COGS
2025-08,Модный дом,6911369.95,77356.7,96,B,DDS outflows tagged Модный дом; not product COGS
2025-09,Модный дом,5157318.85,56985.92,119,B,DDS outflows tagged Модный дом; not product COGS
2025-10,Модный дом,10452637.35,107526.37,161,B,DDS outflows tagged Модный дом; not product COGS
2025-11,Модный дом,8720738.51,137454.66,186,B,DDS outflows tagged Модный дом; not product COGS
2025-12,Модный дом,14925392.76,155253.93,130,B,DDS outflows tagged Модный дом; not product COGS
2026-01,Модный дом,3809284.84,128405.85,141,B,DDS outflows tagged Модный дом; not product COGS
2026-02,Модный дом,8118057.89,133104.58,114,B,DDS outflows tagged Модный дом; not product COGS
2026-03,Модный дом,7588314.82,79974.06,136,B,DDS outflows tagged Модный дом; not product COGS
2026-04,Модный дом,9334337.35,94175.19,161,B,DDS outflows tagged Модный дом; not product COGS
2026-05,Модный дом,7013294.08,111072.94,155,B,DDS outflows tagged Модный дом; not product COGS
