month,fresh_turnover,bank_abs_sum,delta,fresh_n,bank_n
2024-01,127784.05,127784.05,0.0,16,16
2024-02,96248.26,96248.26,0.0,20,20
2024-03,215914.51,215914.51,0.0,27,27
2024-04,246663.28,246663.28,0.0,16,16
2024-05,626945.51,626945.51,0.0,16,16
2024-06,265105.17,265105.17,0.0,17,17
2024-07,132217.32,132217.32,0.0,17,17
2024-08,357517.48,357517.48,0.0,17,17
2024-09,169662.28,169662.28,0.0,13,13
2024-10,1514127.18,1514127.18,0.0,21,21
2024-11,259003.7,259003.7,0.0,14,14
2024-12,445764.3,445764.3,0.0,19,19
2025-01,64240.59,64240.59,0.0,8,8
2025-02,215972.82,215972.82,0.0,17,17
2025-03,312872.82,312872.82,0.0,17,17
2025-04,533489.82,533489.82,0.0,12,12
2025-05,109533.7,109533.7,0.0,15,15
2025-06,353197.9,353197.9,0.0,14,14
2025-07,490616.8,490616.8,0.0,16,16
2025-08,848074.13,848074.13,0.0,17,17
2025-09,190522.54,190522.54,0.0,15,15
2025-10,320141.05,320141.05,0.0,20,20
2025-11,297592.2,297592.2,0.0,19,19
2025-12,593893.93,593893.93,0.0,24,24
2026-01,133647.51,133647.51,0.0,11,11
2026-02,109876.51,109876.51,0.0,14,14
2026-03,136895.52,136895.52,0.0,16,16
2026-04,464193.18,464193.18,0.0,20,20
2026-05,310093.58,310093.58,0.0,20,20
2026-06,498459.86,498459.86,0.0,22,22
