source_file_id,file_name,group,sheet_name,sheet_state,max_row,max_column,category,domain
SRC-FC6C0194884C,SALES 2024-2026.xlsx,G2,для Юлии (свод продаж),visible,186,20,sales_general,Финансы и денежные потоки
SRC-FC6C0194884C,SALES 2024-2026.xlsx,G2,ДДС - доход,visible,57,20,sales_general,Финансы и денежные потоки
SRC-FC6C0194884C,SALES 2024-2026.xlsx,G2,реальные деньги без учета расхо,hidden,43,19,sales_general,Финансы и денежные потоки
SRC-FC6C0194884C,SALES 2024-2026.xlsx,G2,доходы-расходы,visible,80,19,sales_general,Финансы и денежные потоки
SRC-47B23059C048,Бюджет 2-е полугодие 2025(1).xlsx,G2,Лист1,visible,23,18,budget,Финансы и денежные потоки
SRC-7B59F03FC58C,Бюджет 2026.xlsx,G2,лист,visible,94,34,budget,Финансы и денежные потоки
SRC-3BB52EE0AFF1,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,G1,Выписка по счёту,visible,1,1,bank,Финансы и денежные потоки
SRC-E56D76D98C01,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,G1,Выписка по счёту,visible,1,1,bank,Финансы и денежные потоки
SRC-F7E9F79D4112,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,G1,Выписка по счёту,visible,1,1,bank,Финансы и денежные потоки
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,Sheet1,visible,5737,92,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,48я,visible,30,7,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,Ткани,visible,25,4,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,Круиз 26,visible,23,7,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,Отпуск,visible,22,55,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,Планирование,visible,54,133,cost_embroidery,Себестоимость и производство
SRC-627DAA533FFD,Вышивка себестоимость 2024-2026.xlsx,G4,План сдач,visible,272,21,cost_embroidery,Себестоимость и производство
SRC-CC92902423D3,ДДС 2024.xlsx,G2,Расходы бизнеса,visible,42,8,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,Лист2,visible,119,16,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,сводная бизнес по статьям,visible,165,40,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,сводная Биснес по мес,visible,1137,8,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,сводная бизнес по напр,visible,137,75,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,Расходы собст по статьям,visible,16,15,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,data B,visible,1624,13,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,data D,visible,349,12,cashflow_dds,Финансы и денежные потоки
SRC-CC92902423D3,ДДС 2024.xlsx,G2,Справочники,visible,42,6,cashflow_dds,Финансы и денежные потоки
SRC-A4FF290ABA3F,ДДС 2025.xlsx,G2,data B,visible,2476,12,cashflow_dds,Финансы и денежные потоки
SRC-A4FF290ABA3F,ДДС 2025.xlsx,G2,data D,visible,386,12,cashflow_dds,Финансы и денежные потоки
SRC-A4FF290ABA3F,ДДС 2025.xlsx,G2,D-по статьям,visible,16,14,cashflow_dds,Финансы и денежные потоки
