work_order_id,period_month,settle_date,bank_le,source_channel,channel_confidence,payment_id_or_ref,amount_rub,currency,counterparty_short,purpose_short,in_class_now,maps_to_channel,im_share_rub,other_channel_share_rub,other_channel_name,timing_lag_days,owner_comment,status,instruction_ru
WO-ACQ-2025-01,2025-01,2025-01-10,LE-IP-YANINA,TBANK,HIGH,7d130c190c1564b3,38154.03,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 09.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-13,LE-IP-YANINA,TBANK,HIGH,41f7ac1ed001778c,78287.07,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 11.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-13,LE-IP-YANINA,TBANK,HIGH,c55fb1c762be4ad0,38154.03,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 11.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-13,LE-IP-YANINA,TBANK,HIGH,d529ff01d02d88fb,131196.32,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 10.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-15,LE-IP-YANINA,TBANK,HIGH,bd256008ed393e79,132447.75,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 14.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-16,LE-IP-YANINA,TBANK,HIGH,927cf47abced7e48,776.08,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 15.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-20,LE-IP-YANINA,TBANK,HIGH,405020b68a94db6a,583340.53,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 17.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-21,LE-IP-YANINA,TBANK,HIGH,d09bb678c9aa47f5,144748.62,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 20.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-23,LE-IP-YANINA,TBANK,HIGH,13885332d1db578b,49940.75,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 22.01.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-01,2025-01,2025-01-10,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,01457a038388a60b,217952.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга, согласно договору G-3030-04 от 12.04.07г. Комиссия 4448.00 ",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
WO-ACQ-2025-01,2025-01,2025-01-13,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,658721d8bf3dc428,659736.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга, согласно договору G-3030-04 от 12.04.07г. Комиссия 13464.00",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
