collection_id,article,description,orders_n,sale_eur,unique_clients_n
COL43,43-25,"жакет, черн шерсть",29,111556.0,19
COL44,44-22,платье подсолнух,10,102330.0,7
COL47,47-20,"платье ""золотые колосья"" корот",6,96740.0,6
COL46,46-21,жакет с черн бантом,5,79176.0,5
COL44,44-28,жакет с выш,8,71545.0,5
COL43,43-09,"жакет ""черн феникс"" на спине",13,67510.0,9
COL47,47-12,боди с выш колье,10,63045.0,6
COL44,44-05,жакет с выш,4,53790.0,4
COL47,47-30,"жакет ""колосья"" рафия сер",4,52470.0,2
COL43,43-24,платье-кейп с выш кокеткой,5,51320.0,5
COL43,43-32,"платье ""графит феникс""",3,49250.0,3
COL47,47-06,платье с манишкой и выш карманами,4,46995.0,4
COL45,45-09,"комбинезон, шелк бел с перцем",9,46110.0,5
COL47,47-21,"платье ""золотые колосья"" длин",3,43380.0,3
COL43,43-30,"платье ""птица""",4,42745.0,4
COL47,47-17,"платье ""ромашки"" бел шнур",3,42000.0,3
COL43,43-03,"платье ""бел лепесток""",6,40760.0,6
COL43,43-26,"жакет, бел атлас",7,38240.0,5
CAP2024,0-3001,бархат шелков черн - образец - резерв,13,36860.0,13
COL46,46-01,жакет с выш,7,35620.0,4
COL44,44-14,жакет,5,35570.0,4
COL46,46-16,бархат стр черн,3,34550.0,3
NY2024,0-3083,сетка/перья черн/пайетки - образец,6,33840.0,6
COL47,47-11,жакет с камелией,7,32835.0,4
COL44,44-09,платье,8,32500.0,5
COL43,43-14,черн бархат,5,31910.0,5
NY2025,0-3314,"с подбортом из куницы,кашем черн",75,31741.0,30
COL43,43-08,"жакет, черн креп",20,30721.0,10
COL47,47-16,стоимость общая,2,29870.0,2
COL47,47-19,"жакет ""ромашки"" бел шнур",4,29850.0,3
COL43,43-02,жакет с выш,9,29700.0,5
NY2024,0-3082,сетка/перья черн - образец,7,29380.0,6
COL43,43-04,платье с выш спиной,3,28720.0,3
COL46,46-14,"платье кокт ""бел арабеска""",3,28670.0,3
COL47,47-01,платье с выш вставкой,3,28640.0,3
CAP2025,0-3200,кашемир черн - образец,5,26605.0,5
COL45,45-11,папайя   7.200е,15,26514.0,10
COL45,45-06,долька арбуза,7,26420.0,4
COL43,43-22,"платье ""колье""",6,25980.0,5
COL47,47-05,платье с выш пелериной,3,24640.0,3
