period_month,opex_bucket,budget_plan_eur,budget_fact_eur,budget_fact_rub_fx100,opex_classified_rub,opex_vs_budget_fact_ratio,note,so_t
2025-07,ACQUIRING_FEE,1200.0,1095.0,109500.0,32870.14,0.3,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,LOGISTICS,4550.0,7666.0,766600.0,659421.19,0.86,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,MARKETING,1600.0,96011.0,9601100.0,313766.0,0.033,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,MATERIALS_MEMO,15000.0,9029.0,902900.0,500153.32,0.554,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,OPEX_OTHER,1500.0,2461.0,246100.0,558523.1,2.269,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,OUTSOURCE,13650.0,13760.0,1376000.0,540221.88,0.393,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,PAYROLL,90000.0,121579.0,12157900.0,3881519.57,0.319,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,RENT,10400.0,12328.0,1232800.0,843506.67,0.684,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-07,TAX,30000.0,20158.0,2015800.0,2015782.0,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,ACQUIRING_FEE,1200.0,825.0,82500.0,31363.59,0.38,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,LOGISTICS,1850.0,1471.0,147100.0,131646.8,0.895,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,MARKETING,2300.0,17052.0,1705200.0,212766.0,0.125,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,MATERIALS_MEMO,10000.0,5636.0,563600.0,73822.48,0.131,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,OPEX_OTHER,1300.0,1495.0,149500.0,369365.49,2.471,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,OUTSOURCE,20400.0,10742.0,1074200.0,361518.0,0.337,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,PAYROLL,91200.0,93819.0,9381900.0,3154710.82,0.336,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,RENT,12800.0,12076.0,1207600.0,831990.1,0.689,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-08,TAX,0.0,5342.0,534200.0,534202.0,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,ACQUIRING_FEE,1200.0,1122.0,112200.0,86886.98,0.774,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,LOGISTICS,1850.0,3802.0,380200.0,129203.41,0.34,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,MARKETING,13800.0,4431.0,443100.0,212766.0,0.48,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,MATERIALS_MEMO,20000.0,10825.0,1082500.0,169902.99,0.157,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,OPEX_OTHER,600.0,1405.0,140500.0,336093.9,2.392,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,OUTSOURCE,21000.0,7747.0,774700.0,294275.0,0.38,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,PAYROLL,96200.0,73914.0,7391400.0,2748418.05,0.372,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,RENT,12300.0,11920.0,1192000.0,824588.24,0.692,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-09,TAX,0.0,4895.0,489500.0,489523.12,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,ACQUIRING_FEE,1200.0,1611.0,161100.0,127804.45,0.793,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,LOGISTICS,2468.51,2018.0,201800.0,535956.02,2.656,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,MARKETING,2800.0,37640.0,3764000.0,212766.0,0.057,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,MATERIALS_MEMO,15000.0,13219.0,1321900.0,702783.0,0.532,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,OPEX_OTHER,800.0,2864.0,286400.0,820822.97,2.866,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,OUTSOURCE,10500.0,14451.0,1445100.0,584300.0,0.404,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,PAYROLL,96200.0,92303.0,9230300.0,3480711.39,0.377,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,RENT,11800.0,12121.0,1212100.0,823871.05,0.68,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
2025-10,TAX,33000.0,13554.0,1355400.0,1355380.83,1.0,Indicative only — budget EUR_LIKE vs opex RUB; not Accept,N
