budget_id,period_month,article,section,plan_eur,fact_eur,variance_eur,variance_pct,plan_rub_fx100,fact_rub_fx100,opex_bucket_map,source_file,source_file_id,unit_assumption,so_t
BUD2026,2026-01,Внебюджетные расходы,expense,300000.0,0.0,-300000.0,-100.0,30000000.0,0.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-03,Salon+Shop,income,250000.0,150875.0,-99125.0,-39.6,25000000.0,15087500.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-07,Представительские расходы,expense,1600.0,96011.0,94411.0,5900.7,160000.0,9601100.0,MARKETING,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-01,"Мероприяти, съемки, подарки, стилисты и пр.",expense,17500.0,100616.0,83116.0,474.9,1750000.0,10061600.0,MARKETING,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-12,Представительские расходы,expense,67000.0,7144.0,-59856.0,-89.3,6700000.0,714400.0,MARKETING,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-02,"Мероприяти, съемки, подарки, стилисты и пр.",expense,4500.0,59329.0,54829.0,1218.4,450000.0,5932900.0,MARKETING,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,Salon+Shop,income,250000.0,200940.0,-49060.0,-19.6,25000000.0,20094000.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-05,Salon+Shop,income,210000.0,161608.0,-48392.0,-23.0,21000000.0,16160800.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-04,"Мероприяти, съемки, подарки, стилисты и пр.",expense,59500.0,13527.0,-45973.0,-77.3,5950000.0,1352700.0,MARKETING,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-11,Представительские расходы,expense,8300.0,48875.0,40575.0,488.9,830000.0,4887500.0,MARKETING,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-10,Представительские расходы,expense,2800.0,37640.0,34840.0,1244.3,280000.0,3764000.0,MARKETING,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-04,Собственники,expense,25000.0,59589.0,34589.0,138.4,2500000.0,5958900.0,INTERNAL_TRANSFER_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-07,Заработная плата,expense,80000.0,112251.0,32251.0,40.3,8000000.0,11225100.0,PAYROLL,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-05,Собственники,expense,25000.0,56611.0,31611.0,126.4,2500000.0,5661100.0,INTERNAL_TRANSFER_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-01,Salon+Shop,income,100000.0,70360.0,-29640.0,-29.6,10000000.0,7036000.0,UNMAPPED,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,"Материалы (ткани, фурнитура), в т.ч.:",expense,30350.0,6049.0,-24301.0,-80.1,3035000.0,604900.0,MATERIALS_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-03,"Материалы (ткани, фурнитура), в т.ч.:",expense,29350.0,7695.0,-21655.0,-73.8,2935000.0,769500.0,MATERIALS_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-03,Собственники,expense,45000.0,24073.0,-20927.0,-46.5,4500000.0,2407300.0,INTERNAL_TRANSFER_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-10,Налоги с доходов,expense,33000.0,13554.0,-19446.0,-58.9,3300000.0,1355400.0,TAX,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-02,Собственники,expense,25000.0,6127.0,-18873.0,-75.5,2500000.0,612700.0,INTERNAL_TRANSFER_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-09,Заработная плата,expense,85000.0,66130.0,-18870.0,-22.2,8500000.0,6613000.0,PAYROLL,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-01,Собственники,expense,25000.0,6395.0,-18605.0,-74.4,2500000.0,639500.0,INTERNAL_TRANSFER_MEMO,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-04,Налоги с доходов,expense,46000.0,29145.0,-16855.0,-36.6,4600000.0,2914500.0,TAX,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2026,2026-02,Производство МД,expense,22000.0,5877.0,-16123.0,-73.3,2200000.0,587700.0,OUTSOURCE,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
BUD2025H2,2025-08,Представительские расходы,expense,1900.0,17052.0,15152.0,797.5,190000.0,1705200.0,MARKETING,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2026,2026-03,Производство МД,expense,21000.0,7301.0,-13699.0,-65.2,2100000.0,730100.0,OUTSOURCE,Бюджет 2026.xlsx,SRC-7B59F03FC58C,EUR_LIKE,N
