stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-1,Aldo Coppola (Основное подразделение),0-1984F,0-1984F,"Футболка женская, черная с принтом ""цветные капли"", из хлопка",1.0,3050.0,3050.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-2,Aldo Coppola (Основное подразделение),0-2032N/1,0-2032N/1,"Рубашка женская, голубая с принтом ""девочки"", из вискозы",1.0,10121.0,10121.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-3,Aldo Coppola (Основное подразделение),0-2032N/3,0-2032N/3,"Рубашка женская, розовая с принтом ""девочки"", из вискозы",1.0,10121.0,10121.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-4,Aldo Coppola (Основное подразделение),0-2037N/1,0-2037N/1,"Брюки женские, голубые с принтом ""девочки"", из вискозы",1.0,6189.0,6189.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-5,Aldo Coppola (Основное подразделение),0-2037N/3,0-2037N/3,"Брюки женские, розовые с принтом ""девочки"", из вискозы",1.0,6189.0,6189.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-6,Aldo Coppola (Основное подразделение),0-2053,0-2053,"Платье женское, черное с принтом ""цветные капли"", из батиста, декорировано тесьмой",1.0,13367.32,13367.32,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-7,Aldo Coppola (Основное подразделение),0-2244/1,0-2244/1,"Рубашка женская, черная с принтом ""девочки"", из шелка",1.0,14213.0,14213.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-8,Aldo Coppola (Основное подразделение),0-2245/1,0-2245/1,"Брюки женские, черные с принтом ""девочки"", из шелка",1.0,8632.0,8632.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-9,Aldo Coppola (Основное подразделение),0-2404,0-2404,"Платье женское, черное, с принтом ""девочки"", из шелка, на тонких бретелях",1.0,8020.0,8020.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-10,Aldo Coppola (Основное подразделение),0-2431B/1,0-2431B/1,"Шорты женские, розовые с принтом ""цветы, грибы"", из хлопка",1.0,1424.0,1424.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-11,Aldo Coppola (Основное подразделение),0-2431B/4,0-2431B/4,"Шорты женские, черные с принтом ""цветы, грибы"", из хлопка",1.0,2766.0,2766.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-12,Aldo Coppola (Основное подразделение),0-2460A,0-2460A,"Блуза женская, розовая, из батиста, декорирована расшивкой кристаллами по воротнику",1.0,12319.0,12319.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-13,Aldo Coppola (Основное подразделение),0-2460A/3,0-2460A/3,"Блуза женская, черная, из батиста, декорирована расшивкой кристаллами по воротнику",1.0,12319.0,12319.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-14,Aldo Coppola (Основное подразделение),0-2480,0-2480,"Блуза женская, белая с принтом ""оранжевые Y"", из шёлка, с отделкой ""лампас""",1.0,14149.6,14149.6,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-15,Aldo Coppola (Основное подразделение),0-2480D,0-2480D,"Блуза женская, красная с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас""",1.0,10121.0,10121.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-16,Aldo Coppola (Основное подразделение),0-2480С/2,0-2480С/2,"Блуза женская, розовая с принтом ""цветы и грибы"", из батиста, с отделкой ""Лампас""",1.0,10121.0,10121.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-17,Aldo Coppola (Основное подразделение),0-2481B,0-2481B,"Брюки женские, белые с принтом ""оранжевые Y"", из шёлка, с оранжевым кантом",1.0,13734.68,13734.68,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-18,Aldo Coppola (Основное подразделение),0-2481E,0-2481E,"Брюки женские, розовые с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас""",1.0,5374.0,5374.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-19,Aldo Coppola (Основное подразделение),0-2481F,0-2481F,"Брюки женские, красные с принтом "" цветы и грибы"" из батиста, с отделкой ""Лампас""",1.0,5374.0,5374.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-20,Aldo Coppola (Основное подразделение),0-2485A,0-2485A,"Шорты женские, чёрные с принтом ""белые Y и девочки"", из батиста, с отделкой ""лампас"" по низу",1.0,2447.34,2447.34,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-21,Aldo Coppola (Основное подразделение),0-2493,0-2493,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с широкими бретелями-завязками",1.0,11961.52,11961.52,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-22,Aldo Coppola (Основное подразделение),0-2494,0-2494,"Платье женское, белое с принтом ""оранжево-черные Y"", из батиста, с поясом",2.0,25272.42,12636.21,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-23,Aldo Coppola (Основное подразделение),0-2496,0-2496,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",2.0,24718.54,12359.27,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-24,Aldo Coppola (Основное подразделение),0-2523,0-2523,"Брюки женские, белые с принтом ""голубые цветы"", из батиста",1.0,5374.0,5374.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-25,Aldo Coppola (Основное подразделение),0-2524,0-2524,"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",2.0,19860.0,9930.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-26,Aldo Coppola (Основное подразделение),0-2527,0-2527,"Шорты женские, белые с принтом ""синие цветы"", из батиста",1.0,4539.0,4539.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
