period_month,tax_tag,amount_rub,so_t
2024-01,NDFL,57465.0,N
2024-01,ENP,57465.0,N
2024-02,ENP,814230.59,N
2024-02,INSURANCE,684626.27,N
2024-02,NDFL,406913.91,N
2024-02,USN,406816.68,N
2024-02,OTHER_TAXISH,103.55,N
2024-03,INSURANCE,664236.18,N
2024-03,NDFL,659706.86,N
2024-03,ENP,659706.86,N
2024-04,ENP,1705083.34,N
2024-04,INSURANCE,254835.64,N
2024-04,NDFL,113980.0,N
2024-04,USN,113738.0,N
2024-04,OTHER_TAXISH,1000.0,N
2024-05,ENP,3498204.0,N
2024-05,NDFL,379852.0,N
2024-05,INSURANCE,254099.86,N
2024-06,INSURANCE,435646.04,N
2024-06,ENP,431987.15,N
2024-06,NDFL,424698.52,N
2024-07,ENP,2266526.59,N
2024-07,NDFL,1539001.42,N
2024-07,USN,1216975.0,N
2024-07,INSURANCE,815423.6,N
2024-08,ENP,705172.12,N
2024-08,NDFL,294567.51,N
2024-08,INSURANCE,287107.22,N
2024-09,ENP,631316.86,N
2024-09,INSURANCE,629574.17,N
2024-09,NDFL,626917.81,N
2024-10,ENP,2317763.83,N
2024-10,USN,2314628.83,N
2024-10,NDFL,1910350.0,N
2024-10,INSURANCE,1015680.58,N
2024-11,ENP,856576.35,N
2024-11,INSURANCE,512564.64,N
2024-11,NDFL,352891.0,N
2024-12,ENP,1394154.14,N
2024-12,NDFL,1384411.04,N
2024-12,INSURANCE,1273582.69,N
2025-01,NDFL,444228.63,N
2025-01,ENP,444228.63,N
2025-01,INSURANCE,258746.63,N
2025-02,ENP,733454.65,N
2025-02,NDFL,695454.65,N
2025-02,INSURANCE,576627.66,N
2025-03,ENP,829387.12,N
2025-03,INSURANCE,720017.92,N
2025-03,NDFL,711998.12,N
2025-03,USN,117389.0,N
2025-03,TRADEMARK_FEE,41500.0,N
2025-04,ENP,3787094.75,N
2025-04,USN,2121101.0,N
2025-04,NDFL,924993.75,N
2025-04,INSURANCE,768849.94,N
2025-05,NDFL,599816.64,N
2025-05,INSURANCE,599816.64,N
2025-05,ENP,599816.64,N
2025-06,NDFL,766319.54,N
2025-06,ENP,766319.54,N
2025-06,INSURANCE,756377.87,N
2025-07,ENP,2897764.87,N
2025-07,USN,1800782.0,N
2025-07,NDS,1645553.0,N
2025-07,INSURANCE,1024321.18,N
2025-07,NDFL,923982.87,N
2025-08,ENP,1387365.62,N
2025-08,INSURANCE,858824.95,N
2025-08,NDFL,853163.62,N
2025-08,NDS,534202.0,N
2025-09,ENP,1250543.08,N
2025-09,NDFL,761019.96,N
2025-09,INSURANCE,722381.51,N
2025-09,NDS,489523.12,N
2025-10,ENP,2200274.94,N
2025-10,USN,874950.83,N
2025-10,INSURANCE,521943.63,N
2025-10,NDS,444930.0,N
2025-10,NDFL,379960.0,N
2025-11,ENP,1528446.62,N
2025-11,NDFL,1083516.62,N
2025-11,INSURANCE,1078583.62,N
2025-11,NDS,444930.0,N
2025-12,ENP,1828596.57,N
2025-12,NDFL,1329994.5,N
2025-12,INSURANCE,1061780.82,N
2025-12,NDS,444930.0,N
2026-01,ENP,1641501.89,N
2026-01,INSURANCE,840652.41,N
2026-01,NDS,630000.0,N
2026-01,NDFL,550932.67,N
2026-01,USN,191261.0,N
2026-02,NDFL,462308.0,N
2026-02,ENP,462308.0,N
2026-02,INSURANCE,13636.0,N
2026-03,ENP,3200175.24,N
2026-03,INSURANCE,1770726.84,N
2026-03,NDS,1430366.21,N
2026-03,NDFL,1110917.39,N
2026-04,ENP,4043776.86,N
2026-04,USN,2122388.5,N
2026-04,INSURANCE,1007328.39,N
2026-04,NDS,481001.0,N
2026-04,NDFL,455801.0,N
2026-05,ENP,1632404.13,N
2026-05,INSURANCE,1165310.41,N
2026-05,NDFL,1151403.13,N
2026-05,NDS,481001.0,N
2026-06,ENP,228119.7,N
2026-06,NDS,179748.0,N
2026-06,TRADEMARK_FEE,76500.0,N
2026-06,INSURANCE,39334.11,N
2026-06,NDFL,23988.0,N
