obligation_id,tax_type,legal_entity_id,period,amount_rub,amount_status,source_file_name,note,do_not_auto_accept,so_t
OB-cae55369e2f5d213,6NDFL,LE-OOO-DEKOR,2024,1445469,H37_EXTRACTED_CONF_HIGH_tax_to_transfer_ytd,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-128ef8aac843b33b,6NDFL,LE-IP-YANINA,2024,1426959,H37_EXTRACTED_CONF_HIGH_tax_to_transfer_ytd,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-2cf228a0abadfb14,6NDFL,LE-OOO-DEKOR,2025,1863059,H37_EXTRACTED_CONF_HIGH_tax_to_transfer_ytd,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-15fa51f87bdbb167,6NDFL,LE-IP-YANINA,2025,2202651,H37_EXTRACTED_CONF_HIGH_tax_to_transfer_ytd,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-d36e8574d89aba92,NDS,LE-IP-YANINA,2025-Q1,998748,H37_EXTRACTED_CONF_HIGH_nds_from_budget_040,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-668bebd46ae1c0df,NDS,LE-IP-YANINA,2026-Q1,1443002,H37_EXTRACTED_CONF_HIGH_nds_from_budget_040,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-66d2978d27d412e6,NDS,LE-IP-YANINA,2025-Q2,1602606,H37_EXTRACTED_CONF_HIGH_nds_from_budget_040,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-a9768bf53fa11356,NDS,LE-IP-YANINA,2025-Q3,1334790,H37_EXTRACTED_CONF_HIGH_nds_from_budget_040,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-e4dfb2b84fe8cc63,NDS,LE-IP-YANINA,2025-Q4,2163237,H37_EXTRACTED_CONF_HIGH_nds_from_budget_040,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-ef165ec7cc6e9a19,USN,LE-OOO-DEKOR,2024,117389,EXTRACTED_USN_LINES,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-f06e8ccaadcada66,USN,LE-IP-YANINA,2024,993121,EXTRACTED_USN_LINES,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-787df106c1761b17,USN,LE-OOO-DEKOR,2025,191261,EXTRACTED_USN_LINES,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-aa14c80e8702acbf,USN,LE-IP-YANINA,2025,1390632,EXTRACTED_USN_LINES,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-ebd2b7304d7fbf49,RSV,LE-IP-YANINA,2026-Q1,1636332,H37_EXTRACTED_CONF_LOW_rsv_code_060,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
OB-c54e6588922d2072,RSV,LE-OOO-DEKOR,2024,1622243,H37_EXTRACTED_CONF_LOW_rsv_code_060,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Annual/period obligation — do not equate to monthly tax_cash,YES,N
