period_month,sales_salon_shop,budget_salon_shop_plan,budget_salon_shop_fact,delta_sales_minus_budget_fact,delta_pct,sales_deposit_adj,sales_im,budget_im_fact,delta_im,sales_tsum,sales_total,sales_regional_b2b,compare_status,flags,budget_id,do_not_auto_accept,so_t,note
2024-01,63836.0,,,,,,4740.0,,,40749.0,109325.0,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-02,145324.0,,,,,,16897.0,,,24983.15,187204.15,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-03,148514.0,,,,,,18937.0,,,16895.0,195425.0,11079.0,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-04,265180.0,,,,,,20558.0,,,10792.62,296748.52,217.89,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-05,149427.0,,,,,,14232.0,,,21979.04,216678.16,31040.109999999997,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-06,136164.0,,,,,,36143.0,,,27313.29,200727.14,1106.84,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-07,254842.0,,,,,,17868.0,,,40129.62,319167.11,6327.48,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-08,90944.0,,,,,,10042.0,,,25163.01,144229.69,18080.7,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-09,61004.0,,,,,,26461.0,,,9980.4,100131.46,2686.06,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-10,140344.0,,,,,,22739.73,,,23245.3,188804.65,2475.62,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-11,109419.0,,,,,,36145.73,,,16441.35,166204.97,4198.89,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2024-12,407294.0,,,,,,32104.0,,,11990.03,474372.0,22983.97,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-01,77023.0,,,,,,10141.0,,,23372.8,116479.64,5942.84,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-02,367888.0,,,,,,13156.45,,,14340.09,400290.82,4906.28,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-03,137281.0,,,,,,29683.69,,,12965.78,179493.97,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-04,192370.0,,,,,,19877.93,,,9238.25,221486.18,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-05,207701.0,,,,,,18189.86,,,21119.45,254326.57,7316.259999999999,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-06,214728.0,,,,,-11480.56,13490.47,,,10833.94,227563.65,300.0,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-07,252254.0,,,,,,16651.15,,,29224.55,298799.31,669.61,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-08,31181.0,,,,,,37590.08,,,26799.23,95648.31,78.0,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-09,156103.0,,,,,,4915.34,,,17296.69,178315.03,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-10,259389.0,,,,,,13886.84,,,23530.92,297269.79,1959.03,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-11,197527.0,,,,,,21650.05,,,13702.65,232012.1,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2025-12,232401.0,,,,,,18087.68,,,19513.3,270001.98,,PARTIAL,,,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-01,74560.0,100000.0,70360.0,4200.0,5.97,-4200.0,15623.8,15623.8,0.0,32783.01,118766.81,,MATCH_AFTER_DEPOSIT,SALON_SHOP_MISMATCH|EXPLAINED_BY_DEPOSIT_RETURN,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-02,200940.0,250000.0,200940.0,0.0,0.0,,7612.1,7612.0,0.1,9842.89,218394.99,,MATCH,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-03,150875.0,250000.0,150875.0,0.0,0.0,,6365.1,6365.0,0.1,18432.83,175672.93,,MATCH,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-04,278197.0,270000.0,278197.0,0.0,0.0,,31790.51,31791.0,-0.49,19128.13,329115.64,,MATCH,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-05,161608.0,210000.0,161608.0,0.0,0.0,,14041.79,12254.0,1787.79,14548.51,188410.3,,MATCH,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-06,,200000.0,,,,,,,,,0.0,,N/A,JUNE2026_INCOMPLETE,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-07,,250000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-08,,150000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-09,,200000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-10,,250000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-11,,250000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
2026-12,,450000.0,,,,,,,,,0.0,,N/A,,BUD2026,YES,N,SALES ДДС-доход vs budget income Fact; same workbook EUR_LIKE scale
