period_month,year,channel_raw,channel_norm,amount_eur_like,sheet,source_file,so_t
2024-01,2024,Salon+Shop,Salon+Shop,63836.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Salon+Shop,Salon+Shop,145324.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Salon+Shop,Salon+Shop,148514.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Salon+Shop,Salon+Shop,265180.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Salon+Shop,Salon+Shop,149427.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Salon+Shop,Salon+Shop,136164.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Salon+Shop,Salon+Shop,254842.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Salon+Shop,Salon+Shop,90944.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Salon+Shop,Salon+Shop,61004.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Salon+Shop,Salon+Shop,140344.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Salon+Shop,Salon+Shop,109419.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Salon+Shop,Salon+Shop,407294.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,ИМ,IM,4740.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,ИМ,IM,16897.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,ИМ,IM,18937.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,ИМ,IM,20558.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,ИМ,IM,14232.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,ИМ,IM,36143.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,ИМ,IM,17868.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,ИМ,IM,10042.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,ИМ,IM,26461.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,ИМ,IM,22739.73,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,ИМ,IM,36145.73,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,ИМ,IM,32104.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,возврат ИМ,RETURN,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,возврат ИМ,RETURN,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Владивосток,REGIONAL_B2B,2000.34,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Владивосток,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Владивосток,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Владивосток,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Владивосток,REGIONAL_B2B,3866.15,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Жуковский,REGIONAL_B2B,315.79,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Жуковский,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Жуковский,REGIONAL_B2B,300.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Жуковский,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Жуковский,REGIONAL_B2B,1000.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Иваново,REGIONAL_B2B,1106.78,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Иваново,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Иваново,REGIONAL_B2B,1023.44,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Иваново,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Иваново,REGIONAL_B2B,3419.44,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Иркутск,REGIONAL_B2B,1642.79,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Иркутск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Иркутск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Иркутск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Иркутск,REGIONAL_B2B,3641.53,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Казань,REGIONAL_B2B,26430.6,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Казань,REGIONAL_B2B,7254.31,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Казань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Казань,REGIONAL_B2B,11625.49,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Красногорск,REGIONAL_B2B,550.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Красногорск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Красногорск,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Красногорск,REGIONAL_B2B,554.8,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Краснодар,REGIONAL_B2B,1935.32,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Краснодар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Краснодар,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Краснодар,REGIONAL_B2B,3523.63,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Краснодар,REGIONAL_B2B,-3862.14,ДДС - доход,SALES 2024-2026.xlsx,N
2024-01,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-02,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-03,2024,Махачкала,REGIONAL_B2B,5160.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-04,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-05,2024,Махачкала,REGIONAL_B2B,3908.46,ДДС - доход,SALES 2024-2026.xlsx,N
2024-06,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-07,2024,Махачкала,REGIONAL_B2B,5071.87,ДДС - доход,SALES 2024-2026.xlsx,N
2024-08,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-11,2024,Махачкала,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
2024-12,2024,Махачкала,REGIONAL_B2B,2434.79,ДДС - доход,SALES 2024-2026.xlsx,N
2024-09,2024,Назрань,REGIONAL_B2B,421.06,ДДС - доход,SALES 2024-2026.xlsx,N
2024-10,2024,Назрань,REGIONAL_B2B,0.0,ДДС - доход,SALES 2024-2026.xlsx,N
