period_month,year,metric,label_raw,amount_eur_like,sheet,warning,source_file,so_t
2024-01,2024,cash_balance_total,ИТОГО  ОСТАТОК,312903.0,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-02,2024,cash_balance_total,ИТОГО  ОСТАТОК,209143.38,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-03,2024,cash_balance_total,ИТОГО  ОСТАТОК,282384.68,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-04,2024,cash_balance_total,ИТОГО  ОСТАТОК,246987.58,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-05,2024,cash_balance_total,ИТОГО  ОСТАТОК,265045.0,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-06,2024,cash_balance_total,ИТОГО  ОСТАТОК,144769.08,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-07,2024,cash_balance_total,ИТОГО  ОСТАТОК,167580.68,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-08,2024,cash_balance_total,ИТОГО  ОСТАТОК,297632.92,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-09,2024,cash_balance_total,ИТОГО  ОСТАТОК,294668.59,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-10,2024,cash_balance_total,ИТОГО  ОСТАТОК,205822.98,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-11,2024,cash_balance_total,ИТОГО  ОСТАТОК,184373.17,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-12,2024,cash_balance_total,ИТОГО  ОСТАТОК,146842.24,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-01,2024,cash_turnover,оборот,109325.0,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-02,2024,cash_turnover,оборот,187204.15,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
2024-03,2024,cash_turnover,оборот,195425.0,доходы-расходы,NOT_COMPANY_PL_SANITY_ONLY,SALES 2024-2026.xlsx,N
