sales_line_id,canonical_sku,channel,sale_name,bom_name,name_jaccard,old_cogs,old_source,new_cogs,new_source,cost_version_id,old_margin,new_margin,fix_type,sale_cat,bom_cat
SL-0b39988a81051fc3,T-3178,TSUM,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",0.429,25052.2,FILE,1653.22,W3_BOM_H9,CV-ca33d19b12707eb8,-9982.2,13416.78,UNIT_RATIO,,
SL-aeae192f9001e187,T-3178,TSUM,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",0.429,71551.45,FILE,4959.65,W3_BOM_H9,CV-ca33d19b12707eb8,-29946.6,36645.2,UNIT_RATIO,,
SL-e07eb7fdfbbd4ddf,T-3178,TSUM,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",0.429,41584.4,FILE,3306.43,W3_BOM_H9,CV-ca33d19b12707eb8,-19964.4,18313.57,UNIT_RATIO,,
SL-aa0d73e3973b44f5,T-3178,TSUM,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",0.429,70086.6,FILE,4959.65,W3_BOM_H9,CV-ca33d19b12707eb8,-29946.6,35180.35,UNIT_RATIO,,
SL-8e0b6abb87825fa8,T-3178,TSUM,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",0.429,24748.2,FILE,1653.22,W3_BOM_H9,CV-ca33d19b12707eb8,-9982.2,13112.78,UNIT_RATIO,,
SL-820701f97b879be6,0-3362,IM,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,,4924.5,W3_H5,500.0,W3_BOM_H9,CV-0d9e8ae3a65d24f4,35025.5,39450.0,CATEGORY_MISMATCH,блуза,топ
SL-dbec249739f32ec5,0-2027F,IM,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,,23250.0,FILE,7980.0,W3_BOM_H9,CV-0a97df79110a2260,179150.0,194420.0,CATEGORY_MISMATCH,кафтан,платье
SL-6487bee030f481b8,T-2973,TSUM,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,46560.57,FILE,5919.43,W3_BOM_H9,CV-b6691478402e7e12,26950.57,67591.71,CATEGORY_MISMATCH,блуза,рубашка
SL-3b979bc72faf11a7,T-2973,TSUM,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,97298.86,FILE,11838.86,W3_BOM_H9,CV-b6691478402e7e12,53901.14,139361.14,CATEGORY_MISMATCH,блуза,рубашка
SL-f9f778347bb7e92f,T-2973,TSUM,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,48649.43,FILE,5919.43,W3_BOM_H9,CV-b6691478402e7e12,26950.57,69680.57,CATEGORY_MISMATCH,блуза,рубашка
SL-f64a034630d959bb,T-2973,TSUM,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,48649.43,FILE,5919.43,W3_BOM_H9,CV-b6691478402e7e12,26950.57,69680.57,CATEGORY_MISMATCH,блуза,рубашка
SL-8fc760dde2234d24,T-2973B,TSUM,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,49487.47,FILE,6757.47,W3_BOM_H9,CV-b389209735ee51e2,26112.53,68842.53,CATEGORY_MISMATCH,блуза,рубашка
SL-d06d176be3857d62,T-2973B,TSUM,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,153778.12,FILE,27029.9,W3_BOM_H9,CV-b389209735ee51e2,104450.12,231198.34,CATEGORY_MISMATCH,блуза,рубашка
SL-afb7460265740e2e,T-2973B,TSUM,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,49487.47,FILE,6757.47,W3_BOM_H9,CV-b389209735ee51e2,26112.53,68842.53,CATEGORY_MISMATCH,блуза,рубашка
SL-dd394587151ef9cf,T-2973A,TSUM,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,45999.23,FILE,5977.62,W3_BOM_H9,CV-7f42aba6bd3cc72f,26892.39,66914.0,CATEGORY_MISMATCH,блуза,рубашка
SL-b3594872dedf8545,T-2973A,TSUM,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,24539.58,FILE,5977.62,W3_BOM_H9,CV-7f42aba6bd3cc72f,26892.39,45454.35,CATEGORY_MISMATCH,блуза,рубашка
SL-86aef1244cd283c4,T-2973A,TSUM,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,48707.61,FILE,5977.62,W3_BOM_H9,CV-7f42aba6bd3cc72f,26892.39,69622.38,CATEGORY_MISMATCH,блуза,рубашка
SL-16ef2d729e96f8c6,T-2973A,TSUM,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,48707.61,FILE,5977.62,W3_BOM_H9,CV-7f42aba6bd3cc72f,26892.39,69622.38,CATEGORY_MISMATCH,блуза,рубашка
SL-2eb1081c4d2d98d8,T-2973A,TSUM,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,,54685.22,FILE,11955.23,W3_BOM_H9,CV-7f42aba6bd3cc72f,53784.78,96514.77,CATEGORY_MISMATCH,блуза,рубашка
SL-e00b8c105c05c1fb,T-2750C,TSUM,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,,35136.33,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,12013.67,41749.3,CATEGORY_MISMATCH,блуза,топ
SL-1b24c0b062b35d5f,T-2750C,TSUM,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,,35136.33,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,12013.67,41749.3,CATEGORY_MISMATCH,блуза,топ
SL-1dd8dadbc9e0fb6e,T-2750C,TSUM,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,,36461.33,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,13038.67,44099.3,CATEGORY_MISMATCH,блуза,топ
SL-05dc05bb38c6479d,T-3069B,TSUM,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",,33562.92,FILE,5346.6,W3_BOM_H9,CV-4c8f25bb5b6644d1,13477.08,41693.4,CATEGORY_MISMATCH,блуза,топ
SL-ed8919723ab41290,T-3069B,TSUM,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",,33562.92,FILE,5346.6,W3_BOM_H9,CV-4c8f25bb5b6644d1,13477.08,41693.4,CATEGORY_MISMATCH,блуза,топ
SL-e2faea04e69f17e8,T-3069B,TSUM,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",,67125.84,FILE,10693.2,W3_BOM_H9,CV-4c8f25bb5b6644d1,26954.16,83386.8,CATEGORY_MISMATCH,блуза,топ
SL-e881f4f38bf0eb9d,T-3069B,TSUM,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",,53126.84,FILE,10693.2,W3_BOM_H9,CV-4c8f25bb5b6644d1,26954.16,69387.8,CATEGORY_MISMATCH,блуза,топ
SL-9abd3a83acfbbb34,T-2750D,TSUM,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,,65428.78,FILE,10828.77,W3_BOM_H9,CV-a82832bc6ebc43a7,31171.22,85771.23,CATEGORY_MISMATCH,блуза,топ
SL-43749b825827e3f8,T-2750D,TSUM,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,,38859.76,FILE,10828.77,W3_BOM_H9,CV-a82832bc6ebc43a7,31171.22,59202.21,CATEGORY_MISMATCH,блуза,топ
SL-cbe946424355a0ad,T-3069B,TSUM,"Блуза-топ женская, голубая, из шелка, на тонких бретелях с вытачками","топ на тонких бретельках, шелк",,31936.6,FILE,5346.6,W3_BOM_H9,CV-4c8f25bb5b6644d1,15103.4,41693.4,CATEGORY_MISMATCH,блуза,топ
SL-e43064dea87acec8,T-2750C,TSUM,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,,32700.7,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,15599.3,42899.3,CATEGORY_MISMATCH,блуза,топ
SL-2ed62109833ed2e5,T-2750C,TSUM,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,,28671.75,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,15599.3,38870.35,CATEGORY_MISMATCH,блуза,топ
SL-08ebb8c40d59147f,T-2750C,TSUM,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,,32700.7,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,15599.3,42899.3,CATEGORY_MISMATCH,блуза,топ
SL-4baf782a5a5da536,T-2750C,TSUM,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,,32700.7,FILE,5400.7,W3_BOM_H9,CV-e492aca3d0c5ac46,15599.3,42899.3,CATEGORY_MISMATCH,блуза,топ
SL-c3a6d039358c62b9,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,35136.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,41799.73,CATEGORY_MISMATCH,блуза,топ
SL-e9e571c58c4c70b2,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,27936.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,34599.73,CATEGORY_MISMATCH,блуза,топ
SL-31f4c0eef3c95e39,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,140545.32,FILE,21401.09,W3_BOM_H9,CV-98101a4547510f16,48054.68,167198.91,CATEGORY_MISMATCH,блуза,топ
SL-887c957d373dff71,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,30421.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,37084.73,CATEGORY_MISMATCH,блуза,топ
SL-173f8bc144387f37,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,35136.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,41799.73,CATEGORY_MISMATCH,блуза,топ
SL-f039f11b978ac735,T-2750B,TSUM,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,,35136.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,41799.73,CATEGORY_MISMATCH,блуза,топ
SL-ec762e3ab0625e6d,T-3091D,TSUM,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",,131478.38,FILE,21759.37,W3_BOM_H9,CV-228527a2e28c206d,62641.62,172360.63,CATEGORY_MISMATCH,блуза,топ
SL-0b2f4d121523726e,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,100906.2,FILE,16050.82,W3_BOM_H9,CV-98101a4547510f16,36041.01,120896.39,CATEGORY_MISMATCH,блуза,топ
SL-0a2a7e9dcb744630,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,25706.33,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,32369.73,CATEGORY_MISMATCH,блуза,топ
SL-51f61e82443a7092,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,31454.63,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,12013.67,38118.03,CATEGORY_MISMATCH,блуза,топ
SL-26e0552036a38226,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,105408.99,FILE,16050.82,W3_BOM_H9,CV-98101a4547510f16,36041.01,125399.18,CATEGORY_MISMATCH,блуза,топ
SL-1f02e32112bbfce6,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,32650.2,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,15649.8,42949.73,CATEGORY_MISMATCH,блуза,топ
SL-8b4450b76ae7e8ac,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,33434.29,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,14865.71,42949.73,CATEGORY_MISMATCH,блуза,топ
SL-6640e4105121de24,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,32650.27,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,15649.73,42949.73,CATEGORY_MISMATCH,блуза,топ
SL-5f7624f8c1b66c85,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,28838.09,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,15649.73,39137.55,CATEGORY_MISMATCH,блуза,топ
SL-1ba0b1b6a8d3daea,T-2750B,TSUM,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,,32650.27,FILE,5350.27,W3_BOM_H9,CV-98101a4547510f16,15649.73,42949.73,CATEGORY_MISMATCH,блуза,топ
SL-9b7fb915a780c0f4,T-2910,TSUM,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,91221.93,FILE,15849.93,W3_BOM_H9,CV-30dc1a0767b2c268,42128.07,117500.07,CATEGORY_MISMATCH,блуза,майка
SL-e9e8fb21da841433,T-2910,TSUM,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,91221.93,FILE,15849.93,W3_BOM_H9,CV-30dc1a0767b2c268,42128.07,117500.07,CATEGORY_MISMATCH,блуза,майка
SL-cf6e8a15ba49edee,T-2910,TSUM,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,71043.89,FILE,15849.93,W3_BOM_H9,CV-30dc1a0767b2c268,42128.07,97322.03,CATEGORY_MISMATCH,блуза,майка
SL-97d90ef9e4c56c46,T-2923,TSUM,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,86093.25,FILE,15498.52,W3_BOM_H9,CV-9c01fe23c1cfba8a,42479.48,113074.21,CATEGORY_MISMATCH,блуза,майка
SL-97754fa8693f24e8,T-2923,TSUM,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,90870.52,FILE,15498.52,W3_BOM_H9,CV-9c01fe23c1cfba8a,42479.48,117851.48,CATEGORY_MISMATCH,блуза,майка
SL-e6d4f9d628d4f7bd,T-2923,TSUM,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,,90870.52,FILE,15498.52,W3_BOM_H9,CV-9c01fe23c1cfba8a,42479.48,117851.48,CATEGORY_MISMATCH,блуза,майка
SL-abe049c04d70d5dd,T-3187A,TSUM,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,,95645.22,FILE,22462.05,W3_BOM_H9,CV-ef35f6b857d8b3cd,31434.78,104617.95,CATEGORY_MISMATCH,платье,пальто
SL-88e790357017ec74,T-3187A,TSUM,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,,95645.22,FILE,22462.05,W3_BOM_H9,CV-ef35f6b857d8b3cd,31434.78,104617.95,CATEGORY_MISMATCH,платье,пальто
SL-47d04f4f75b33299,T-3187A,TSUM,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,,95645.22,FILE,22462.05,W3_BOM_H9,CV-ef35f6b857d8b3cd,31434.78,104617.95,CATEGORY_MISMATCH,платье,пальто
