canonical_sku,channels,lines,revenue_rub,cogs_current,margin_current,bom_unit,alt_margin_if_bom,unit_to_bom_ratio_max,name_jaccard,sale_name,bom_name,cogs_sources,status,note
0-3347,IM,5,532875.0,209412.7,323462.3,500.0,530375.0,83.77,0.444,"Жакет женский, черный, из стрейч-бархата, с вышивкой ""Y"" на карманах и поясом ","Жакет двубортный из стрейч-бархата  с поясом
0-3422",W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2865A,"IM,TSUM",6,2366745.72,1450286.78,916458.94,3000.0,2342745.72,70.67,0.077,"Платье женское, черное с принтом ""белый горох"", из хлопка, с пелериной",Платье из батиста (переделка готового платья по накладной №121 06.05),FILE|W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3348,IM,5,195750.0,65522.8,130227.2,500.0,193250.0,26.21,0.5,"Брюки-палаццо женские, черные, из стрейч-бархата, с широким поясом",Брюки палаццо  из стрейч-бархата,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2604,TSUM,2,138000.0,88430.0,49570.0,2705.0,132590.0,16.35,0.111,"Юбка женская, черная, из стрейч бархата, прямая, зауженная к низу, средней длины",ЮБКА,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2548,IM,1,150300.0,15348.0,134952.0,1000.0,149300.0,15.35,0.125,"Платье-кафтан женское, черное с принтом ""цветок"", из шелка, с длинным рукавом",КАФТАН,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-3185,IM,3,108100.0,49764.0,58336.0,1200.0,104500.0,13.82,0.2,"Блуза женская, черная, из трикотажа, с вышивкой ""Ришелье""",БЛУЗА,W3_H5,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
0-2600,TSUM,1,87300.0,54761.8,32538.2,4220.0,83080.0,12.98,0.167,"Брюки-капри женские, чёрные, из шёлка дюшес",Брюки,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2871A,TSUM,5,490460.64,298603.09,191857.55,5535.452499999999,462783.38,11.48,0.0,"Блуза женская, желтая, из хлопка, с коротким рукавом и декором ""Бант""",Блузка с завязками,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2988,TSUM,4,686494.63,459617.88,226876.75,8907.985,641954.7,10.58,0.5,"Брюки-палаццо женские, черные, из шерсти",Брюки палаццо из тонкой шерсти,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
T-2861,TSUM,4,284252.24,171885.59,112366.65,3548.6688888888893,266508.9,10.53,0.125,"Футболка женская, белая с принтом ""цветы"", из трикотажа",Футболка принт La vie in Yanina,FILE,WATCH_DO_NOT_AUTOFIX,Возможен неполный BOM или верный дорогой FILE — только ручной разбор
