month,status,zp,dds,diff,pct,shop,designers,components_sum,zp_file,zp_where,zp_score
2025-01,GAP,6157128.0,2162299.67,3994828.33,184.7490607072053,,,0,ЗП за январь 2025.xlsx,окладники:r61,6
2025-02,GAP,5760967.0,9772279.0,-4011312.0,-41.04786611188649,,,0,ЗП за февраль 2025.xlsx,Отчет Салахова:r17,6
2025-03,GAP,6074650.0,7219118.21,-1144468.21,-15.853296437432904,,,0,ЗП за март 2025.xlsx,окладники:r64,6
2025-04,GAP,6223500.0,8990136.3,-2766636.3000000007,-30.774130754836282,,,0,ЗП за апрель 2025.xlsx,окладники:r67,6
2025-05,CLOSE,6618350.0,7139623.0,-521273.0,-7.301127804647388,,,0,ЗП за май 2025.xlsx,окладники:r55,6
2025-06,GAP,7453400.0,8886528.0,-1433128.0,-16.126973324114886,,,0,ЗП за июнь 2025.xlsx,окладники:r70,6
2026-01,GAP,6726650.0,1765862.0,4960788.0,280.92727517778854,86918.0,75600.0,162518.0,ЗП за январь 2026.xlsx,окладники:r65,6
2026-02,GAP,5760967.0,9587903.01,-3826936.01,-39.91421279510836,84373.4,75600.0,159973.4,ЗП за февраль 2026.xlsx,Отчет В2В:r17,6
2026-03,GAP,9518278.0,8197803.890000001,1320474.1099999994,16.107656730002592,108887.5,75600.0,184487.5,ЗП за март 2026.xlsx,Распределение:r24,6
2026-04,MATCH,9144149.0,9019143.169999998,125005.83000000194,1.3860056065614266,102160.0,75600.0,177760.0,ЗП за апрель 2026.xlsx,Распределение:r26,6
2026-05,GAP,9648298.94,8459897.75,1188401.1899999995,14.047465171786497,95957.0,75600.0,171557.0,ЗП за май 2026.xlsx,Распределение:r26,6
