file_id,file_name,type,size_mb,domain,period,entity_scope,technical_content,machine_readability,risk,quality_flags,current_state,current_use,confidentiality,target_system,target_register,required_action,sha256,source
FILE-001,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,PDF,2.154,Налоги и обязательная отчётность,2024,ООО «ДЕКОР»,78 стр.; текстовый слой 78/78,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,f5301bbae5d8fc62b366f54059ba1d9cc80d4b65b46c53b5f68ea6fc1c04c3c2,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-002,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,PDF,2.173,Налоги и обязательная отчётность,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),79 стр.; текстовый слой 79/79,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,4f39b4966345ad10efdd5274f98a171cb71a1c80e0e54346175fbaaba79a2528,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-003,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,PDF,1.513,Налоги и обязательная отчётность,2025,ООО «ДЕКОР»,53 стр.; текстовый слой 53/53,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Карантин → исправление → контрольная загрузка,99a04fde09f387e08541663b6de77327f46402c47eae501c38f632efd1cbc49f,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-004,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,PDF,2.073,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),75 стр.; текстовый слой 75/75,Полная: текст извлечён,Средний,Точный бинарный дубль: 6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,"Есть, но дубль",Хранить одну каноническую копию; вторую исключить из расчётного контура.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Архивировать дубль; исключить из расчётного контура,a8fcdd6b6090a6883a7a2722815a3cf386228cf010d6b485bf1630f528928fe1,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-005,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,PDF,2.073,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),75 стр.; текстовый слой 75/75,Полная: текст извлечён,Средний,Точный бинарный дубль: 6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,"Есть, но дубль",Хранить одну каноническую копию; вторую исключить из расчётного контура.,Обычный внутренний,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Архивировать дубль; исключить из расчётного контура,a8fcdd6b6090a6883a7a2722815a3cf386228cf010d6b485bf1630f528928fe1,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-006,NDA_ИП_Янина + паспорт.docx,Word DOCX,2.712,Договоры и проектные документы,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Извлечение: complete,Полная: текст/таблицы извлечены,Низкий,Содержит паспортные/персональные данные,Есть,Использовать только в защищённом контуре; не включать персональные данные в аналитические витрины.,Ограниченный доступ: паспортные/персональные данные,DMS/GRC,"Договоры, NDA, регламенты, approvals",Хранить только в защищённом DMS; не загружать в аналитические витрины,c83df869483d0814b2369f0b23c19e9512b933181cd774fd8d6319c5fc594560,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-007,SALES 2024-2026.xlsx,Excel,0.074,Финансы и денежные потоки,2024–2026,Не указано в названии,4 лист(ов); 3 423 непустых ячеек; 845 формул,Полная: значения и формулы извлечены по всем листам,Средний,Скрытых листов: 1,Есть частично/с ограничениями,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,fc6c0194884c06ffde494e1bbb2624f267ede82ba86f48abdd1dce29ca7e2343,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-008,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,PDF,0.33,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,44 стр.; текстовый слой 44/44,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,231bec51ed7e4840300f69de16081d4e4697c38bc63e40b1aa1a7fa12b83f1cc,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-009,VTB_BankStatement_40802810404000000049_01.01.2024-22.06.2026_417016.pdf,PDF,0.218,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,22 стр.; текстовый слой 22/22,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,cf1a608847cbabf78b2fddfc42d1e4b476333b8006f13d0f23f2078fbb5c9655,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
FILE-010,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,PDF,0.86,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,125 стр.; текстовый слой 125/125,Полная: текст извлечён,Низкий,Технических ошибок при извлечении не обнаружено; бизнес-корректность не подтверждена,Есть,Можно использовать как источник после содержательной сверки.,Обычный внутренний,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Карантин → исправление → контрольная загрузка,4e7a03bae00824c1de5183782258450170b3913b609912654c9c41d2cd4a7450,Google Drive: папка аудита (точное имя файла указано в колонке «Файл»)
