edge_id,domain,from_file,to_file,relation,period,current_join,current_status,status_class,evidence,missing_key_or_control,target_join,analysis_enabled,owner,false_join_risk
TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1426958.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,РСВ по форме 3324230.37 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1445469.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,РСВ по форме 2501487.16 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,НДФЛ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,НДФЛ по форме 2202651.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,РСВ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,РСВ по форме 3356719.93 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-011,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,НДФЛ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1863059.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-012,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,РСВ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,РСВ по форме 2789470.66 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-013,Налоги/ФОТ,ЗП за апрель 2025.xlsx,ДДС 2025.xlsx,Payroll calculation ↔ ДДС payroll cash,2025-04,month + displayed control total,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,payroll_batch_id / payment_type,payroll_batch_id + payment_date + employer_id,Ежемесячная выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-014,Налоги/ФОТ,ЗП за апрель 2025.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,2025-04,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-015,Налоги/ФОТ,ЗП за апрель 2025.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,2025-04,date + amount + account,Подтверждено,Подтверждено,Сверка восстановлена до нулевой агрегатной разницы,employee_id / payroll_batch_id,employee_id + payroll_batch_id + bank_payment_id,Employee-level выплата ФОТ,HR/Финансы,Высокий без obligation/ENS ID
TAX-EDGE-016,Налоги/ФОТ,ЗП за апрель 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-017,Налоги/ФОТ,ЗП за апрель 2025.xlsx,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-018,Налоги/ФОТ,ЗП за апрель 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-019,Налоги/ФОТ,ЗП за апрель 2025.xlsx,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-020,Налоги/ФОТ,ЗП за апрель 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
TAX-EDGE-021,Налоги/ФОТ,ЗП за апрель 2025.xlsx,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Payroll accrual ↔ tax form,2025-04,month/year aggregate,Частично,Частично,Месячные файлы покрывают только часть года/периметра,employee_id + income type + tax base,employer_id + employee_id + accrual_period + tax_code,Employee-level НДФЛ/РСВ — заблокировано,HR/Бухгалтерия,Высокий без obligation/ENS ID
