contract_id,domain,field,object,exists_now,required,definition,validation,owner,source_system,target_system
DC-001,Продукт/операции,canonical_sku,SKU,Частично,Да,Постоянный идентификатор SKU,Уникален; alias не перекрываются,Продуктовый блок,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-002,Продукт/операции,model_id,Модель,Нет,Да,Постоянный ID модели без размера/цвета,Одна модель — одна карточка и версии,Продуктовый блок,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-003,Продукт/операции,version_id,Модель/BOM/cost,Нет,Да,Версия объекта с датой действия,Неизменяемость утверждённой версии,Продуктовый блок/финансы,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-004,Продукт/операции,material_id,Материал,Частично,Да,ID номенклатуры материала,"UOM, состав, цвет, поставщик",Закупки/склад,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-005,Продукт/операции,material_lot_id,Партия материала,Нет,Да,Партия с датой и стоимостью поступления,Один lot на документ приёмки,Склад,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-006,Продукт/операции,bom_id / bom_line_id,BOM,Нет,Да,Версионный состав модели,Сумма норм и единицы; effective dates,Технолог,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-007,Продукт/операции,purchase_order_id,Закупка,Нет,Да,Утверждённый заказ поставщику,Связь request→PO→GRN→invoice,Закупки,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-008,Продукт/операции,production_order_id,Производство,Частично,Да,Заказ на выпуск конкретного SKU/qty,"SKU, qty, dates, status обязательны",Производство,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-009,Продукт/операции,operation_id,Операция,Нет,Да,Отдельная операция производства,start/end/hours/output/rework,Производство,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-010,Продукт/операции,cost_version_id,Себестоимость,Нет,Да,Утверждённая версия фактической/плановой cost,Одна active version per context/date,Финансы,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
DC-011,Продукт/операции,inventory_movement_id,Склад,Нет,Да,Строка движения материалов/готовой продукции,"Документ, дата, склад, qty, value",Склад,Текущие файлы / предварительный registry,MDM/ERP/DWH/Data catalog
