rule_id,domain,from_object,to_object,current_join,status,target_join,validation,forbidden_shortcut
JOIN-001,Продукт/операции,TSUM sales line,SKU master,Нормализованный артикул,Работает частично,sales_line.canonical_sku → sku_master.canonical_sku,Alias уникален в периоде; размер/цвет отдельны,Не объединять только по номеру без подтверждения префикса/варианта
JOIN-002,Продукт/операции,Collection model,SKU master,Точный код или body+variant,Частично,model_alias → model_id → canonical_sku,valid_from/valid_to; один активный owner record,Не считать одинаковый номер моделью без варианта/версии
JOIN-003,Продукт/операции,Cost row,SKU/production order,Точный артикул,Частично,canonical_sku + production_order_id + cost_version_id,Одна утверждённая версия на effective date,Не брать MIN/MAX/последнюю cost без утверждённого правила
JOIN-004,Продукт/операции,Material balance,Material master,Код из текста,Частично,material_id + material_lot_id,"Код, UOM, цвет, состав, поставщик",Не объединять по одному нормализованному наименованию
JOIN-005,Продукт/операции,BOM line,Material issue,Совпадение кода,Отсутствует,bom_line_id + production_order_id → material_issue_id,"Норма, фактический расход и отклонение",Не считать наличие кода доказательством фактического расхода
JOIN-006,Продукт/операции,Production plan task,Production order,Свободный текст заказа/модели,Частично,operation_id + production_order_id + model_id,Одна задача — один ID и статус,Не хранить несколько заказов в одной ячейке
JOIN-007,Продукт/операции,FG receipt,Production order,Нет,Отсутствует,production_order_id → inventory_movement_id,Выпуск qty = приход qty ± утверждённые отклонения,Не считать план выпуска фактическим приходом
JOIN-008,Продукт/операции,Sales line,Inventory movement,Нет,Отсутствует,sales_line_id → inventory_issue_movement_id,Количество и SKU совпадают; возврат связан с исходной продажей,Не использовать годовой агрегат для списания склада
JOIN-009,Продукт/операции,Settlement,Bank payment,Месяц/назначение/сумма,Частично,settlement_id → bank_payment_id,gross-returns-commission=net_due; суммы платежей закрывают settlement,Не связывать SKU с банком напрямую
JOIN-010,Продукт/операции,Budget demand,Production/procurement plan,Нет общего ключа,Отсутствует,plan_version_id + canonical_sku + period + scenario_id,Изменение спроса пересчитывает производство/закупки/cash,Не вести независимые планы без version_id
JOIN-011,Налоги/ФОТ,Payroll accrual,6-НДФЛ,entity + year aggregate,Частично,employer_id + employee_id + income_date + income_type_code,Σ income/deductions/NDFL = form totals,Не связывать только по ФИО
JOIN-012,Налоги/ФОТ,Payroll accrual,РСВ,entity + year aggregate,Частично,employer_id + employee_id + accrual_period + tariff_code,Σ remuneration/non-taxable/base/contribution = РСВ,Не распределять тариф пропорционально без регистра
JOIN-013,Налоги/ФОТ,Tax form,Tax obligation,Нет отдельного регистра,Отсутствует,declaration_id + tax_type + reporting_period + due_bucket → obligation_id,Обязательства = раздел 1 формы/уведомления,Не считать строку 020 месячным обязательством
JOIN-014,Налоги/ФОТ,Tax obligation,ENS allocation,Нет,Отсутствует,obligation_id → ens_allocation_id,Allocated amount ≤ obligation amount; open amount controlled,Не связывать ЕНП напрямую по сумме
JOIN-015,Налоги/ФОТ,ENS allocation,Bank payment,Нет,Отсутствует,ens_allocation_id → bank_payment_id,Σ allocations = bank payment or documented account balance movement,Назначение платежа не заменяет allocation
JOIN-016,Налоги/ФОТ,Bank payment,ДДС,date + amount + manual article,Частично,bank_payment_id + account_id,100% bank operations loaded once,Не агрегировать без первичного ID
JOIN-017,Налоги/ФОТ,Payroll batch,Bank payment,date + amount; 3 months reconstructed,Частично,payroll_batch_id + bank_payment_id + employee_id,Σ employee payments = batch = bank debit,Не использовать display total с ФСС/вычетами
JOIN-018,Налоги/ФОТ,Source file,Canonical ledger,File name/manual copy,Частично,source_file_id + source_sheet + source_row_id + version_id,Lineage preserved; no duplicates,Не перезаписывать закрытый период
JOIN-019,Финансы/закрытие,Bank statement line,Cash transaction,Account + date + amount,Частично,bank_payment_id → cash_transaction_id,Unique document/account/date/amount; duplicate control,Не связывать только по сумме
JOIN-020,Финансы/закрытие,Cash transaction,DDS classification,Month + category + amount,Частично,cash_transaction_id → dds_category_id,Every bank/cash line classified once,Не использовать месячный total как transaction-level proof
JOIN-021,Финансы/закрытие,Budget line,Actual line,Article + month,Частично,plan_version_id + account_id + cost_center + period,One mapping table and version,Не сравнивать разные definitions/currencies
JOIN-022,Финансы/закрытие,AR/AP item,Bank payment,Counterparty + amount + date,Отсутствует,ar_ap_item_id ↔ payment_allocation_id ↔ bank_payment_id,Allocation sums equal payment and open item,Не закрывать invoice совпадением суммы без allocation
JOIN-023,Финансы/закрытие,Close period,Statements,Manual process,Отсутствует,close_period_id → reconciliations → approvals,All stop-gates passed,Не перезаписывать закрытый период без adjustment
