decision_id,object_type,object_id,issue,evidence,recommended_decision,owner,priority,analysis_unlocked,source_ref,decision,comment,status,due_date,source_stage,priority_score,wave
DEC-00001,SKU alias,MAP-0001,T-3001 ↔ 0-3001,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат НГ 2024.xlsx / прайс / строка 524; результат капсула 2024.xlsx / прайс / строка 151,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00002,SKU alias,MAP-0002,T-3001 ↔ 0-3001,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2024 / строка 706 / 35881.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00003,SKU alias,MAP-0003,T-2865A ↔ 0-2865A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 22.04.24.xlsx / прайс / строка 323; результат круиз 22.04.24.xlsx / прайс / строка 336,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00004,SKU alias,MAP-0004,T-2754 ↔ 0-2754,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 283 / 24000.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 455 / 34470.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00005,SKU alias,MAP-0005,T-2540 ↔ 0-2540,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 713 / 20491.00; Себестоимость Жукова.xlsx / 2026 / строка 1757 / 2750.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00006,SKU alias,MAP-0006,T-3140 ↔ 0-3140,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 525,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00007,SKU alias,MAP-0007,T-3140 ↔ 0-3140,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 1997 / 46015.00; Себестоимость Жукова.xlsx / 2025 / строка 2053 / 44152.50; Себестоимость Жукова.xlsx / 2025 / строка 676 / 55390.00; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 225 / 44620.20; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 245 / 37488.20; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 262 / 19585.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00008,SKU alias,MAP-0008,T-3140A ↔ 0-3140A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,результат круиз 09.04.25.xlsx / прайс / строка 533,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00009,SKU alias,MAP-0009,T-3140A ↔ 0-3140A,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 1213 / 2100.00; Себестоимость Жукова.xlsx / 2025 / строка 1255 / 41115.00; Себестоимость Меркушина.xlsx / Капсульные коллекции  / строка 39 / 33098.25; Себестоимость Меркушина.xlsx / Капсульные коллекции  / строка 46 / 33098.25; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 305 / 36549.88; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 321 / 43566.91; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 326 / 50392.91; себестоимость Мокеева 2025.xlsx / себестоимость 2025 / строка 330 / 51747.95,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
DEC-00010,SKU alias,MAP-0010,T-2702 ↔ 0-2702,Совпадает номер и вариант после дефиса; отличается префикс,Подтвердить/отклонить и указать canonical_sku + период,Продуктовый блок + коммерция,Высокий,Маржа SKU/коллекции; производство; склад; продажи,Себестоимость Жукова.xlsx / 2025 / строка 152 / 18790.00,,,Не рассмотрено,,17,3,Wave 2 (31–60 дней)
