field_id,source_file_id,version_id,file_name,domain,sheet,sheet_state,header_row,header_confidence,source_column,source_field,normalized_field,tags,entity,data_type,nonempty,estimated_rows,completeness_pct,sample_unique,uniqueness_pct,key_candidate,formula_count,error_count,min_date,max_date,min_number,max_number,sensitivity,current_target_system,target_system,target_register,target_primary_key,proposed_target_field,mapping_rule,join_role,mapping_status,quality_risk,missing_for_production_use,owner_role,approval_status
FLD-0001,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,3,Jan,jan,unclassified,Не классифицировано,number,131,183,71.6,93,71,Нет,31,0,,,-1020,198747,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,jan,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0002,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,4,Feb,feb,unclassified,Не классифицировано,number,130,183,71,89,68.5,Нет,23,0,,,0,400290.82250000007,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,feb,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0003,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,5,March,march,unclassified,Не классифицировано,number,110,183,60.1,86,78.2,Нет,21,0,,,0,250398.8947368421,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,march,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0004,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,6,СВОДНАЯ ТАБЛИЦА ПО ПРОДАЖАМ / Apr,сводная_таблица_по_продажам_apr,unit,Материал,number,112,183,61.2,91,81.2,Нет,20,0,,,0,405649,Обычные внутренние,ERP / WMS,ERP/MDM/WMS,material_master,material_id,material_id,Rename/standardize; no value transformation until owner approval,Candidate key,Mapped candidate — owner confirmation required | Restricted,key not unique,owner approval + uniqueness test,Закупки/склад,Draft
FLD-0005,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,7,May,may,unclassified,Не классифицировано,number,119,183,65,98,82.4,Нет,23,0,,,0,327855.8109473684,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,may,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0006,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,8,June,june,unclassified,Не классифицировано,number,109,183,59.6,85,78,Нет,18,0,,,0,396303,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,june,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0007,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,9,July,july,unclassified,Не классифицировано,number,112,183,61.2,89,79.5,Нет,19,0,,,-300,359895,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,july,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0008,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,10,Aug,aug,unclassified,Не классифицировано,number,104,183,56.8,89,85.6,Нет,18,0,,,0,228431,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,aug,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0009,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,11,Sept,sept,unclassified,Не классифицировано,number,107,183,58.5,85,79.4,Нет,17,0,,,0,383773,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,sept,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
FLD-0010,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,для Юлии (свод продаж),visible,3,Высокая,12,Oct,oct,unclassified,Не классифицировано,number,118,183,64.5,84,71.2,Нет,22,0,,,-1082.2111111111112,297269.7935,Обычные внутренние,Уточнить,Уточнить,data_quarantine,,oct,Rename/standardize; no value transformation until owner approval,Candidate key,Quarantine — unclassified | Restricted,unclassified | key not unique,business definition/entity | owner approval + uniqueness test | canonical key mapping,,Draft
