formula_error_id,source_file_id,version_id,file_name,sheet,cell,error_type,formula,shared_formula_si,shared_anchor,shared_anchor_formula,shared_ref,classification,referenced_error_cells,proposed_patch,patch_confidence,application_status,owner_role,required_evidence,analysis_impact
FERR-0001,FILE-040,VER-019-007,ЗП за январь 2026.xlsx,Распределение,F10,#REF!,окладники!J38+окладники!J44/2+карты!#REF!,,,,,Root structural reference error,,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0002,FILE-040,VER-019-007,ЗП за январь 2026.xlsx,Распределение,F14,#REF!,SUM(F10:F13),,,,,Root structural reference error,F10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0003,FILE-040,VER-019-007,ЗП за январь 2026.xlsx,Распределение,J10,#REF!,SUM(F10:I10),,,,,Root structural reference error,F10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0004,FILE-040,VER-019-007,ЗП за январь 2026.xlsx,Распределение,J14,#REF!,SUM(F14:I14),,,,,Root structural reference error,F14,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0005,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,F10,#REF!,окладники!J38+окладники!#REF!/2+карты!#REF!,,,,,Root structural reference error,,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0006,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,F14,#REF!,SUM(F10:F13),,,,,Root structural reference error,F10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0007,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,G10,#REF!,окладники!J39+окладники!#REF!/2,,,,,Root structural reference error,,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0008,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,G14,#REF!,SUM(G10:G13),,,,,Root structural reference error,G10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0009,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,H10,#REF!,окладники!J40+окладники!J43/2+окладники!#REF!/2,,,,,Root structural reference error,,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
FERR-0010,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,Распределение,H14,#REF!,SUM(H10:H13),,,,,Root structural reference error,H10,"DO NOT AUTO-PATCH: reconstruct deleted reference from source owner, analogous period and control totals",Низкая,Prepared — not applied to original,HR/финансы,"Before/after formula, control total, owner approval, checksum, regression test",Technical error can distort totals or block reproducible link; evidence status must be retested
