period_month,status_core_vs_dds,status_core_ex_card_vs_dds,flips_to_pass,bank_card_out_rub,delta_core_vs_dds,delta_ex_card_vs_dds,so_t,note
2024-01,WIDE_GAP,CLOSE,Y,667396.08,836571.18,169175.1,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-02,SOFT_GAP,CLOSE,N,560065.71,786174.12,226108.41,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-03,CLOSE,SOFT_GAP,N,372177.93,36426.77,-335751.16,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-04,SOFT_GAP,CLOSE,N,795161.78,627941.31,-167220.47,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-05,SOFT_GAP,SOFT_GAP,N,392296.61,984354.17,592057.56,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-06,WIDE_GAP,SOFT_GAP,Y,493671.44,957596.36,463924.92,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-07,CLOSE,CLOSE,N,198895.5,70921.05,-127974.45,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-08,SOFT_GAP,CLOSE,N,84357.09,227156.33,142799.24,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-09,SOFT_GAP,WIDE_GAP,N,299763.51,-458151.99,-757915.5,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-10,CLOSE,CLOSE,N,234456.58,320282.43,85825.85,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-11,CLOSE,SOFT_GAP,N,403563.83,-178429.56,-581993.39,N,Analytical alt — not applied to gate without OWNER ACCEPT
2024-12,WIDE_GAP,SOFT_GAP,Y,886165.5,1852187.69,966022.19,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-01,SOFT_GAP,CLOSE,N,245486.89,260937.78,15450.89,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-02,CLOSE,CLOSE,N,192402.54,-29862.32,-222264.86,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-03,CLOSE,CLOSE,N,268047.62,210492.01,-57555.61,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-04,SOFT_GAP,CLOSE,N,265007.95,656015.62,391007.67,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-05,CLOSE,CLOSE,N,198806.08,236418.15,37612.07,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-06,SOFT_GAP,CLOSE,N,265767.5,569800.55,304033.05,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-07,SOFT_GAP,CLOSE,N,112756.81,509531.34,396774.53,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-08,CLOSE,CLOSE,N,25743.0,-155365.06,-181108.06,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-09,CLOSE,CLOSE,N,30420.44,870.34,-29550.1,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-10,CLOSE,CLOSE,N,71563.25,-89989.79,-161553.04,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-11,CLOSE,CLOSE,N,121080.15,-171223.93,-292304.08,N,Analytical alt — not applied to gate without OWNER ACCEPT
2025-12,CLOSE,CLOSE,N,35217.0,6509.02,-28707.98,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-01,CLOSE,CLOSE,N,32147.59,-173742.37,-205889.96,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-02,WIDE_GAP,WIDE_GAP,N,39497.66,-1499972.03,-1539469.69,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-03,CLOSE,CLOSE,N,133806.62,-220945.21,-354751.83,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-04,CLOSE,CLOSE,N,83819.8,-122779.52,-206599.32,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-05,CLOSE,CLOSE,N,63013.97,299357.72,236343.75,N,Analytical alt — not applied to gate without OWNER ACCEPT
2026-06,BANK_ONLY,BANK_ONLY,N,102928.72,5549424.35,5446495.63,N,Analytical alt — not applied to gate without OWNER ACCEPT
