domain,category,file_count
Коллекции и продукт,collection_result,12
Персонал и оплата труда,payroll_monthly,11
Налоги и обязательная отчётность,tax_insurance,6
Финансы и денежные потоки,bank,6
Налоги и обязательная отчётность,tax_6ndfl,5
Налоги и обязательная отчётность,tax_nds,5
Персонал и оплата труда,payroll_designers,5
Персонал и оплата труда,payroll_shop,5
Налоги и обязательная отчётность,tax_usn,4
Себестоимость и производство,cost_person,4
Банк / Сбер,bank_sber,3
Банк / карточный счёт,bank_card,3
Договоры и проектные документы,contracts,3
Налоги и обязательная отчётность,tax_list,3
Продажи и каналы,sales_tsum,3
Финансы и денежные потоки,cashflow_dds,3
Финансы и денежные потоки,expenses,3
Налоги и обязательная отчётность,tax_ens,2
Персонал и оплата труда,hr_policy,2
Персонал и оплата труда,org,2
Продажи и каналы,sales_b2b,2
Финансы и денежные потоки,budget,2
Governance / RACI,org_raci,1
Закупки и запасы,inventory,1
Закупки и запасы,procurement,1
Материалы / ткани,mat_movement,1
Продажи B2B,sales_b2b,1
Продажи ИМ,sales_im,1
Продажи ЦУМ,sales_tsum,1
Продукт / номенклатура,sku_master,1
Себестоимость и производство,cost_embroidery,1
Себестоимость и производство,md,1
Склад / себестоимость,stock_cost_movement,1
Склад / товар,stock_movement,1
Финансы и денежные потоки,sales_general,1
