period_month,pos_candidate_rub,legal_entity_id,so_t
2024-01,185630.0,LE-IP-YANINA,N
2024-02,1186180.0,LE-IP-YANINA,N
2024-03,1356222.55,LE-IP-YANINA,N
2024-04,1237048.09,LE-IP-YANINA,N
2024-05,3026697.15,LE-IP-YANINA,N
2024-06,1881360.05,LE-IP-YANINA,N
2024-07,666558.25,LE-IP-YANINA,N
2024-08,462756.05,LE-IP-YANINA,N
2024-09,621660.0,LE-IP-YANINA,N
2024-10,1416650.0,LE-IP-YANINA,N
2024-11,1313478.8,LE-IP-YANINA,N
2024-12,2335762.75,LE-IP-YANINA,N
2025-03,625900.0,LE-IP-YANINA,N
2025-04,4876353.55,LE-IP-YANINA,N
2025-05,1405463.35,LE-IP-YANINA,N
2025-06,2132497.9,LE-IP-YANINA,N
2025-08,366800.0,LE-IP-YANINA,N
2025-09,990887.5,LE-IP-YANINA,N
2025-10,3966620.0,LE-IP-YANINA,N
2025-11,6821658.25,LE-IP-YANINA,N
2025-12,6182602.55,LE-IP-YANINA,N
2026-01,825468.64,LE-IP-YANINA,N
2026-02,2556688.17,LE-IP-YANINA,N
2026-03,4549174.89,LE-IP-YANINA,N
2026-04,4116399.15,LE-IP-YANINA,N
2026-05,1757802.09,LE-IP-YANINA,N
2026-06,5392809.08,LE-IP-YANINA,N
