period_month,bank_core_out_rub,bank_all_out_rub,dds_b_bn_rub,delta_core_vs_dds,status_core_vs_dds,abs_delta,note,rank_by_abs_delta,priority
2026-06,5549424.35,5707884.21,0.0,5549424.35,BANK_ONLY,5549424.35,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,1,HIGH
2024-12,10724705.19,10840469.49,8872517.5,1852187.69,WIDE_GAP,1852187.69,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,2,HIGH
2026-02,5029262.42,5139138.93,6529234.45,-1499972.03,WIDE_GAP,1499972.03,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,3,HIGH
2024-05,6740657.02,6833929.02,5756302.85,984354.17,SOFT_GAP,984354.17,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,4,MED
2024-06,4317077.66,4412182.83,3359481.3,957596.36,WIDE_GAP,957596.36,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,5,MED
2024-01,4107644.54,4235428.59,3271073.36,836571.18,WIDE_GAP,836571.18,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,6,MED
2024-02,5462799.62,5559047.88,4676625.5,786174.12,SOFT_GAP,786174.12,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,7,MED
2025-04,10460836.84,10544326.66,9804821.22,656015.62,SOFT_GAP,656015.62,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,8,MED
2024-04,7834597.54,7941260.82,7206656.23,627941.31,SOFT_GAP,627941.31,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,9,MED
2025-06,6777131.88,6880329.78,6207331.33,569800.55,SOFT_GAP,569800.55,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,10,MED
2025-07,9231025.14,9381641.94,8721493.8,509531.34,SOFT_GAP,509531.34,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,11,MED
2024-09,3702157.65,3791819.93,4160309.64,-458151.99,SOFT_GAP,458151.99,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,12,MED
2024-10,7479138.6,8723265.78,7158856.17,320282.43,CLOSE,320282.43,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,13,MED
2026-05,7611716.75,7741810.33,7312359.03,299357.72,CLOSE,299357.72,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,14,LOW
2025-01,5085083.77,5149324.36,4824145.99,260937.78,SOFT_GAP,260937.78,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,15,LOW
2025-05,5010545.02,5120078.72,4774126.87,236418.15,CLOSE,236418.15,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,16,LOW
2024-08,4151511.8,4249029.28,3924355.47,227156.33,SOFT_GAP,227156.33,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,17,LOW
2026-03,8660732.02,8797627.54,8881677.23,-220945.21,CLOSE,220945.21,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,18,LOW
2025-03,6330300.01,6563172.83,6119808.0,210492.01,CLOSE,210492.01,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,19,LOW
2024-11,6876327.04,6975330.74,7054756.6,-178429.56,CLOSE,178429.56,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,20,LOW
2026-01,4588104.47,4721751.98,4761846.84,-173742.37,CLOSE,173742.37,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,21,LOW
2025-11,7354723.84,7482316.04,7525947.77,-171223.93,CLOSE,171223.93,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,22,LOW
2025-08,5621777.6,6309851.73,5777142.66,-155365.06,CLOSE,155365.06,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,23,LOW
2026-04,10322274.76,10546467.94,10445054.28,-122779.52,CLOSE,122779.52,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,24,LOW
2025-10,8274275.99,8424417.04,8364265.78,-89989.79,CLOSE,89989.79,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,25,LOW
2024-07,5521570.58,5653787.9,5450649.53,70921.05,CLOSE,70921.05,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,26,LOW
2024-03,4377932.54,4593847.05,4341505.77,36426.77,CLOSE,36426.77,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,27,LOW
2025-02,4626775.72,4762748.54,4656638.04,-29862.32,CLOSE,29862.32,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,28,LOW
2025-12,11250135.14,11414029.07,11243626.12,6509.02,CLOSE,6509.02,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,29,LOW
2025-09,5239134.52,5339657.06,5238264.18,870.34,CLOSE,870.34,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS,30,LOW
