lineage_id,link_config_id,edge_id,domain,from_file,from_source_file_ids,target_token,from_field_candidates,to_file,to_source_file_ids,to_field_candidates,availability,current_status,current_join,target_join,missing_for_execution,transformation_rule,owner_role,integration_test_id,approval_status
LIN-0001,LCFG-001,TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,employer_id,,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-001,Draft
LIN-0002,LCFG-001,TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,employee_id,,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-001,Draft
LIN-0003,LCFG-001,TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,accrual_period,,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-001,Draft
LIN-0004,LCFG-002,TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,employer_id,,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-002,Draft
LIN-0005,LCFG-002,TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,employee_id,,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-002,Draft
LIN-0006,LCFG-002,TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,accrual_period,,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-002,Draft
LIN-0007,LCFG-003,TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,employer_id,,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-003,Draft
LIN-0008,LCFG-003,TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,employee_id,,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-003,Draft
LIN-0009,LCFG-003,TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,accrual_period,,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-003,Draft
LIN-0010,LCFG-004,TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,employer_id,,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-004,Draft
LIN-0011,LCFG-004,TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,employee_id,,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-004,Draft
LIN-0012,LCFG-004,TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,accrual_period,,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,,Neither side,Подтверждено,entity + year + total amount,employer_id + employee_id + accrual_period,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия,IT-004,Draft
LIN-0013,LCFG-005,TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,obligation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-005,Draft
LIN-0014,LCFG-005,TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,ens_allocation_id,,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,,Neither side,Частично,entity + year + purpose text,obligation_id → ens_allocation_id → bank_payment_id,source field/key | target field/key,Standardize type/format; use primary ID; no fuzzy join in production,Бухгалтерия/Финансы,IT-005,Draft
