period_month,pos_vtb_rub,pos_n,tbank_ip_rub,tbank_n,dekor_inflow_rub,dekor_n,acq_pool_rub,im_open,im_sales_rub,im_bank_combo_rub,im_gap_rub,im_pattern,owner_action,register_ask,dekor_rent_internal_rub,dekor_rent_n,dekor_note,acq_pool_ex_dekor_rent_rub
2024-01,185630.0,1,527008.05,8,0.0,0,712638.05,N,,,,,MONITOR,,0.0,0,,712638.05
2024-02,1186180.0,5,1270753.37,16,0.0,0,2456933.37,N,,,,,MONITOR,,0.0,0,,2456933.37
2024-03,1356222.55,4,2617337.53,13,0.0,0,3973560.08,N,,,,,MONITOR,,0.0,0,,3973560.08
2024-04,1237048.09,1,1730384.42,14,140000.0,1,3107432.51,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,3107432.51
2024-05,3026697.15,6,1643973.53,16,280000.0,2,4950670.68,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,4950670.68
2024-06,1881360.05,7,2933668.7,10,90000.0,1,4905028.75,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,4905028.75
2024-07,666558.25,2,1702041.42,9,0.0,0,2368599.67,N,,,,,MONITOR,,0.0,0,,2368599.67
2024-08,462756.05,1,1999329.53,6,180000.0,1,2642085.58,Y,977346.0,1702041.42,724695.42,OVERBANKED,NEED_ACQ_REGISTER — POS не лить; объяснить surplus,Реестр возмещений ПОС IP+Декор за 2024-08 ±1м,180000.0,1,"H58: prior dekor_inflow was INTERNAL rent Dekor→Salon, NOT acquiring",2462085.58
2024-09,621660.0,1,2460258.95,10,0.0,0,3081918.95,N,,,,,MONITOR,,0.0,0,,3081918.95
2024-10,1416650.0,6,3996259.03,12,270000.0,2,5682909.03,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,5682909.03
2024-11,1313478.8,4,2575800.28,11,0.0,0,3889279.08,N,,,,,MONITOR,,0.0,0,,3889279.08
2024-12,2335762.75,4,3323966.15,16,90000.0,1,5749728.9,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,5749728.9
2025-01,0.0,0,1197045.18,9,0.0,0,1197045.18,Y,776530.0,1197045.18,420515.18,OVERBANKED,NEED_ACQ_REGISTER — POS не лить; объяснить surplus,Реестр возмещений ПОС IP+Декор за 2025-01 ±1м,0.0,0,,1197045.18
2025-02,0.0,0,1255532.52,7,0.0,0,1255532.52,N,,,,,MONITOR,,0.0,0,,1255532.52
2025-03,625900.0,2,1172215.47,7,0.0,0,1798115.47,N,,,,,MONITOR,,0.0,0,,1798115.47
2025-04,4876353.55,8,655148.69,7,450000.0,3,5981502.24,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,5981502.24
2025-05,1405463.35,4,1282099.67,8,0.0,0,2687563.02,N,,,,,MONITOR,,0.0,0,,2687563.02
2025-06,2132497.9,4,1242165.52,11,90000.0,1,3464663.42,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,3464663.42
2025-07,0.0,0,1279026.4,6,180000.0,1,1459026.4,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,1459026.4
2025-08,366800.0,3,773638.19,7,0.0,0,1140438.19,Y,3594028.0,2658193.31,-935834.69,UNDERBANKED,POS_SLICE_ACCEPT (H46) — не весь POS в IM,,0.0,0,,1140438.19
2025-09,990887.5,2,1401833.31,4,90000.0,1,2482720.81,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,2482720.81
2025-10,3966620.0,5,920964.43,4,90000.0,1,4977584.43,Y,676092.0,920964.43,244872.43,OVERBANKED,NEED_ACQ_REGISTER — POS не лить; объяснить surplus,Реестр возмещений ПОС IP+Декор за 2025-10 ±1м,90000.0,1,"H58: prior dekor_inflow was INTERNAL rent Dekor→Salon, NOT acquiring",4887584.43
2025-11,6821658.25,9,5080598.01,8,90000.0,1,11992256.26,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,11992256.26
2025-12,6182602.55,8,1545936.8,8,270000.0,2,7998539.35,N,,,,,MONITOR,,0.0,0,verify if rent or acquiring,7998539.35
2026-01,825468.64,2,975128.91,6,0.0,0,1800597.55,N,,,,,MONITOR,,0.0,0,,1800597.55
2026-02,2556688.17,4,107078.65,3,0.0,0,2663766.82,N,,,,,MONITOR,,0.0,0,,2663766.82
2026-03,4549174.89,7,672194.72,8,0.0,0,5221369.61,Y,408090.0,672194.72,264104.72,OVERBANKED,NEED_ACQ_REGISTER — POS не лить; объяснить surplus,Реестр возмещений ПОС IP+Декор за 2026-03 ±1м,0.0,0,,5221369.61
2026-04,4116399.15,8,2036424.67,7,0.0,0,6152823.82,Y,3399021.0,2039914.67,-1359106.33,UNDERBANKED,POS_SLICE_ACCEPT (H46) — не весь POS в IM,,0.0,0,,6152823.82
2026-05,1757802.09,7,365284.48,8,0.0,0,2123086.57,N,,,,,MONITOR,,0.0,0,,2123086.57
2026-06,5392809.08,8,1675825.17,5,0.0,0,7068634.25,N,,,,,MONITOR,,0.0,0,,7068634.25
