work_order_id,period_month,settle_date,bank_le,source_channel,channel_confidence,payment_id_or_ref,amount_rub,currency,counterparty_short,purpose_short,in_class_now,maps_to_channel,im_share_rub,other_channel_share_rub,other_channel_name,timing_lag_days,owner_comment,status,instruction_ru,hypothesis_confidence,hypothesis_rule,owner_must_confirm,do_not_auto_accept,surplus_month_rub,so_t
WO-ACQ-2024-08,2024-08,2024-08-02,LE-IP-YANINA,TBANK,HIGH,752e48b92d4ea8c8,809838.5,RUB,"АО ""ТБАНК""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 01.08.202,ACQ_IM,IM,809838.5,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-05,LE-IP-YANINA,TBANK,HIGH,d310265ab8e35cee,329542.97,RUB,"АО ""ТБАНК""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 02.08.202,ACQ_IM,IM,329542.97,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-23,LE-IP-YANINA,TBANK,HIGH,85df0bbd42fcbb97,326361.04,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 22.08.202,ACQ_IM,IM,326361.04,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-26,LE-IP-YANINA,TBANK,HIGH,93bf7d84a9dddb41,20750.44,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 23.08.202,ACQ_IM,IM,20750.44,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-27,LE-IP-YANINA,TBANK,HIGH,2364d885308f4bbf,33953.5,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 26.08.202,ACQ_IM,IM,33953.5,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-29,LE-IP-YANINA,TBANK,HIGH,bbb3393145305ca8,478883.08,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по Реестру операций от 28.08.202,ACQ_IM,IM,478883.08,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-02,LE-IP-YANINA,POS_VTB,HIGH,9bab5439e42062aa,462756.05,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 01.08.24,Ком-сия по операциям 10893.95 ",OTHER_IN,POS_HOLD_NOT_IM,0,462756.05,POS_VTB_UNALLOCATED,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH_FOR_EXCLUSION): OVERBANK month: forbid ADD_POS_TO_IM; need register to split. Подтвердить/править. НЕ auto-Accept.,HIGH_FOR_EXCLUSION,OVERBANK month: forbid ADD_POS_TO_IM; need register to split,YES,YES,724695.42,N
WO-ACQ-2024-08,2024-08,2024-08-01,LE-OOO-SALON-YANINA,DEKOR_INTERNAL_RENT,HIGH,5ae66dd964670059,180000.0,RUB,"ООО ""ДЕКОР""",ОПЛАТА ЗА АРЕНДУ ПО ДОГОВОРУ АРЕНДЫ № 3/24 ОТ 01.04.2024 Г. ЗА МАЙ-ИЮНЬ 2024 Г. НДС НЕ ОБЛАГАЕТСЯ,INTERNAL,INTERNAL,0,180000.0,DEKOR_RENT,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): Internal rent DEKOR — NOT IM. Подтвердить/править. НЕ auto-Accept.,HIGH,Internal rent DEKOR — NOT IM,YES,YES,724695.42,N
WO-ACQ-2025-01,2025-01,2025-01-10,LE-IP-YANINA,TBANK,HIGH,7d130c190c1564b3,38154.03,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 09.01.202,ACQ_IM,IM,38154.03,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,420515.18,N
WO-ACQ-2025-01,2025-01,2025-01-13,LE-IP-YANINA,TBANK,HIGH,41f7ac1ed001778c,78287.07,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 11.01.202,ACQ_IM,IM,78287.07,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,420515.18,N
WO-ACQ-2025-01,2025-01,2025-01-13,LE-IP-YANINA,TBANK,HIGH,c55fb1c762be4ad0,38154.03,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 11.01.202,ACQ_IM,IM,38154.03,0,,,,HYPOTHESIS_PREFILL_WAITING_CONFIRM,ГИПОТЕЗА (HIGH): TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise. Подтвердить/править. НЕ auto-Accept.,HIGH,TBANK C_139035 IP YANINA acquiring → IM 100% until register says otherwise,YES,YES,420515.18,N
