article_norm,article_family,person_sources,person_lines_n,person_years,clients_sample,products_sample,cost_rub_sum_indicative,cost_lines_n,hours_sum,in_collection_sales,collection_sale_eur,collection_link_coverage,collection_priority,in_sku_master,in_stock_cost,bridge_value,so_t,do_not_auto_accept
46-21,COLLECTION_STYLE,embroidery|mokeeva|zhukova,129,2024-2026|2025|2026,Ахмедова|Ева Лангория|Енгибарян,НАКИДКА|ПЛАТЬЕ|блуза,1386253.85,15,3351.0,Y,79176.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
46-01,COLLECTION_STYLE,embroidery|mokeeva,114,2024-2026|2025|2026,Коллекция|Кузьмич|Магдалина,жакет|жакет с выш|жакет черн,315866.6,11,1039.5,Y,35620.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
47-12,COLLECTION_STYLE,embroidery|mokeeva,88,2024-2026|2025|2026,Борисевич|Влада|Владимирова,Браслет|боди|брошь,796752.5,14,1100.5,Y,63045.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
44-28,COLLECTION_STYLE,embroidery|mokeeva,73,2024-2026|2025,Казьмина|Кузьмич|Кулишова,"блуза""пальчики""|блузон|блузон клематис",20890.0,2,1624.0,Y,71545.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
43-09,COLLECTION_STYLE,embroidery|mokeeva,66,2024-2026|2025,Зингаревич|Крушинская|Лукоянова,"жакет|жакет""феникс""|ниж.юбка",284353.0,16,494.0,Y,67510.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
45-09,COLLECTION_STYLE,embroidery|mokeeva,66,2024-2026|2025,Вита|Запас|Коллекция,жилет пальто|кейп|колье,204705.0,11,622.5,Y,46110.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
45-06,COLLECTION_STYLE,embroidery|mokeeva,64,2024-2026|2025,Коллекция|Крушинская|Кузнецова,бант|берет фуксия|брюки,146755.0,11,364.0,Y,26420.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
44-05,COLLECTION_STYLE,embroidery|mokeeva|zhukova,62,2024-2026|2025,Батурина|Влада|Гирько,КОСТЮМ|жакет|жакет(кожа),144131.0,9,357.8,Y,53790.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
44-14,COLLECTION_STYLE,embroidery|mokeeva,59,2024-2026|2025,Вита|Кулишова|Кулишова М,жакет|жакет +шапочка|ниж платье,72505.0,4,625.5,Y,35570.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
44-22,COLLECTION_STYLE,embroidery|mokeeva,58,2024-2026|2025|2026,Вита|Гирько|Жилова,брюки|ободок|платье,76653.0,4,632.5,Y,102330.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
0-3400,GOODS_STYLE,embroidery|mokeeva|zhukova,52,2024-2026|2026,Дашкова|Дашкова А|Дашкова/Жукова,ПЛАТЬЕ|платье|платье бел,137534.6,7,113.0,Y,8182.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
44-27,COLLECTION_STYLE,embroidery|mokeeva,50,2024-2026|2025|2026,Крупицкая|Резеда|Уланова,"блуза|блуза ""Лебедь""|блуза ""белые пальчики""",176069.0,2,648.0,Y,17010.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
36-05,COLLECTION_STYLE,embroidery|mokeeva,49,2024-2026|2025|2026,Camilla|Camille|Ахмедова,"жакет|жакет ""пятн на просвет""|жакет камешки",322280.6,8,394.0,N,,,,N,N,ORPHAN_COST,N,YES
47-18,COLLECTION_STYLE,embroidery|mokeeva,49,2024-2026|2025|2026,Коллекция|Коллекция 47|Резеда,бусы|жакет|корсет,280037.0,5,612.5,Y,11200.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
43-02,COLLECTION_STYLE,embroidery|mokeeva,48,2024-2026|2025,Казьмина|Мустафаева|Сазонова,жакет|юбка,75541.0,5,417.5,Y,29700.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
0-3001,GOODS_STYLE,embroidery|zhukova,45,2024|2024-2026,Батурина|Вита|Жукова+Кузьмич,КУРТКА|куртка|куртка(капсула+клиент),5281.0,1,497.0,Y,43130.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
46-14,COLLECTION_STYLE,embroidery|mokeeva,45,2024-2026|2025,Коллекция|Кузьмич|Кулишова,платье,133717.0,7,478.0,Y,28670.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
47-19,COLLECTION_STYLE,embroidery|mokeeva,45,2024-2026|2025|2026,Коллекция|Коллекция 47|Магдалина,боди|брошь|брюки,360452.0,6,481.0,Y,29850.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
0-3231,GOODS_STYLE,embroidery|mokeeva|zhukova,44,2024-2026|2025,Батурина|Батурина Е|Запас,КУРТКА|жакет н/п|жакет на синтепоне,92502.0,4,145.0,Y,11040.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
46-16,COLLECTION_STYLE,embroidery|mokeeva,43,2024-2026|2025|2026,Коллекция|Кулишова|Кулишова М,платье|платье н/п,213774.3,4,554.0,Y,34550.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
45-19,COLLECTION_STYLE,embroidery|mokeeva,42,2024-2026|2025,Коллекция|Литвинюк,боди|жакет|кейп,14530.0,1,618.0,Y,11680.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
46-02,COLLECTION_STYLE,embroidery|mokeeva,42,2024-2026|2025,Коллекция|Медведева|Элисо,жакет|пальто,53056.0,2,620.5,Y,24565.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
47-21,COLLECTION_STYLE,embroidery|mokeeva,42,2024-2026|2025|2026,Ахмедова|Коллекция|Коллекция 47,брошь|жакет|ниж юбка,369067.7,6,567.0,Y,43380.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
0-3130,GOODS_STYLE,embroidery|mokeeva,41,2024-2026|2025,Жукова|Казьмина|Капсула,платье|платье(белое)|платье(красное),30460.0,2,91.5,N,,,,N,N,ORPHAN_COST,N,YES
46-10,COLLECTION_STYLE,embroidery|mokeeva,40,2024-2026|2025|2026,Коллекция|Крупицкая|коллекция 46,блуза (по идее платья)|жакет|платье,232915.0,3,444.0,Y,12070.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
46-04,COLLECTION_STYLE,embroidery|mokeeva,40,2024-2026|2025,Коллекция|Мустафаева|Резеда,баска|блуза|брюки,107533.0,7,374.0,Y,18202.0,NONE,HIGH,N,N,CLOSES_COLLECTION_GAP,N,YES
