sku_row_id,name,article,article_norm,code_1c,unit,composition,source_file,source_file_id,so_t
SKU-1,Доставка по миру,,,00-00000202,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-2,Доставка по Москве,,,00-00000131,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-3,Доставка по России,,,00-00000132,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-4,Международная доставка,,,00-00000133,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-5,"Блуза женская, черная, из бархата, декорирована белым воротником и ниткой жемчуга",,,00-00000909,шт,100% полиэстер,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-6,"Брюки женские, черные, из бархата, прямого кроя, на резинке",,,00-00001773,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-7,Комиссионное вознаграждение,,,00-00000768,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-8,"Юбк женская, серая, из льна",,,00-00001881,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-9,Доставка DPD Екатеринбург,,,00-00000595,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-10,"Юбка женская, зеленая с рисунком, из хлопка",0-1036,0-1036,00-00000196,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-11,"Платье женское, зеленое, из шелковой ткани",0-1040,0-1040,00-00000384,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-12,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",0-1043,0-1043,00-00000865,шт,100% шелк,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-13,"Платье-рубашка женское, серое в горох, из хлопка",0-1050,0-1050,00-00000205,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-14,"Жилет женский, черный, из шерстяной ткани, с отделкой из металлических ""молний""",0-1053,0-1053,00-00000439,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-15,"Халат женский, черный,  из шелка,с вышивкой и белым кантом",0-1068,0-1068,00-00000252,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-16,"Блуза женская, белая, из трикотажа, с логотипом YANINA",0-1075,0-1075,00-00000026,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-17,"Блуза женская, белая, из трикотажа, с отделкой из жемчуга по горловине",0-1075А,0-1075А,00-00000667,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-18,"Блуза женская, черная, из трикотажа, с отделкой из жемчуга по горловине",0-1075В,0-1075В,00-00000668,шт,100% хлопок,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-19,"Юбка женская, зеленая, из сетки, с расшивкой зелеными пайетками",0-1079,0-1079,00-00001217,шт,"100% полиэстер, подкладка: 100% шелк",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-20,"Юбка женская, розовая, из сетки, с расшивкой розовыми пайетками",0-1079А,0-1079А,00-00001216,шт,"100% полиэстер, подкладка: 100% шелк",Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
SKU-21,"Платье женское, черное из кружева прямого силуэта",0-1087,0-1087,00-00000400,шт,,Справочник номенклатуры товара.xls,SRC-9FC954AF42A9,N
