file_name,local_match,master_file_id,domain,category,in_documents,used_in_ART_FIN,used_in_ART_COST,in_graph_S18,edge_degree,econ_chains,sha256_prefix,system_status
6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,,FILE-001,Налоги и обязательная отчётность,tax_6ndfl,Y,N,N,Y,2,EC-01;EC-02;EC-03;EC-05,f5301bbae5d8fc62,ACTIVE
6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,,FILE-002,Налоги и обязательная отчётность,tax_6ndfl,Y,N,N,Y,2,EC-01;EC-02;EC-03;EC-05,4f39b4966345ad10,ACTIVE
6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,,FILE-003,Налоги и обязательная отчётность,tax_6ndfl,Y,N,N,Y,8,EC-01;EC-02;EC-03;EC-05,99a04fde09f387e0,ACTIVE
6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,,FILE-004,Налоги и обязательная отчётность,tax_6ndfl,Y,N,N,N,0,EC-03;EC-05,a8fcdd6b6090a688,ACTIVE
6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,,FILE-005,Налоги и обязательная отчётность,tax_6ndfl,Y,N,N,Y,8,EC-01;EC-02;EC-03;EC-05,a8fcdd6b6090a688,ACTIVE
6-НДФЛ за 1 квартал 2026 — отсутствует,,,,,N,N,N,Y,1,EC-03;EC-05,,GRAPH_NODE_ONLY
BANK_STATEMENTS,,,,,N,N,N,Y,29,EC-01;EC-04;EC-06,,GRAPH_NODE_ONLY
COLLECTION_FILES,,,,,N,N,N,Y,4,EC-01;EC-02;EC-04;EC-06,,GRAPH_NODE_ONLY
COST_FILES,,,,,N,N,N,Y,5,EC-01;EC-02;EC-04;EC-06,,GRAPH_NODE_ONLY
MASTER_SKU,,,,,N,N,N,Y,22,EC-01;EC-04;EC-06,,GRAPH_NODE_ONLY
NDA_ИП_Янина + паспорт.docx,,FILE-006,Договоры и проектные документы,contracts,Y,N,N,N,0,,c83df869483d0814,ACTIVE
SALES 2024-2026.xlsx,,FILE-007,Финансы и денежные потоки,sales_general,Y,Y,N,Y,30,EC-01;EC-02;EC-04;EC-06,fc6c0194884c06ff,ACTIVE
VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,,FILE-008,Финансы и денежные потоки,bank,Y,N,N,Y,19,EC-01;EC-02;EC-03;EC-04;EC-05;EC-06,231bec51ed7e4840,ACTIVE
