rank,priority_band,canonical_sku,fix_types,fixed_lines,revenue_rub,margin_pct,sale_name,cost_name_alt,preferred_unit_cost_rub,hint,decision_ACCEPT_REJECT_DEFER,if_reject_reason,reviewer_fio,date
1,P0_REVIEW_FIRST,T-2750B,CATEGORY_MISMATCH,15,1009708.33,88.3,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,5350.272727272727,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
2,P0_REVIEW_FIRST,T-2750C,CATEGORY_MISMATCH,7,309700.0,95.3,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,5400.703,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
3,P0_REVIEW_FIRST,T-3187A,CATEGORY_MISMATCH,6,808400.0,80.5,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,22462.05,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
4,P0_REVIEW_FIRST,T-2973A,CATEGORY_MISMATCH,5,554093.59,86.5,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,5977.615555555555,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
5,P0_REVIEW_FIRST,T-3069B,CATEGORY_MISMATCH,5,355265.0,86.5,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",5346.6,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
6,P1_REVIEW,T-2973,CATEGORY_MISMATCH,4,448244.81,88.1,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,5919.43,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
7,P1_REVIEW,T-1444A,CATEGORY_MISMATCH,4,259527.75,85.9,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",Худи с капюшоном Дерево,7298.82375,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
8,P1_REVIEW,T-2973B,CATEGORY_MISMATCH,3,473688.24,88.6,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,6757.474999999999,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
9,P1_REVIEW,T-2910,CATEGORY_MISMATCH,3,446546.96,85.8,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,15849.928333333333,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
10,P1_REVIEW,T-2923,CATEGORY_MISMATCH,3,395272.73,88.2,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,15498.524285714286,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
11,P2_BATCH,T-3178,UNIT_RATIO,5,146763.85,76.3,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",1653.2153846153847,Проверить единицу (шт/комплект) и масштаб unit_cost; ACCEPT только если ratio объясним,,,Коновалова Анна,
12,P2_BATCH,0-2027F,CATEGORY_MISMATCH,1,687720.0,91.9,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,7980.0,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
13,P2_BATCH,0-3073A,CATEGORY_MISMATCH,2,171209.45,70.3,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",БЛУЗА,8236.0,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
14,P2_BATCH,T-2750D,CATEGORY_MISMATCH,2,166630.98,87.0,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,5414.3862500000005,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
15,P2_BATCH,T-3091D,CATEGORY_MISMATCH,1,194120.0,88.8,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",10879.685714285713,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
16,P2_BATCH,0-3362,CATEGORY_MISMATCH,1,39950.0,86.4,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,500.0,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,,,Коновалова Анна,
