review_rank,canonical_sku,alias_status,fix_types,fixed_lines_flagged,sales_lines_in_mart,sales_qty,revenue_rub,cogs_rub,margin_rub,margin_pct,channels,period_from,period_to,sale_name_sample,wrong_or_alt_cost_name_sample,preferred_cost_version_id,preferred_unit_cost_rub,proposed_rule,registry_accept_now,applied_to_sales_now,impact_score,review_complexity,reviewer_hint_ru,coverage,owner_role,raci_blocker,decision,decision_note,do_not_auto_apply,priority_band
1,T-2750B,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,15,15,22.0,1009708.33,117705.97,892002.36,88.3,TSUM,2024-04,2026-04,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,CV-98101a4547510f16,5350.272727272727,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,220.2,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P0_REVIEW_FIRST
2,T-2750C,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,7,9,7.0,309700.0,14533.85,295166.15,95.3,TSUM,2024-06,2026-06,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,CV-e492aca3d0c5ac46,5400.703,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,126.2,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P0_REVIEW_FIRST
3,T-3187A,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,6,6,7.0,808400.0,157234.35,651165.65,80.5,TSUM,2025-11,2026-06,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,CV-ef35f6b857d8b3cd,22462.05,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,126.2,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P0_REVIEW_FIRST
4,T-2973A,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,5,11,9.0,554093.59,74994.59,479099.0,86.5,"IM,TSUM",2025-06,2026-06,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-7f42aba6bd3cc72f,5977.615555555555,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,111.1,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P0_REVIEW_FIRST
5,T-3069B,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,5,7,8.0,355265.0,47793.79,307471.21,86.5,"IM,TSUM",2026-02,2026-06,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",CV-4c8f25bb5b6644d1,5346.6,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,107.1,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P0_REVIEW_FIRST
6,T-2973,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,4,7,7.0,448244.81,53398.93,394845.88,88.1,"IM,TSUM",2025-05,2026-04,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b6691478402e7e12,5919.43,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,99.0,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P1_REVIEW
7,T-1444A,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,4,4,5.0,259527.75,36494.11,223033.64,85.9,TSUM,2025-04,2026-02,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",Худи с капюшоном Дерево,CV-4c1d30852ba664fd,7298.82375,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,95.2,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P1_REVIEW
8,T-2973B,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,3,5,7.0,473688.24,54059.78,419628.46,88.6,"IM,TSUM",2025-06,2026-05,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b389209735ee51e2,6757.474999999999,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,89.5,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P1_REVIEW
9,T-2910,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,3,4,4.0,446546.96,63399.72,383147.24,85.8,"IM,TSUM",2025-07,2025-10,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-30dc1a0767b2c268,15849.928333333333,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,88.9,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P1_REVIEW
10,T-2923,CONTROLLED_CANDIDATE,CATEGORY_MISMATCH,3,3,3.0,395272.73,46495.56,348777.17,88.2,TSUM,2025-06,2025-09,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-9c01fe23c1cfba8a,15498.524285714286,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,PENDING_PRODUCT_REVIEW,N,87.9,COMPARE_NAMES_THEN_COST,Сверить sale_name vs cost_name: одна модель? Если да — ACCEPT preferred CV; если нет — REJECT,IN_SALES,DOM-PRODUCT (кандидат Коновалова Анна),YES until H43 CONFIRM DOM-PRODUCT,,,YES — Accept ≠ rewrite sales until separate apply,P1_REVIEW
