in_class,period_month,amount_rub
ACQ_IM,2024-01,2605833.05
ACQ_IM,2024-02,1270753.37
ACQ_IM,2024-03,3263189.53
ACQ_IM,2024-04,2758894.42
ACQ_IM,2024-05,2591709.83
ACQ_IM,2024-06,3877310.7
ACQ_IM,2024-07,2989271.42
ACQ_IM,2024-08,1999329.53
ACQ_IM,2024-09,3206626.95
ACQ_IM,2024-10,4296041.03
ACQ_IM,2024-11,3296345.28
ACQ_IM,2024-12,5393895.65
ACQ_IM,2025-01,2074733.18
ACQ_IM,2025-02,1882634.52
ACQ_IM,2025-03,2627809.47
ACQ_IM,2025-04,2635042.69
ACQ_IM,2025-05,2143029.67
ACQ_IM,2025-06,2155427.52
ACQ_IM,2025-07,2141818.4
ACQ_IM,2025-08,773638.19
ACQ_IM,2025-09,2658193.31
ACQ_IM,2025-10,1772878.43
ACQ_IM,2025-11,6413251.01
ACQ_IM,2025-12,4453903.8
ACQ_IM,2026-01,975128.91
ACQ_IM,2026-02,107078.65
ACQ_IM,2026-03,672194.72
ACQ_IM,2026-04,2039914.67
ACQ_IM,2026-05,365284.48
ACQ_IM,2026-06,1675825.17
B2B_NAMED,2024-09,30000.0
INTERNAL,2024-01,830000.0
INTERNAL,2024-02,360000.0
INTERNAL,2024-03,400000.0
INTERNAL,2024-04,860000.0
INTERNAL,2024-05,770000.0
INTERNAL,2024-06,680000.0
INTERNAL,2024-07,195000.0
INTERNAL,2024-08,310000.0
INTERNAL,2024-09,230000.0
INTERNAL,2024-10,270000.0
INTERNAL,2024-11,160000.0
INTERNAL,2024-12,330000.0
INTERNAL,2025-02,80000.0
INTERNAL,2025-03,80000.0
INTERNAL,2025-04,450000.0
INTERNAL,2025-06,250000.0
INTERNAL,2025-07,340000.0
INTERNAL,2025-08,160000.0
INTERNAL,2025-09,90000.0
INTERNAL,2025-10,170000.0
INTERNAL,2025-11,170000.0
INTERNAL,2025-12,430000.0
INTERNAL,2026-04,240000.0
INTERNAL,2026-05,180000.0
INTERNAL,2026-06,340000.0
OTHER_IN,2024-01,499698.41
OTHER_IN,2024-02,2794499.9
OTHER_IN,2024-03,4874147.5
OTHER_IN,2024-04,2799586.47
OTHER_IN,2024-05,8130266.49
OTHER_IN,2024-06,5016017.5
OTHER_IN,2024-07,4335331.75
OTHER_IN,2024-08,3945317.21
OTHER_IN,2024-09,2607229.45
OTHER_IN,2024-10,2736930.21
OTHER_IN,2024-11,4373904.83
OTHER_IN,2024-12,8055456.98
OTHER_IN,2025-01,2828724.0
OTHER_IN,2025-02,3100207.74
OTHER_IN,2025-03,2549270.72
OTHER_IN,2025-04,6429332.4
OTHER_IN,2025-05,4200280.28
OTHER_IN,2025-06,5732153.22
OTHER_IN,2025-07,6185252.35
OTHER_IN,2025-08,3492109.41
OTHER_IN,2025-09,3206391.45
OTHER_IN,2025-10,7545245.73
OTHER_IN,2025-11,8208596.78
OTHER_IN,2025-12,8233047.68
OTHER_IN,2026-01,2559829.39
OTHER_IN,2026-02,5928738.17
OTHER_IN,2026-03,8821113.41
OTHER_IN,2026-04,10052221.3
OTHER_IN,2026-05,5223078.8
OTHER_IN,2026-06,8156442.76
TAX_REFUND_OR_OTHER,2024-05,174673.51
TAX_REFUND_OR_OTHER,2024-06,184143.88
TAX_REFUND_OR_OTHER,2024-07,247457.15
TAX_REFUND_OR_OTHER,2024-10,106383.0
TAX_REFUND_OR_OTHER,2025-11,45747.0
TSUM_AGENT,2024-01,3871189.34
TSUM_AGENT,2024-02,2373399.0
TSUM_AGENT,2024-03,1604996.0
TSUM_AGENT,2024-04,1025298.74
TSUM_AGENT,2024-05,2088009.28
TSUM_AGENT,2024-06,2594763.0
TSUM_AGENT,2024-07,3812314.0
TSUM_AGENT,2024-08,2390486.0
TSUM_AGENT,2024-09,998040.0
TSUM_AGENT,2024-10,2324530.0
TSUM_AGENT,2024-11,1644135.0
TSUM_AGENT,2024-12,1199003.0
TSUM_AGENT,2025-01,2337280.0
TSUM_AGENT,2025-02,1434009.25
TSUM_AGENT,2025-03,1296578.1
TSUM_AGENT,2025-04,923825.2
TSUM_AGENT,2025-05,2111945.15
TSUM_AGENT,2025-06,1083394.0
TSUM_AGENT,2025-07,2922454.7
TSUM_AGENT,2025-08,2679923.0
TSUM_AGENT,2025-09,1729668.85
TSUM_AGENT,2025-10,2353092.35
TSUM_AGENT,2025-11,1370265.25
TSUM_AGENT,2025-12,1951329.95
TSUM_AGENT,2026-01,3278301.0
TSUM_AGENT,2026-02,984289.0
TSUM_AGENT,2026-03,1843283.0
TSUM_AGENT,2026-04,1912813.0
TSUM_AGENT,2026-05,1454851.0
