budget_id,period_month,plan_income_eur,fact_income_eur,plan_expense_eur,fact_expense_eur,plan_net_eur,fact_net_eur,income_var_eur,expense_var_eur,lines_n,so_t
BUD2025H2,2025-07,,,,,,,,,19,N
BUD2025H2,2025-08,,,,,,,,,19,N
BUD2025H2,2025-09,,,,,,,,,20,N
BUD2025H2,2025-10,,,,,,,,,18,N
BUD2025H2,2025-11,,,,,,,,,20,N
BUD2025H2,2025-12,,,,,,,,,20,N
BUD2026,2026-01,134000.0,118766.81,113423.0,172946.07,20577.0,-54179.26,-15233.19,59523.07,32,N
BUD2026,2026-02,282000.0,218394.89,235842.79,203821.0,46157.21,14573.89,-63605.11,-32021.79,33,N
BUD2026,2026-03,348500.0,175673.0,239291.18,191138.0,109208.82,-15465.0,-172827.0,-48153.18,36,N
BUD2026,2026-04,315000.0,329116.0,294951.36,276561.0,20048.64,52555.0,14116.0,-18390.36,33,N
BUD2026,2026-05,247000.0,188411.0,222146.23,247771.0,24853.77,-59360.0,-58589.0,25624.77,33,N
BUD2026,2026-06,288500.0,,271915.28,,16584.72,,,,32,N
BUD2026,2026-07,292000.0,,274900.96,,17099.04,,,,32,N
BUD2026,2026-08,192000.0,,191157.28,,842.72,,,,29,N
BUD2026,2026-09,270500.0,,211830.13,,58669.87,,,,32,N
BUD2026,2026-10,295000.0,,266484.08,,28515.92,,,,30,N
BUD2026,2026-11,296000.0,,195183.15,,100816.85,,,,28,N
BUD2026,2026-12,569500.0,,315766.31,,253733.69,,,,31,N
