budget_id,period_month,article,section,plan_eur,fact_eur,variance_eur,variance_pct,plan_rub_fx100,fact_rub_fx100,opex_bucket_map,source_file,source_file_id,unit_assumption,so_t
BUD2025H2,2025-07,Аренда помещений (вкл. страхование),expense,8600.0,8435.0,-165.0,-1.9,860000.0,843500.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-08,Аренда помещений (вкл. страхование),expense,8600.0,8547.0,-53.0,-0.6,860000.0,854700.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-09,Аренда помещений (вкл. страхование),expense,8600.0,8473.0,-127.0,-1.5,860000.0,847300.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-10,Аренда помещений (вкл. страхование),expense,8600.0,8466.0,-134.0,-1.6,860000.0,846600.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-11,Аренда помещений (вкл. страхование),expense,8600.0,8676.0,76.0,0.9,860000.0,867600.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-12,Аренда помещений (вкл. страхование),expense,9740.0,10308.0,568.0,5.8,974000.0,1030800.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-07,"Расходы на помещения (ремонт, коммуналка)",expense,1800.0,3893.0,2093.0,116.3,180000.0,389300.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-08,"Расходы на помещения (ремонт, коммуналка)",expense,4200.0,3529.0,-671.0,-16.0,420000.0,352900.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-09,"Расходы на помещения (ремонт, коммуналка)",expense,3700.0,3447.0,-253.0,-6.8,370000.0,344700.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
BUD2025H2,2025-10,"Расходы на помещения (ремонт, коммуналка)",expense,3200.0,3655.0,455.0,14.2,320000.0,365500.0,RENT,Бюджет 2-е полугодие 2025(1).xlsx,SRC-47B23059C048,EUR_LIKE,N
