control_id,period_month,status,metric,detail
IM_ACQ_COMBO,2024-01,SOFT,26.9,IP_lag+0
IM_ACQ_COMBO,2024-02,CLOSE,-4.8,IP_lag+0
IM_ACQ_COMBO,2024-03,SOFT,14.4,IP_lag+0
IM_ACQ_COMBO,2024-04,CLOSE,-5.3,IP_lag+0
IM_ACQ_COMBO,2024-05,CLOSE,-0.5,IP_lag-1
IM_ACQ_COMBO,2024-06,SOFT,9.3,ALL_lag+0
IM_ACQ_COMBO,2024-07,SOFT,31.8,IP_lag+0
IM_ACQ_COMBO,2024-08,OPEN,74.1,IP_lag-1
IM_ACQ_COMBO,2024-09,CLOSE,2.4,IP_lag+0
IM_ACQ_COMBO,2024-10,CLOSE,2.8,IP_lag-1
IM_ACQ_COMBO,2024-11,SOFT,11.4,ALL_lag+0
IM_ACQ_COMBO,2024-12,SOFT,-17.0,IP_lag+0
IM_ACQ_COMBO,2025-01,OPEN,54.2,IP_lag+0
IM_ACQ_COMBO,2025-02,SOFT,17.3,ALL_lag+0
IM_ACQ_COMBO,2025-03,SOFT,-11.2,ALL_lag+1
IM_ACQ_COMBO,2025-04,SOFT,16.6,ALL_lag+1
IM_ACQ_COMBO,2025-05,CLOSE,8.6,ALL_lag+0
IM_ACQ_COMBO,2025-06,SOFT,13.7,IP_lag+0
IM_ACQ_COMBO,2025-07,CLOSE,5.5,ALL_lag+0
IM_ACQ_COMBO,2025-08,OPEN,-26.0,ALL_lag+1
IM_ACQ_COMBO,2025-09,CLOSE,8.5,IP_lag+1
IM_ACQ_COMBO,2025-10,OPEN,36.2,IP_lag+0
IM_ACQ_COMBO,2025-11,SOFT,-20.3,ALL_lag-1
IM_ACQ_COMBO,2025-12,SOFT,-15.7,IP_lag+0
IM_ACQ_COMBO,2026-01,CLOSE,0.3,IP_lag-1
IM_ACQ_COMBO,2026-02,SOFT,-11.7,IP_lag+1
IM_ACQ_COMBO,2026-03,OPEN,64.7,IP_lag+0
IM_ACQ_COMBO,2026-04,OPEN,-40.0,IP_lag+0
IM_ACQ_COMBO,2026-05,CLOSE,-1.9,IP_lag-1
IM_ACQ_COMBO,2026-06,SOFT,-9.5,IP_lag+0
