fabric_id,name,fabric_code,qty,amount_rub,unit_cost_rub,source_file,source_file_id,as_of,so_t,abc_rank,abc_value_rub,abc_cum_share_pct,abc_band
FAB-966,"Вечерняя ткань белая сетка с перьями, расшивкой пайетками 12-090",12-090,36.2,277320.0,7660.77,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,1,277320.0,0.93,A
FAB-748,"Шелк, принт папайя, 17А-061",,50.5,247108.78,4893.24,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,2,247108.78,1.76,A
FAB-66,Вечерняя ткань белая сетка с перьями 12-092,12-092,5.15,231750.0,45000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,3,231750.0,2.53,A
FAB-969,Вечерняя ткань черная сетка с перьями 12-091,12-091,5.15,231750.0,45000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,4,231750.0,3.31,A
FAB-1276,"Шелк белый, принт перчики, 17А-060",,43.1,211329.89,4903.25,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,5,211329.89,4.02,A
FAB-91,Вечерняя ткань черные пайетки матовые 12-024,12-024,10.25,184500.0,18000.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,6,184500.0,4.64,A
FAB-670,"Шелк белый, принт оранжевый хаотичные ""Y"" 17A-017",,60.0,174000.0,2900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,7,174000.0,5.22,A
FAB-82,"Вечерняя ткань розовая  сетка с перьями, расшивкой пайетками 12-089",12-089,9.2,172040.0,18700.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,8,172040.0,5.8,A
FAB-160,"Дюшес, золотой 5-019",5-019,44.9,157150.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,9,157150.0,6.32,A
FAB-764,"Шелк, черный 16-038",16-038,103.35,150733.48,1458.48,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,10,150733.48,6.83,A
FAB-168,"Дюшес, фиолетовый 5-020",5-020,42.3,148050.0,3500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,11,148050.0,7.33,A
FAB-870,Шифон авторский гдевочки синий 19A-020,,56.0,140000.0,2500.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,12,140000.0,7.79,A
FAB-44,"Бархат шелк, черный 6-046",6-046,72.7,138130.0,1900.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,13,138130.0,8.26,A
FAB-667,"Шелк белый, принт капли сине-голубые деград 17A-033       деграде голубые с синим",,44.5,137950.0,3100.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,14,137950.0,8.72,A
FAB-727,"Шелк, белый 16-001",16-001,88.8,137318.14,1546.38,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,15,137318.14,9.18,A
FAB-739,"Шелк, жемчужный 16-048",16-048,94.3,136735.0,1450.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,16,136735.0,9.64,A
FAB-690,"Шелк принт синие капли деграде, 17A-031",,43.95,136245.0,3100.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,17,136245.0,10.09,A
FAB-703,"Шелк черный, принт белый хаотичные ""Y"" 17А-015",,49.3,133896.09,2715.95,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,18,133896.09,10.54,A
FAB-152,"Дабл-креп, черный 11-001",11-001,56.3,129490.0,2300.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,19,129490.0,10.98,A
FAB-967,"Вечерняя ткань серая сетка с перьями, расшивкой пайетками 12-088",12-088,6.9,129030.0,18700.0,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,20,129030.0,11.41,A
FAB-1145,"Шифон белый, принт горох 19A-012",,60.5,128017.5,2115.99,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,21,128017.5,11.84,A
FAB-1034,"Шелк белый, принт перчики, 17А-060",,25.9,127520.11,4923.56,Остатки ткани из 1С на 31.05.2026.xlsx,SRC-7348EDC937A6,2026-05-31,N,22,127520.11,12.27,A
