period_month,status_as_is,sales_revenue_rub,bank_acq_im_as_is,bank_in_best_as_is,acq_candidate_add_rub,bank_hyp_best_plus_cand,gap_hyp_pct,status_hyp_crude,is_gate_open_month,note
2024-01,SOFT,415225.0,2605833.05,0.0,185630.0,185630.0,-55.3,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-02,CLOSE,1335145.0,1270753.37,0.0,1186180.0,1186180.0,-11.2,SOFT,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-03,SOFT,2290735.0,3263189.53,0.0,1356222.55,1356222.55,-40.8,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-04,CLOSE,1827203.96,2758894.42,0.0,1237048.09,1237048.09,-32.3,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-05,CLOSE,1739719.0,2591709.83,0.0,3026697.15,3026697.15,74.0,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-06,SOFT,3546814.0,3877310.7,0.0,1881360.05,1881360.05,-47.0,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-07,SOFT,1290985.0,2989271.42,0.0,666558.25,666558.25,-48.4,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-08,OPEN,977346.0,1999329.53,0.0,462756.05,462756.05,-52.7,OPEN,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-09,CLOSE,2401874.0,3206626.95,0.0,621660.0,621660.0,-74.1,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-10,CLOSE,2393932.0,4296041.03,0.0,1416650.0,1416650.0,-40.8,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-11,SOFT,2959801.0,3296345.28,0.0,1313478.8,1313478.8,-55.6,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2024-12,SOFT,4007322.0,5393895.65,0.0,2335762.75,2335762.75,-41.7,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-01,OPEN,776530.0,2074733.18,0.0,0.0,0.0,-100.0,OPEN,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-02,SOFT,1604595.0,1882634.52,0.0,0.0,0.0,-100.0,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-03,SOFT,2968405.0,2627809.47,0.0,625900.0,625900.0,-78.9,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-04,SOFT,1837645.0,2635042.69,0.0,4876353.55,4876353.55,165.4,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-05,CLOSE,1973876.0,2143029.67,0.0,1405463.35,1405463.35,-28.8,SOFT,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-06,SOFT,1092781.0,2155427.52,0.0,2132497.9,2132497.9,95.1,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-07,CLOSE,2030938.0,2141818.4,0.0,0.0,0.0,-100.0,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-08,OPEN,3594028.0,773638.19,0.0,366800.0,366800.0,-89.8,OPEN,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-09,CLOSE,848535.0,2658193.31,0.0,990887.5,990887.5,16.8,SOFT,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-10,OPEN,676092.0,1772878.43,0.0,3966620.0,3966620.0,486.7,OPEN,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-11,SOFT,2225327.0,6413251.01,0.0,6821658.25,6821658.25,206.5,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2025-12,SOFT,1858768.0,4453903.8,0.0,6182602.55,6182602.55,232.6,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-01,CLOSE,1561180.0,975128.91,0.0,825468.64,825468.64,-47.1,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-02,SOFT,761200.0,107078.65,0.0,2556688.17,2556688.17,235.9,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-03,OPEN,408090.0,672194.72,0.0,4549174.89,4549174.89,1014.7,OPEN,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-04,OPEN,3399021.0,2039914.67,0.0,4116399.15,4116399.15,21.1,SOFT,Y,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-05,CLOSE,2080322.05,365284.48,0.0,1757802.09,1757802.09,-15.5,SOFT,N,hyp crude ±10/30; NOT gate policy; candidates not applied
2026-06,SOFT,1852602.0,1675825.17,0.0,5392809.08,5392809.08,191.1,OPEN,N,hyp crude ±10/30; NOT gate policy; candidates not applied
