canonical_sku,name,channels,lines,qty,revenue_rub,cogs_rub,margin_rub,margin_pct
0-2497,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",B2B,4,7.0,70000.04,95055.38,-25055.34,-35.8
0-2496,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",B2B,2,6.0,60000.05,74155.62,-14155.57,-23.6
0-2493A,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",B2B,2,3.0,30000.0,35884.56,-5884.56,-19.6
0-1670,"Платье женское, черное, из эко-кожи, приталенное",IM,2,0.0,1.0,0.0,1.0,100.0
0-2125I,"Платье женское, черное с принтом ""девочки"", из шелка, с брошью ""Цветок"", с поясом",IM,2,2.0,106000.0,105851.28,148.72,0.1
0-2498,"Платье женское, розовое с принтом ""пион"", из штапеля, без рукавов","B2B,IM",3,1.0,7000.0,6797.0,203.0,2.9
0-1241A,"Юбка женская, белая, из фатина, расшита крупными пайетками",IM,1,1.0,15000.0,13650.0,1350.0,9.0
0-2829,"Платье женское, белое, из шелка, с рисунком ""ЦВЕТЫ""",IM,1,1.0,20000.0,18650.0,1350.0,6.8
0-1942,"Шорты женские, черные, из бархата, удлиненные",IM,2,2.0,6300.0,4846.0,1454.0,23.1
0-2523,"Брюки женские, белые с принтом ""голубые цветы"", из батиста",B2B,1,1.0,6986.0,5374.0,1612.0,23.1
0-2506,"Шорты женские удлиненные, черные, из стрейч бархата ",IM,1,1.0,3500.0,1757.0,1743.0,49.8
0-1973,"Юбка женская, черная, из крепа, декорирована по низу юбки вышитыми цветами",IM,1,1.0,9000.0,6670.0,2330.0,25.9
0-2084,"Брюки женские, черные, из джерси, с карманами и жестким поясом на пряжке",IM,1,1.0,11100.0,8320.0,2780.0,25.0
0-2524,"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",B2B,1,1.0,12909.0,9930.0,2979.0,23.1
0-1622B,"Юбка женская, белая, из шифона, со сборкой по передней половине юбки",IM,1,1.0,10000.0,6438.0,3562.0,35.6
0-2514,"Брюки женские, белые, из шифона",IM,1,1.0,13850.0,9978.0,3872.0,28.0
0-1983,"Футболка женская, белая, из трикотажа, с длинным рукавом",IM,1,1.0,8400.0,4380.0,4020.0,47.9
0-2185H,"Брюки женские, белые, из хлопка, расширенные к низу",IM,1,1.0,7600.0,3252.0,4348.0,57.2
0-1964B,"Блуза женская, черная, из бархата и фатина, декорирована бантом по горловине",IM,1,1.0,9800.0,5260.0,4540.0,46.3
0-2536,"Платье женское, белое с принтом ""голубые цветы"", из батиста",B2B,1,1.0,20761.0,15970.0,4791.0,23.1
0-2517,"Юбка женская, черная, из фатина, с декором принт ""белая Y""",B2B,1,1.0,13870.0,8968.0,4902.0,35.3
0-1971,"Платье женское, голубое, из шифона, декорировано вышитыми цветами",IM,1,1.0,20000.0,15080.0,4920.0,24.6
0-1878,"Жакет женский, темно-синий, из джерси, с принтом ""Цветок""",IM,1,1.0,11850.0,6761.0,5089.0,42.9
0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",IM,1,1.0,9000.0,3500.0,5500.0,61.1
0-1876,"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, приталенное",IM,1,1.0,13800.0,7729.0,6071.0,44.0
0-3363,"Блуза-топ женская, белая, из эко-шелка, на тонких бретелях",IM,1,1.0,11200.0,4313.69,6886.31,61.5
0-1899B,"Брюки женские, голубые, из футера, с поясом ""рибана""",B2B,1,2.0,13218.0,5773.34,7444.66,56.3
0-321,"Брюки женские, голубые, из чесучи, с карманами",IM,1,1.0,15500.0,7505.0,7995.0,51.6
0-1873,"Куртка женская, черная, из эко-кожи, с вышивкой ""Цветок""",IM,1,1.0,18900.0,10794.0,8106.0,42.9
0-1981A,"Свитшот женский, белый, из футера и пайеточной ткани, с вышитой буквой Y",IM,2,2.0,20000.0,11876.66,8123.34,40.6
0-2362,"Юбка женская, коричневая, из шерсти, со складками и отделкой из коричневой тафты по борту",B2B,1,1.0,18985.0,10602.0,8383.0,44.2
0-1882A,"Юбка женская, белая, из фатина, с шелковой отделкой по низу юбки",IM,1,1.0,15000.0,6539.0,8461.0,56.4
0-3364,"Брошь бежевая, из рафия, ""колосок""",IM,8,8.0,88065.0,79600.0,8465.0,9.6
0-2511A,"Футболка женская, розовая с принтом ""Y"", из трикотажа",IM,1,1.0,10304.0,1610.0,8694.0,84.4
0-1442C,"Юбка женская,белая,из фатина, с декором ""круги""",IM,1,1.0,18850.0,9981.0,8869.0,47.1
0-2137,"Блуза женская, черная, из трикотажа, с узким рукавом",IM,4,4.0,29205.0,20313.0,8892.0,30.4
0-1690,"Туфли женские, синие, из бархата, без каблука, с расшивкой Y",IM,1,1.0,15750.0,6500.0,9250.0,58.7
0-1695,"Туфли женские, серые, из кожи, без каблука, с вышивкой YC",IM,1,1.0,15750.0,6500.0,9250.0,58.7
0-1464,"Свитшот женский, белый с черным, из футера, с декоративной деталью по рукаву",IM,1,1.0,11950.0,2300.0,9650.0,80.8
0-1984H,"Футболка женская, белая, из хлопка, с принтом ""БАЛЕРИНА""",IM,1,1.0,13500.0,3660.0,9840.0,72.9
