canonical_sku,name,channels,lines,qty,revenue_rub,cogs_rub,margin_rub,margin_pct
T-3001,"Куртка женская, черная, из шелкового бархата, с вышитым декором ""Цветы""","IM,TSUM",7,9.0,3330492.09,1629048.65,1701443.44,51.1
T-2540,"Блуза женская, голубая с принтом ""большие синие капли"", из шелка","B2B,IM,TSUM",14,20.0,3038703.55,1707038.55,1331665.0,43.8
T-2495B,"Платье женское, черное с принтом ""белые балерины"", из шелка, длина миди","IM,TSUM",10,12.0,2763964.74,1525511.26,1238453.48,44.8
T-2420A,"Блуза женская, белая с принтом ""оранжевые ""Y"", из шелка,  с отделкой черным кантом","B2B,IM,TSUM",13,23.0,2803679.27,1577157.73,1226521.54,43.7
0-3073,"Свитшот женский, голубой, с декором принт ""MY YANINA COUTURE"", с коротким рукавом","B2B,IM,TSUM",48,52.0,1692739.74,111108.52,1172597.48,91.3
T-2754,"Платье женское, белое с принтом ""черные балерины"", из шелка, на бретелях","IM,TSUM",14,28.0,2911212.92,1785773.83,1125439.09,38.7
0-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""","B2B,IM",45,70.0,1531286.0,415954.5,1115331.5,72.8
0-2600,"Брюки-капри женские, чёрные, из шёлка дюшес","IM,TSUM",16,17.0,1192403.78,152894.6,1039509.18,87.2
T-2401B,"Брюки женские, белые с принтом ""оранжевые ""Y"", из шелка","B2B,IM,TSUM",19,27.0,2536451.77,1523993.81,1012457.96,39.9
0-3078,"Юбка женская, черная, из кружева",IM,18,19.0,1145970.0,138782.44,1007187.56,87.9
T-3140A,"Платье женское, белое с принтом ""черные листья"", из шифона, декорировано объемной вышивкой ",TSUM,5,10.0,3041140.0,2054398.2,986741.8,32.4
T-2752,"Блуза женская, черная с принтом "" белые Y и девочки"", из шелка, с отделкой ""лампас""","IM,TSUM",12,18.0,1998951.62,1040685.62,958266.0,47.9
0-2393,"Платье женское, черное, из шелка, с бахромой и кокеткой расшитой бисером",IM,3,3.0,1016600.0,70512.0,946088.0,93.1
T-2251A,"Платье женское, синее с принтом ""белые Y и девочки"", из хлопка, с разрезами по бокам","IM,TSUM",18,25.0,2640729.77,1702918.77,937811.0,35.5
T-2865A,"Платье женское, черное с принтом ""белый горох"", из хлопка, с пелериной","IM,TSUM",6,8.0,2366745.72,1450286.78,916458.94,38.7
T-2750B,"Блуза-топ женская, серая, из шелка, на бретелях",TSUM,15,22.0,1009708.33,117705.97,892002.36,88.3
T-2541,"Брюки женские, голубые с принтом ""большие синие капли"", из шелка","B2B,IM,TSUM",14,19.0,1754672.26,915298.11,839374.15,47.8
0-1486,"Юбка женская, черная, из пайеточной ткани",IM,6,6.0,892896.0,82756.67,810139.33,90.7
T-2701,"Куртка женская, коричневая, из натуральной кожи, двубортная, с поясом","IM,TSUM",3,5.0,1896544.0,1089134.0,807410.0,42.6
T-2703,"Блуза женская, черная, из шелка, с декором ""Цветок""","IM,TSUM",10,15.0,1727263.53,947192.73,780070.8,45.2
0-2683,"Платье женское, черное в белый горох, из шелка, с поясом-завязка","IM,TSUM",6,6.0,1288572.0,515416.5,773155.5,60.0
T-1960,"Блуза женская, черная, из шифона, с воротником ""стойка"", переходящая в бант","B2B,IM,TSUM",18,24.0,1903068.14,1173702.14,729366.0,38.3
T-2949,"Платье женское, черное, из хлопкового бархата, с вышивками ""Птица""","B2B,IM",3,3.0,821270.0,93696.45,727573.55,88.6
T-2792,"Платье женское, белое с принтом ""черный горох"", из шифона, с поясом","IM,TSUM",7,8.0,1956623.2,1231983.14,724640.06,37.0
0-2470,"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас""","B2B,IM",28,33.0,925960.0,203504.61,722455.39,78.0
T-2756,"Свитер женский, белый, из кашемира, с рашивкой ""Россыпь""","B2B,IM,TSUM",9,12.0,1373750.83,654793.83,718957.0,52.3
T-3092A,"Кейп-накидка женская, черная, из х/б бархата, с вышивкой ""Цветы"" и бахромой","IM,TSUM",5,7.0,1744894.8,1041860.88,703033.92,40.3
T-2475B,"Рубашка женская свободного силуэта, белая, из батиста, с вышивкой YC на кармане","IM,TSUM",17,28.0,1714271.14,1015858.14,698413.0,40.7
T-2495A,"Платье женское, синее с принтом ""белые Y и девочки"", из шелкового шифона","B2B,TSUM",13,15.0,2121873.9,1431344.55,690529.35,32.5
0-2675,"Жакет женский, черный, из бархата шелкового с аппликацией ""Цветок""","IM,TSUM",6,7.0,1307997.0,618683.59,689313.41,52.7
T-2719,"Пальто женское, серое, из натуральной кожи, с поясом",TSUM,4,4.0,1860850.89,1176705.89,684145.0,36.8
T-3187A,"Платье женское, голубое, из стрейч бархата, длина миди",TSUM,6,7.0,808400.0,157234.35,651165.65,80.5
