period_month,md_income_rub_fx100,md_opex_rub,md_contrib_rub_indicative,note,so_t
2024-01,6383600.0,4819239.61,1564360.39,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-02,14532400.0,2352808.2,12179591.8,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-03,14851400.0,3374214.66,11477185.34,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-04,26518000.0,3826206.58,22691793.42,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-05,14942700.0,2490618.44,12452081.56,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-06,13616400.0,2453171.29,11163228.71,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-07,25484200.0,2408149.11,23076050.89,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-08,9094400.0,1680629.5,7413770.5,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-09,6100400.0,1697897.66,4402502.34,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-10,14034400.0,2559416.4,11474983.6,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-11,10941900.0,3205780.81,7736119.19,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2024-12,40729400.0,2731758.37,37997641.63,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-01,7702300.0,2831881.64,4870418.36,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-02,36788800.0,9201146.34,27587653.66,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-03,13728100.0,8452952.03,5275147.97,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-04,19237000.0,8677806.85,10559193.15,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-05,20770100.0,6124488.33,14645611.67,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-06,21472800.0,8546219.52,12926580.48,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-07,25225400.0,9616842.22,15608557.78,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-08,3118100.0,6911369.95,-3793269.95,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-09,15610300.0,5157318.85,10452981.15,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-10,25938900.0,10452637.35,15486262.65,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-11,19752700.0,8720738.51,11031961.49,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2025-12,23240100.0,14925392.76,8314707.24,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2026-01,7456000.0,3809284.84,3646715.16,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2026-02,20094000.0,8118057.89,11975942.11,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2026-03,15087500.0,7588314.82,7499185.18,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2026-04,27819700.0,9334337.35,18485362.65,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
2026-05,16160800.0,7013294.08,9147505.92,Indicative only: income from SALES DDS EUR@100; opex=DDS Модный дом (may include materials/payroll overlapping COGS elsewhere),N
