period_month,channel_raw,channel,amount_eur,amount_rub_fx100,fx_policy,source,source_file_id,so_t,note
2024-01,Salon+Shop,MD_INDIVIDUAL,63836.0,6383600.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-02,Salon+Shop,MD_INDIVIDUAL,145324.0,14532400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-03,Salon+Shop,MD_INDIVIDUAL,148514.0,14851400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-04,Salon+Shop,MD_INDIVIDUAL,265180.0,26518000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-05,Salon+Shop,MD_INDIVIDUAL,149427.0,14942700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-06,Salon+Shop,MD_INDIVIDUAL,136164.0,13616400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-07,Salon+Shop,MD_INDIVIDUAL,254842.0,25484200.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Salon+Shop,MD_INDIVIDUAL,90944.0,9094400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-09,Salon+Shop,MD_INDIVIDUAL,61004.0,6100400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-10,Salon+Shop,MD_INDIVIDUAL,140344.0,14034400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,Salon+Shop,MD_INDIVIDUAL,109419.0,10941900.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Salon+Shop,MD_INDIVIDUAL,407294.0,40729400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-01,ИМ,IM,4740.0,474000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-02,ИМ,IM,16897.0,1689700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-03,ИМ,IM,18937.0,1893700.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-04,ИМ,IM,20558.0,2055800.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-05,ИМ,IM,14232.0,1423200.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-06,ИМ,IM,36143.0,3614300.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-07,ИМ,IM,17868.0,1786800.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,ИМ,IM,10042.0,1004200.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-09,ИМ,IM,26461.0,2646100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-10,ИМ,IM,22739.73,2273973.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,ИМ,IM,36145.73,3614573.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,ИМ,IM,32104.0,3210400.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Владивосток,OTHER_REGIONAL,2000.34,200034.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Владивосток,OTHER_REGIONAL,3866.15,386615.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Жуковский,OTHER_REGIONAL,315.79,31579.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-10,Жуковский,OTHER_REGIONAL,300.0,30000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Жуковский,OTHER_REGIONAL,1000.0,100000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Иваново,OTHER_REGIONAL,1106.78,110678.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-10,Иваново,OTHER_REGIONAL,1023.44,102344.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Иваново,OTHER_REGIONAL,3419.44,341944.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Иркутск,OTHER_REGIONAL,1642.79,164279.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Иркутск,OTHER_REGIONAL,3641.53,364153.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-05,Казань,OTHER_REGIONAL,26430.6,2643060.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Казань,OTHER_REGIONAL,7254.31,725431.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Казань,OTHER_REGIONAL,11625.49,1162549.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-09,Красногорск,OTHER_REGIONAL,550.0,55000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Красногорск,OTHER_REGIONAL,554.8,55480.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Краснодар,OTHER_REGIONAL,1935.32,193532.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,Краснодар,OTHER_REGIONAL,3523.63,352363.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Краснодар,OTHER_REGIONAL,-3862.14,-386214.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-03,Махачкала,OTHER_REGIONAL,5160.0,516000.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-05,Махачкала,OTHER_REGIONAL,3908.46,390846.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-07,Махачкала,OTHER_REGIONAL,5071.87,507187.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Махачкала,OTHER_REGIONAL,2434.79,243479.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-09,Назрань,OTHER_REGIONAL,421.06,42106.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,Назрань,OTHER_REGIONAL,-421.0,-42100.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-08,Пенза,OTHER_REGIONAL,494.56,49456.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-11,Пенза,OTHER_REGIONAL,1096.26,109626.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-12,Пенза,OTHER_REGIONAL,303.91,30391.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
2024-01,ЦУМ,TSUM_B2B,40749.0,4074900.0,100.0,SALES_DDS_INCOME,FILE-007,N,Income from SALES DDS sheet; not W4 goods sales_lines
