expense_line_id,period_month,article_name,legal_entity_id,amount_rub,opex_bucket
EX-8bbbcb65e4174d9a,2024-01,"Зарплата, больничный",LE-OOO-DEKOR,432959.04,PAYROLL
EX-1afe0f83b56b27a2,2024-01,"Зарплата, больничный",LE-IP-YANINA,229031.5,PAYROLL
EX-1c3d10a0e20b2804,2024-01,"Единый налоговый платеж, НСипЗ",LE-OOO-DEKOR,57465.0,TAX
EX-234cee74cc29fabd,2024-01,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,36000.0,TAX
EX-86fdc432cac03e45,2024-01,Услуги банка,LE-OOO-DEKOR,2844.8,OPEX_OTHER
EX-6ef65f386fcd955f,2024-01,Услуги банка,LE-IP-YANINA,2478.0,OPEX_OTHER
EX-baabe7154a7dbcfb,2024-01,Услуги банка,LE-IP-YANINA,2409.03,OPEX_OTHER
EX-853c921250014265,2024-01,Услуги банка,LE-IP-YANINA,1026.0,OPEX_OTHER
EX-d5b4d220d6044339,2024-01,Расходы по эквайрингу,LE-OOO-DEKOR,42425.0,ACQUIRING_FEE
EX-a3727af3c197fc46,2024-01,Расходы по эквайрингу,LE-IP-YANINA,4370.0,ACQUIRING_FEE
EX-a8b270d9b80e278d,2024-01,Расходы по эквайрингу,LE-IP-YANINA,9174.82,ACQUIRING_FEE
EX-027401ef4ae6aee5,2024-01,"Телефон МГТС, МТС",LE-IP-YANINA,1758.91,OPEX_OTHER
EX-2c25f5c60a7ebd44,2024-01,"Телефон МГТС, МТС",LE-IP-YANINA,2956.8,OPEX_OTHER
EX-46d1ba805e6e67f1,2024-01,Электроэнергия,LE-IP-YANINA,21386.0,OPEX_OTHER
EX-f57bc635a1e3f977,2024-01,Охрана (в т.ч. автомобиля),LE-IP-YANINA,14880.0,OPEX_OTHER
EX-d25568218b8e4f1f,2024-01,Охрана (в т.ч. автомобиля),LE-IP-YANINA,19920.0,OPEX_OTHER
EX-0a79bcee8c7a9f82,2024-01,Экспл.электроустановок,LE-IP-YANINA,2880.0,OPEX_OTHER
EX-cd8249bad98fd9b8,2024-01,Интернет,LE-IP-YANINA,2827.97,OPEX_OTHER
EX-c421daa344d3523c,2024-01,Интернет,LE-IP-YANINA,7872.06,OPEX_OTHER
EX-627ec5a38555a4d5,2024-01,"Комм.платежи, аренда помещения",LE-IP-YANINA,38691.49,RENT
EX-4c5a1f74ca28c35b,2024-01,"Комм.платежи, аренда помещения",LE-IP-YANINA,1217953.68,RENT
EX-5c29ece74e4a8a9e,2024-01,Вывоз мусора ТБО,LE-IP-YANINA,8981.68,OPEX_OTHER
EX-0574de5a66c66e1f,2024-01,Вывоз мусора ТБО,LE-IP-YANINA,2297.19,OPEX_OTHER
EX-1ce5e925495cd5d5,2024-01,"Швейное оборудование, в т.ч. Лизинг (Руднева)",LE-IP-YANINA,49776.99,OPEX_OTHER
EX-bc9ec236294c2e4b,2024-01,Консультант+(Галина),LE-IP-YANINA,18601.2,OPEX_OTHER
EX-cb1aaa49e6c0159a,2024-01,Леруа (Руднева),LE-IP-YANINA,260701.0,OPEX_OTHER
EX-f7aa8d4ae436d314,2024-01,"Обслуживание ККМ, запчасти  (Галина)",LE-OOO-DEKOR,1416.0,OPEX_OTHER
EX-dae9688be69bed74,2024-01,Карта цветов (Карина),LE-IP-YANINA,2500.0,OPEX_OTHER
EX-3a4b1968367e0f3a,2024-01,страховка помещения,LE-IP-YANINA,120000.0,OPEX_OTHER
EX-e2cf8f0acf64ac10,2024-01,Этикетки (Дендерина),LE-IP-YANINA,51567.5,OPEX_OTHER
EX-c7028489d13aeeff,2024-01,Кружево (Дендерина),LE-IP-YANINA,5400.0,OPEX_OTHER
EX-74e75376fd0d22ae,2024-01,Вода (кулер) Руднева,LE-IP-YANINA,8280.0,OPEX_OTHER
EX-a024ee0dc80382ae,2024-01,Иглы Руднева,LE-IP-YANINA,2136.61,OPEX_OTHER
EX-d3d5eb26e4d5ab09,2024-01,Раскройная машинка (Площадки),LE-IP-YANINA,8800.0,OPEX_OTHER
EX-ed1dc8983e663f1e,2024-01,Пяльца Руднева,LE-IP-YANINA,17100.0,OPEX_OTHER
EX-831dbd02cff7d7c0,2024-01,Стол (Жукова),LE-IP-YANINA,27704.0,OPEX_OTHER
EX-072983b0d825d8ea,2024-01,участие в выставке ВДНХ,LE-IP-YANINA,100.0,OPEX_OTHER
EX-4cf35417a7f9a659,2024-01,Расходы по корп.карте,LE-IP-YANINA,588667.08,CARD_EXPENSE
EX-14ebf682e835b2a4,2024-01,Комиссия банка ИМ Тинькофф,LE-IP-YANINA,7377.13,INTERNAL_TRANSFER_MEMO
EX-6acb9cadb3e54fed,2024-01,Расходы по эквайрингу (Альфа),LE-IP-YANINA,3093.09,ACQUIRING_FEE
EX-fcf32f1b8681028a,2024-01,Курьерская доставка (Мелисса),LE-IP-YANINA,70441.91,LOGISTICS
EX-28ae304d3775e73d,2024-01,офд ккм,LE-IP-YANINA,2500.0,OPEX_OTHER
EX-21c207417537d188,2024-01,Доставка ИМ СДЭК,LE-IP-YANINA,5193.46,LOGISTICS
EX-4bba4b0b9fa7bf99,2024-01,"Агентство (реклама), общие",LE-IP-YANINA,152560.0,MARKETING
EX-8dbe1dd34bcc8b62,2024-01,Счет в тинькофф,LE-IP-YANINA,306850.0,INTERNAL_TRANSFER_MEMO
EX-26d5ed8e11f6c2b6,2024-02,"Зарплата, больничный",LE-OOO-DEKOR,893993.75,PAYROLL
EX-978dd6bf815ef2a0,2024-02,"Зарплата, больничный",LE-IP-YANINA,555488.46,PAYROLL
EX-ae7ee6c1c122821e,2024-02,"Единый налоговый платеж, НСипЗ",LE-OOO-DEKOR,547261.6,TAX
EX-543e6a579209d5e7,2024-02,"Единый налоговый платеж, НСипЗ",LE-IP-YANINA,274014.22,TAX
EX-76e9487c6fd3c8b5,2024-02,Услуги банка,LE-OOO-DEKOR,5284.46,OPEX_OTHER
EX-fb574f196d2ecb59,2024-02,Услуги банка,LE-IP-YANINA,431.0,OPEX_OTHER
EX-9e632e6f9ae8690d,2024-02,Услуги банка,LE-IP-YANINA,3723.49,OPEX_OTHER
EX-f684afc4b0fa4979,2024-02,Услуги банка,LE-IP-YANINA,2764.0,OPEX_OTHER
EX-1b6af38eaff0e884,2024-02,Расходы по эквайрингу,LE-IP-YANINA,30620.0,ACQUIRING_FEE
EX-a278763861fc6c17,2024-02,Расходы по эквайрингу,LE-IP-YANINA,4933.5,ACQUIRING_FEE
EX-cd138a832b9640e4,2024-02,"Телефон МГТС, МТС",LE-IP-YANINA,1704.8,OPEX_OTHER
EX-80e6174295a434e4,2024-02,Электроэнергия,LE-IP-YANINA,17993.0,OPEX_OTHER
EX-b2ccfd2e380c49cd,2024-02,Охрана (в т.ч. автомобиля),LE-IP-YANINA,13920.0,OPEX_OTHER
EX-298860b1516e09ae,2024-02,Охрана (в т.ч. автомобиля),LE-IP-YANINA,10800.0,OPEX_OTHER
EX-a0e7f8cbf554553c,2024-02,Пожарная сигнализация,LE-IP-YANINA,5400.0,OPEX_OTHER
EX-8066afbb70aca9d5,2024-02,Экспл.электроустановок,LE-IP-YANINA,2880.0,OPEX_OTHER
EX-9a07daa77f4c4990,2024-02,Интернет,LE-IP-YANINA,2827.97,OPEX_OTHER
EX-e9e5fd4a121a82af,2024-02,Интернет,LE-IP-YANINA,7711.44,OPEX_OTHER
EX-e0bc49f57ba7e780,2024-02,"Комм.платежи, аренда помещения",LE-OOO-DEKOR,18600.0,RENT
EX-6cb69bc3a0b486f5,2024-02,"Комм.платежи, аренда помещения",LE-IP-YANINA,40009.81,RENT
EX-8c27ff5934186c17,2024-02,"Комм.платежи, аренда помещения",LE-IP-YANINA,1300000.0,RENT
EX-b5c0a948daabc76f,2024-02,Вывоз мусора ТБО,LE-IP-YANINA,8981.68,OPEX_OTHER
EX-fc0b2054446fefc2,2024-02,Мебель МД,LE-IP-YANINA,16867.0,OPEX_OTHER
EX-fa1369639368d5ea,2024-02,"Швейное оборудование, в т.ч. Лизинг (Руднева)",LE-IP-YANINA,49776.99,OPEX_OTHER
EX-92ab16cb623a6a59,2024-02,Материалы фильтры (Кропачев),LE-OOO-DEKOR,2206.0,MATERIALS_MEMO
EX-73028b1cd5eca52c,2024-02,Заточка ножниц (Кропачев),LE-OOO-DEKOR,13450.0,OPEX_OTHER
EX-2c8a43cf1c24bddb,2024-02,Охрана автомобиля (Галина),LE-OOO-DEKOR,23400.0,OPEX_OTHER
EX-8da1928d5aa08bfc,2024-02,мебель площадки,LE-IP-YANINA,7000.0,OPEX_OTHER
EX-7b70ce1c68da55ca,2024-02,Фурнитура ИМ/Площадки,LE-IP-YANINA,11957.99,MATERIALS_MEMO
EX-95d76b3fa8ce719b,2024-02,Фурнитура Площадки,LE-IP-YANINA,63701.98,MATERIALS_MEMO
EX-1f01ad533a3ca8a6,2024-02,Фурнитура МД,LE-IP-YANINA,14573.0,MATERIALS_MEMO
EX-32b0ad395eb1c1aa,2024-02,Фурнитура ИМ,LE-IP-YANINA,9511.49,MATERIALS_MEMO
EX-00447a4bcce8241d,2024-02,Ткани ИМ/Площадки,LE-IP-YANINA,15000.0,MATERIALS_MEMO
EX-2c83b69cc3051b8e,2024-02,Ткани ИМ/Площадки,LE-IP-YANINA,24490.0,MATERIALS_MEMO
EX-b5eac8a589afaece,2024-02,Ткани МД,LE-IP-YANINA,90706.0,MATERIALS_MEMO
EX-a7a16947178ec291,2024-02,Ткани ИМ,LE-IP-YANINA,16700.0,MATERIALS_MEMO
EX-8e19519a262e14f4,2024-02,Ткани Площадки,LE-IP-YANINA,36738.1,MATERIALS_MEMO
EX-c5728d35415344e1,2024-02,Ткани Общие,LE-IP-YANINA,23294.0,MATERIALS_MEMO
EX-60517e011b504cb6,2024-02,Оборудование Площадки,LE-IP-YANINA,36980.0,OPEX_OTHER
