channel,period_month,sales_revenue_rub,bank_in_rub,bank_in_all_le_rub,bank_in_next_month_rub,best_bank_in_rub,best_gap_rub,best_status,best_lag_months,gap_rub,gap_pct,status,bank_class,note
IM,2024-01,415225.0,527008.05,1270753.37,,527008.05,111783.05,SOFT,IP_lag+0,111783.05,26.9,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-02,1335145.0,1270753.37,1270753.37,,1270753.37,-64391.63,CLOSE,IP_lag+0,-64391.63,-4.8,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-03,2290735.0,2620309.53,2758894.42,,2620309.53,329574.53,SOFT,IP_lag+0,329574.53,14.4,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-04,1827203.96,1730384.42,2591709.83,,1730384.42,-96819.54,CLOSE,IP_lag+0,-96819.54,-5.3,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-05,1739719.0,1730384.42,2591709.83,,1730384.42,-9334.58,CLOSE,IP_lag-1,-9334.58,-0.5,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-06,3546814.0,3877310.7,3877310.7,,3877310.7,330496.7,SOFT,ALL_lag+0,330496.7,9.3,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-07,1290985.0,1702041.42,1999329.53,,1702041.42,411056.42,SOFT,IP_lag+0,411056.42,31.8,SOFT,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-08,977346.0,1702041.42,1999329.53,,1702041.42,724695.42,OPEN,IP_lag-1,724695.42,74.1,OPEN,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-09,2401874.0,2460258.95,1999329.53,,2460258.95,58384.95,CLOSE,IP_lag+0,58384.95,2.4,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-10,2393932.0,2460258.95,3206626.95,,2460258.95,66326.95,CLOSE,IP_lag-1,66326.95,2.8,CLOSE,ACQ_IM_COMBO,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
