channel,period_month,sales_revenue_rub,bank_ip_best_rub,bank_ip_best_lag,status_ip,bank_all_best_rub,bank_all_best_lag,status_all,bank_combo_rub,combo_source,dek_lag0_rub,gap_rub,gap_pct,status,note
IM,2024-01,415225.0,527008.05,IP_lag+0,SOFT,1270753.37,ALL_lag+1,OPEN,527008.05,IP_lag+0,2078825.0,111783.05,26.9,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-02,1335145.0,1270753.37,IP_lag+0,CLOSE,1270753.37,ALL_lag+0,CLOSE,1270753.37,IP_lag+0,0.0,-64391.63,-4.8,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-03,2290735.0,2620309.53,IP_lag+0,SOFT,2758894.42,ALL_lag+1,SOFT,2620309.53,IP_lag+0,642880.0,329574.53,14.4,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-04,1827203.96,1730384.42,IP_lag+0,CLOSE,2591709.83,ALL_lag+1,OPEN,1730384.42,IP_lag+0,1028510.0,-96819.54,-5.3,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-05,1739719.0,1730384.42,IP_lag-1,CLOSE,2591709.83,ALL_lag+0,OPEN,1730384.42,IP_lag-1,946738.8,-9334.58,-0.5,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-06,3546814.0,2933668.7,IP_lag+0,SOFT,3877310.7,ALL_lag+0,SOFT,3877310.7,ALL_lag+0,943642.0,330496.7,9.3,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-07,1290985.0,1702041.42,IP_lag+0,SOFT,1999329.53,ALL_lag+1,OPEN,1702041.42,IP_lag+0,1287230.0,411056.42,31.8,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-08,977346.0,1702041.42,IP_lag-1,OPEN,1999329.53,ALL_lag+0,OPEN,1702041.42,IP_lag-1,0.0,724695.42,74.1,OPEN,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-09,2401874.0,2460258.95,IP_lag+0,CLOSE,1999329.53,ALL_lag-1,SOFT,2460258.95,IP_lag+0,746368.0,58384.95,2.4,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-10,2393932.0,2460258.95,IP_lag-1,CLOSE,3206626.95,ALL_lag-1,OPEN,2460258.95,IP_lag-1,299782.0,66326.95,2.8,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-11,2959801.0,3324331.65,IP_lag+1,SOFT,3296345.28,ALL_lag+0,SOFT,3296345.28,ALL_lag+0,720545.0,336544.28,11.4,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2024-12,4007322.0,3324331.65,IP_lag+0,SOFT,3296345.28,ALL_lag-1,SOFT,3324331.65,IP_lag+0,2069564.0,-682990.35,-17.0,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-01,776530.0,1197045.18,IP_lag+0,OPEN,1882634.52,ALL_lag+1,OPEN,1197045.18,IP_lag+0,877688.0,420515.18,54.2,OPEN,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-02,1604595.0,1255532.52,IP_lag+0,SOFT,1882634.52,ALL_lag+0,SOFT,1882634.52,ALL_lag+0,627102.0,278039.52,17.3,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-03,2968405.0,1255532.52,IP_lag-1,OPEN,2635042.69,ALL_lag+1,SOFT,2635042.69,ALL_lag+1,1455594.0,-333362.31,-11.2,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-04,1837645.0,1282099.67,IP_lag+1,OPEN,2143029.67,ALL_lag+1,SOFT,2143029.67,ALL_lag+1,1979894.0,305384.67,16.6,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-05,1973876.0,1282099.67,IP_lag+0,OPEN,2143029.67,ALL_lag+0,CLOSE,2143029.67,ALL_lag+0,860930.0,169153.67,8.6,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-06,1092781.0,1242165.52,IP_lag+0,SOFT,2141818.4,ALL_lag+1,OPEN,1242165.52,IP_lag+0,913262.0,149384.52,13.7,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-07,2030938.0,1279026.4,IP_lag+0,OPEN,2141818.4,ALL_lag+0,CLOSE,2141818.4,ALL_lag+0,862792.0,110880.4,5.5,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-08,3594028.0,1401833.31,IP_lag+1,OPEN,2658193.31,ALL_lag+1,OPEN,2658193.31,ALL_lag+1,0.0,-935834.69,-26.0,OPEN,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-09,848535.0,920964.43,IP_lag+1,CLOSE,773638.19,ALL_lag-1,SOFT,920964.43,IP_lag+1,1256360.0,72429.43,8.5,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-10,676092.0,920964.43,IP_lag+0,OPEN,1772878.43,ALL_lag+0,OPEN,920964.43,IP_lag+0,851914.0,244872.43,36.2,OPEN,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-11,2225327.0,1566627.8,IP_lag+1,OPEN,1772878.43,ALL_lag-1,SOFT,1772878.43,ALL_lag-1,1332653.0,-452448.57,-20.3,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2025-12,1858768.0,1566627.8,IP_lag+0,SOFT,975128.91,ALL_lag+1,OPEN,1566627.8,IP_lag+0,2887276.0,-292140.2,-15.7,SOFT,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
IM,2026-01,1561180.0,1566627.8,IP_lag-1,CLOSE,975128.91,ALL_lag+0,OPEN,1566627.8,IP_lag-1,0.0,5447.8,0.3,CLOSE,"combo=best(IP±1, ALL-LE±1); ALL includes DEKOR acquiring"
