period_month,md_payments_eur,sales_dds_salon_shop_eur,gap_eur,gap_pct,status,note
2013-09,32041.0,0.0,32041.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2013-10,206340.0,0.0,206340.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2013-11,114617.0,0.0,114617.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2013-12,227318.0,0.0,227318.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-01,139147.0,0.0,139147.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-02,177501.0,0.0,177501.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-03,192679.0,0.0,192679.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-04,129328.0,0.0,129328.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-05,114638.0,0.0,114638.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-06,148733.0,0.0,148733.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-07,183859.0,0.0,183859.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-08,24459.0,0.0,24459.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-09,121470.0,0.0,121470.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-10,163151.0,0.0,163151.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-11,169956.0,0.0,169956.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2014-12,320653.0,0.0,320653.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-01,144802.0,0.0,144802.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-02,264561.0,0.0,264561.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-03,171484.0,0.0,171484.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-04,129703.0,0.0,129703.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-05,140751.0,0.0,140751.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-06,160236.0,0.0,160236.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-07,135817.0,0.0,135817.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-08,89663.0,0.0,89663.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
2015-09,97275.0,0.0,97275.0,100.0,OPEN,MD workbook финансы vs SALES DDS Salon+Shop
